店舗id,店舗名,商品コード,商品名 ,税率 ,賞味期限 ,容量 ,原単価 ,売単価 ,在庫数,原価金額,売価金額 
"2","新百合山手通り店","4902522700962","H097ﾕﾋﾞｻｯｸﾁｭｳﾅｶ","10.00","","2P","69.00","110.00","3.00","207.0000","330.0000"
"2","新百合山手通り店","4902522700979","H098ﾕﾋﾞｻｯｸﾌﾄﾅｶﾞ","10.00","","2P","69.00","110.00","3.00","207.0000","330.0000"
"2","新百合山手通り店","4902522700986","H099ﾕﾋﾞｻｯｸﾁｭｳﾀﾝ","10.00","","2P","69.00","110.00","3.00","207.0000","330.0000"
"2","新百合山手通り店","4902522700993","H100ﾕﾋﾞｻｯｸ ﾎｿ","10.00","","2P","69.00","110.00","2.00","138.0000","220.0000"
"2","新百合山手通り店","4902610462079","FCﾈｯﾄﾎ-ﾀｲﾃｻｷﾋｼﾞﾖｳ","10.00","","FCﾈｯﾄﾎ-ﾀｲﾃｻｷﾋｼﾞﾖｳ","225.00","495.00","-10.00","-2250.0000","-4950.0000"
"2","新百合山手通り店","4902610462116","ｷﾄｻﾝﾕﾋﾞｷｬｯﾌﾟ","10.00","","3ﾎﾝ","130.00","284.00","3.00","390.0000","852.0000"
"2","新百合山手通り店","4902610462123","ｷﾄｻﾝﾒﾝﾃﾌﾞｸﾛｴﾑ","10.00","","ｷﾄｻﾝﾒﾝﾃﾌﾞｸﾛｴﾑ","151.00","269.00","-2.00","-302.0000","-538.0000"
"2","新百合山手通り店","4902621003292","ｶﾙｼｳﾑ ｳｴﾊｰｽ","8.00","","18ﾏｲ","153.00","204.00","7.00","1071.0000","1428.0000"
"2","新百合山手通り店","4902621003308","ﾃﾂ ｳｴﾊｰｽ","8.00","","18ﾏｲ","153.00","204.00","8.00","1224.0000","1632.0000"
"2","新百合山手通り店","4902621003407","ｶﾙｼｳﾑｳｴﾊｰｽ","8.00","","20ﾏｲ","149.00","204.00","-1.00","-149.0000","-204.0000"
"2","新百合山手通り店","4902621003438","ﾎﾈﾆｶﾙｼｳﾑｳｴﾊｰｽ","8.00","","40ﾏｲ","310.00","410.00","-1.00","-310.0000","-410.0000"
"2","新百合山手通り店","4902621003445","ﾌﾞﾙｰﾍﾞﾘｰｳｴﾊｰｽ","8.00","","40ﾏｲ","310.00","410.00","-1.00","-310.0000","-410.0000"
"2","新百合山手通り店","4902621005074","ハマダ緑黄色野菜ウエハース","8.00","","40ﾏｲ","310.00","410.00","-1.00","-310.0000","-410.0000"
"2","新百合山手通り店","4902621005166","アランスパワービッグカカオブラウニー","8.00","","2ﾌｸﾛ","83.00","108.00","-1.00","-83.0000","-108.0000"
"2","新百合山手通り店","4902621005203","ｺｸﾓﾂｲﾛｲﾛｼﾘｱﾙﾅｯﾂ","8.00","","ｺｸﾓﾂｲﾛｲﾛｼﾘｱﾙﾅｯﾂ","82.00","108.00","-2.00","-164.0000","-216.0000"
"2","新百合山手通り店","4902621005227","バランス  ﾊﾟﾜｰ  発酵バター","8.00","","70G","82.00","108.00","-3.00","-246.0000","-324.0000"
"2","新百合山手通り店","4902621005234","バランス  ﾊﾟﾜｰ  しっとりレーズン","8.00","","70G","82.00","108.00","-1.00","-82.0000","-108.0000"
"2","新百合山手通り店","4902621005258","ワッフルサンドチョコレート","8.00","","3ﾏｲ","82.00","108.00","4.00","328.0000","432.0000"
"2","新百合山手通り店","4902621005265","ワッフルサンドブルーベリー","8.00","","3ﾏｲ","82.00","108.00","3.00","246.0000","324.0000"
"2","新百合山手通り店","4902705001060","メイバランスソフトゼリーヨーグルト","8.00","","125ML","161.00","245.00","1.00","161.0000","245.0000"
"2","新百合山手通り店","4902705001305","メイバランスソフトゼリーストロベリー","8.00","","125ML","161.00","245.00","2.00","322.0000","490.0000"
"2","新百合山手通り店","4902705122741","メイバランスソフトゼリーブドウ","8.00","","125ML","161.00","245.00","2.00","322.0000","490.0000"
"2","新百合山手通り店","4902757817404","ｹﾝｺｳｵｳｴﾝﾁｮｺﾚｰﾄﾐﾙｸ","8.00","","ｹﾝｺｳｵｳｴﾝﾁｮｺﾚｰﾄﾐﾙｸ","224.00","250.00","3.00","672.0000","750.0000"
"2","新百合山手通り店","4902757817503","ｵｲｼｸｹﾝｺｳﾁｮｺﾚｰﾄｲﾁｺﾞ","8.00","","ｵｲｼｸｹﾝｺｳﾁｮｺﾚｰﾄｲﾁｺﾞ","224.00","250.00","2.00","448.0000","500.0000"
"2","新百合山手通り店","4903111161201","チャーム吸水ライナー　少量用１８枚","10.00","","18P","195.00","341.00","1.00","195.0000","341.0000"
"2","新百合山手通り店","4903111517732","ﾁｮｳｶｲﾃｷｽﾏｰﾄｶﾗｰｸﾞﾚｰ","10.00","","ﾁｮｳｶｲﾃｷｽﾏｰﾄｶﾗｰｸﾞﾚｰ","210.00","350.00","-1.00","-210.0000","-350.0000"
"2","新百合山手通り店","4903111517909","ﾁｮｳｶｲﾃｷｽﾏｰﾄｶﾗｰﾍﾞｰｼﾞｭ","10.00","","ﾁｮｳｶｲﾃｷｽﾏｰﾄｶﾗｰﾍﾞｰｼﾞｭ","210.00","350.00","-3.00","-630.0000","-1050.0000"
"2","新百合山手通り店","4903111901869","チヨウリツタイマスク　チイサメ","10.00","","5+2ﾏｲ","225.00","385.00","-1.00","-225.0000","-385.0000"
"2","新百合山手通り店","4903111950485","ﾁｮｳｶｲﾃｷﾌﾟﾘｰﾂﾏｽｸﾁｲｻﾒ ﾋﾟﾝｸ","10.00","","ﾁｮｳｶｲﾃｷﾌﾟﾘｰﾂﾏｽｸﾁｲｻﾒ ﾋﾟﾝｸ","225.00","410.00","-3.00","-675.0000","-1230.0000"
"2","新百合山手通り店","4903111982875","ライフリーダンセイサワヤカウスガタパッド","10.00","","26P","569.00","812.00","1.00","569.0000","812.0000"
"2","新百合山手通り店","4903111982929","ライフリーダンセイサワヤカウスガタパッド","10.00","","18P","581.00","732.00","1.00","581.0000","732.0000"
