﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0121","冷蔵庫（～499L）","4549873138084","R-HS52RG(N) 冷蔵庫 520L 右開き","10","","1","120,016.00","163,455","2","326,910","86,878","26.58","56.35","67.93","7.57"
"","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736123755","XRJ-65X95J 4K液晶ﾃﾚﾋﾞ","0","","2","200,260.00","244,546","1","244,546","44,286","18.11","43.23","48.77","7.89"
"","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0121","冷蔵庫（～499L）","4549873118680","R-HWS47N(XN) 冷蔵庫 470L 右開き","10","","3","112,320.00","154,364","1","154,364","42,044","27.24","26.61","32.07","7.57"
"","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736136014","KJ-50X80K 液晶ﾃﾚﾋﾞ","0","","4","96,088.00","132,545","1","132,545","36,457","27.51","23.43","26.43","7.89"
"","","06","テレビ","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0006","テレビ","0060","テレビ本体","4974019172248","4T-C65DL1 65V型4K液晶ﾃﾚﾋﾞ","10","","5","104,000.00","124,364","1","124,364","20,364","16.37","21.98","24.80","7.89"
"","","13","調理家電","0020","ジャパネット","0000355","日立","0013","調理家電","0130","電子レンジ・トースター","4549873139609","MRO-JT231R ｵｰﾌﾞﾝﾚﾝｼﾞ 赤","0","","6","18,876.00","26,801","4","107,202","31,698","29.57","39.02","43.90","3.84"
"","","14","洗濯機","0020","ジャパネット","0000347","東芝","0014","洗濯機","0140","洗濯機","4904530112348","AW-8DH2(W) 全自動洗濯機 8kg","0","","7","72,667.00","99,819","1","99,819","27,152","27.20","46.49","48.76","3.22"
"","","13","調理家電","0020","ジャパネット","0000355","日立","0013","調理家電","0130","電子レンジ・トースター","4549873139616","MRO-JT231W ｵｰﾌﾞﾝﾚﾝｼﾞ 白","10","","8","18,876.00","27,254","3","81,763","25,135","30.74","29.76","33.48","3.84"
"","","22","寝具・インテリア","0020","ジャパネット","0000346","東京西川","0022","寝具・インテリア","0220","寝具・インテリア","4908092010296","TJ25131 S 桃 柄任せ ﾊﾝｶﾞﾘｰ産羽毛布団 S","10","","9","15,194.00","26,346","3","79,038","33,456","42.33","51.50","51.50","2.41"
"","","12","冷蔵庫","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0012","冷蔵庫","0120","冷蔵庫（～399L）","4974019208206","SJ-PD28H-T 冷蔵庫 280L 右開 茶","0","","10","60,112.00","78,909","1","78,909","18,797","23.82","13.60","100.00","1.24"
"","","07","BD/DVD","0010","ソニー","0000192","ｿﾆｰ","0007","BD/DVD","0070","BDレコーダー","4548736122192","BDZ-ZW2800 ﾌﾞﾙｰﾚｲ","0","","11","45,448.00","59,755","1","59,755","14,307","23.94","100.00","100.00","0.94"
"","","14","洗濯機","0020","ジャパネット","0000241","ﾊﾟﾅｿﾆｯｸ","0014","洗濯機","0140","洗濯機","4549980504611","NA-F70PB15-T 洗濯機","10","","12","41,034.00","54,364","1","54,364","13,330","24.52","25.32","26.55","3.22"
"","","06","テレビ","0020","ジャパネット","0000010","CAVｼﾞｬﾊﾟﾝ","0006","テレビ","0061","テレビ台","4571265693376","THRN-150HDｵｰﾃﾞｨｵﾗｯｸ","10","","13","18,408.00","26,364","2","52,727","15,911","30.18","9.32","100.00","0.83"
"","","14","洗濯機","0040","東芝","0000347","東芝","0014","洗濯機","0140","洗濯機","4904530109829","AW-7GM1(W) 洗濯機","10","","14","36,254.00","50,545","1","50,545","14,291","28.27","23.54","24.69","3.22"
"","","13","調理家電","0020","ジャパネット","0000347","東芝","0013","調理家電","0130","電子レンジ・トースター","4904550975626","ER-JZ5000(R) ｵｰﾌﾞﾝﾚﾝｼﾞ 赤","10","","15","26,821.00","40,891","1","40,891","14,070","34.41","14.88","16.74","3.84"
"","","19","理美容・健康・スポーツ","0020","ジャパネット","0000080","ｱﾙｲﾝｺ","0019","理美容・健康・スポーツ","0194","スポーツ・健康器具","4969182518313","AFR2221K ﾗﾝﾆﾝｸﾞﾏｼﾝ 黒","0","","16","25,636.00","36,346","1","36,346","10,710","29.47","31.65","100.00","0.57"
"","","16","クリーナー","0020","ジャパネット","0000197","ﾀﾞｲｿﾝ","0016","クリーナー","0160","スティック・ハンディクリーナー","5025155071724","SV21HEPABU ｺｰﾄﾞﾚｽｸﾘｰﾅｰ ﾌﾞﾙｰ","0","","17","24,058.00","36,181","1","36,181","12,123","33.51","37.00","51.18","1.11"
"","","18","空清・暖房器具・サーキュレーター","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0018","空清・暖房器具・サーキュレーター","0180","空清・暖房器具・扇風機","4974019886435","PF-JTH1-N ｲｵﾝﾌｧﾝ","10","","18","18,356.00","27,255","1","27,255","8,899","32.65","50.87","50.87","0.84"
"","","16","クリーナー","0020","ジャパネット","0000355","日立","0016","クリーナー","0160","スティック・ハンディクリーナー","4549873142470","PV-BHL3000J N ｽﾃｨｯｸｸﾘｰﾅｰ 金","0","","19","19,032.00","27,255","1","27,255","8,223","30.17","27.87","38.56","1.11"
"","","36","その他商品","0020","ジャパネット","0000341","帝人ﾌﾛﾝﾃｨｱ","0036","その他商品","0369","その他商品","4995296002189","BZBD105 除湿剤 42個ｾｯﾄ","0","","20","2,420.00","5,437","5","27,184","15,084","55.49","96.54","100.00","0.43"
"","","15","家事用品・家電","0020","ジャパネット","0000168","ｼﾞｬｶﾞｰ","0015","家事用品・家電","0151","ミシン","4996856008955","JTA-5000W ﾐｼﾝ 白","0","","21","17,313.00","27,091","1","27,091","9,778","36.09","100.00","100.00","0.43"
"","","16","クリーナー","0020","ジャパネット","0000347","東芝","0016","クリーナー","0161","キャニスター型クリーナー","4904550975848","VC-JS6000(A)ﾄﾙﾈｵ","10","","22","19,552.00","27,091","1","27,091","7,539","27.83","27.71","100.00","0.43"
"","","19","理美容・健康・スポーツ","0020","ジャパネット","0000079","ｱﾗﾐｯｸ","0019","理美容・健康・スポーツ","0192","美容・ドライヤー","4967934602440","JSNB2-GS ｼｬﾜｰﾍｯﾄﾞ銀","0","","23","5,720.00","13,455","2","26,909","15,469","57.49","23.43","66.67","0.63"
"","","22","寝具・インテリア","0020","ジャパネット","0000331","西川ﾘﾋﾞﾝｸﾞ","0022","寝具・インテリア","0220","寝具・インテリア","4908092010302","TJ25131 S 青 柄任せ ﾊﾝｶﾞﾘｰ産羽毛布団 S","0","","24","15,194.00","26,345","1","26,345","11,151","42.33","17.17","17.17","2.41"
"","","39","修理","0036","ゼネラルカメラ","","","0039","修理","0390","修理","2087801027830","修理 ｾﾞﾈﾗﾙ","10","","25","19,280.00","24,100","1","24,100","4,820","20.00","69.05","69.05","0.55"
"","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260147526","JTM2210H 6層毛布Sﾋﾟﾝｸ","0","","26","3,224.00","6,649","3","19,947","10,275","51.51","13.00","13.00","2.41"
"","","19","理美容・健康・スポーツ","0020","ジャパネット","0000355","日立","0019","理美容・健康・スポーツ","0191","シェーバー","4526044016969","RM-FJ21 S ｼｪｰﾊﾞｰ 銀","0","","27","5,866.00","9,073","2","18,146","6,414","35.35","15.80","47.59","0.60"
"","","18","空清・暖房器具・サーキュレーター","0020","ジャパネット","0000066","ｱｲﾘｽｵｰﾔﾏ","0018","空清・暖房器具・サーキュレーター","0180","空清・暖房器具・扇風機","4967576469449","IJD-JN50 衣類乾燥除湿機","0","","28","12,064.00","16,346","1","16,346","4,282","26.20","30.51","30.51","0.84"
