﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736123922","KJ-65X85J 4K液晶ﾃﾚﾋﾞ","0","","1","124,352.00","154,364","1","154,364","30,012","19.44","43.93","46.60","25.15"
"","","06","テレビ","0020","ジャパネット","0000347","東芝","0006","テレビ","0060","テレビ本体","4580652111492","65M550K 65V液晶ﾃﾚﾋﾞ","0","","2","88,674.00","118,000","1","118,000","29,326","24.85","33.58","35.62","25.15"
"","","06","テレビ","0020","ジャパネット","0000410","TVS REGZA","0006","テレビ","0060","テレビ本体","4580652110488","40V34 40V型液晶ﾃﾚﾋﾞ","0","","3","41,600.00","58,910","1","58,910","17,310","29.38","16.76","17.78","25.15"
"","","06","テレビ","0020","ジャパネット","","","0006","テレビ","0063","配送・設置料（テレビ）","2087801028066","配達設置(TV) M","10","","4","5,000.00","5,000","2","10,000","0","0.00","2.85","68.97","1.10"
"","","06","テレビ","0020","ジャパネット","","","0006","テレビ","0063","配送・設置料（テレビ）","2087801028059","配達設置(TV) 自社","10","","5","4,500.00","4,500","1","4,500","0","0.00","1.28","31.03","1.10"
"","","06","テレビ","","","","","0006","テレビ","0064","保険料（テレビ）","2087801027908","保険料(TV) ｸﾛﾈｺ","10","","6","2,945.00","2,945","1","2,945","0","0.00","0.84","100.00","0.22"
"","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0062","テレビアクセサリー","4548736067622","RM-PZ130D B ﾘﾓｺﾝ","10","","7","1,806.00","2,700","1","2,700","894","33.11","0.77","100.00","0.20"
"佐世保本店","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736123892","XRJ-55A80J 有機ELﾃﾚﾋﾞ","0","","1","150,308.00","200,181","1","200,181","49,873","24.91","47.22","52.81","28.78"
"","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736123823","XRJ-55X90J 4K液晶ﾃﾚﾋﾞ","0","","2","110,368.00","145,273","1","145,273","34,905","24.03","34.27","38.32","28.78"
"","","06","テレビ","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0006","テレビ","0060","テレビ本体","4974019167848","2T-C24DE-B 液晶ﾃﾚﾋﾞ 24V型 黒","0","","3","29,120.00","33,619","1","33,619","4,499","13.38","7.93","8.87","28.78"
"","","06","テレビ","0081","朝日木材","0000337","朝日木材","0006","テレビ","0061","テレビ台","4968373700858","AS-WA800 壁寄ｽﾀﾝﾄﾞ","10","","4","13,860.00","24,364","1","24,364","10,504","43.11","5.75","62.91","2.94"
"","","06","テレビ","0081","朝日木材","0000337","朝日木材","0006","テレビ","0061","テレビ台","4582570241268","WS-A800-DB 壁寄せｽﾀﾝﾄﾞ","10","","5","9,100.00","14,364","1","14,364","5,264","36.65","3.39","37.09","2.94"
"","","06","テレビ","0020","ジャパネット","","","0006","テレビ","0063","配送・設置料（テレビ）","2087801028059","配達設置(TV) 自社","10","","6","5,000.00","5,000","1","5,000","0","0.00","1.18","100.00","0.38"
"","","06","テレビ","0080","エレコム","0000105","ｴﾚｺﾑ","0006","テレビ","0062","テレビアクセサリー","4549550134330","DH-MWRYF015BK ﾋﾞﾃﾞｵ変換ｹｰﾌﾞﾙ","10","","7","622.00","1,130","1","1,130","508","44.96","0.27","100.00","0.09"
"大塔店","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736123823","XRJ-55X90J 4K液晶ﾃﾚﾋﾞ","0","","1","110,368.00","145,273","1","145,273","34,905","24.03","26.82","31.78","34.71"
"","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736136014","KJ-50X80K 液晶ﾃﾚﾋﾞ","0","","2","96,088.00","132,546","1","132,546","36,458","27.51","24.47","29.00","34.71"
