ìXï‹ñº,îÑè„ì˙,ê≈çûîÑè„ã‡äz,ê≈î≤îÑè„ã‡äz,è¡îÔê≈8%,è¡îÔê≈10%,ëeóòã‡äz,ëeóòó¶,îÉè„ì_êî,àÍì_íPâø,ï‘ïiã‡äz,ï‘ïiì_êî,ó›åvîÑè„ã‡äz,ó›åvëeóòã‡äz
"ñ{ïî","2022/11/01","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/11/03","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/11/04","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"í îÃ","2022/11/02","5,860","5,328","0","532","2,041","38.31","3","1,776.00","0","0","5,860","2,041"
"í îÃ","2022/11/03","0","0","0","0","0","0.00","0","0.00","0","0","5,860","2,041"
"í îÃ","2022/11/04","19,800","18,000","0","1,800","10,627","59.04","2","9,000.00","0","0","25,660","12,668"
"í îÃ","2022/11/05","0","0","0","0","0","0.00","0","0.00","0","0","25,660","12,668"
"ç≤ÅXìX","2022/11/01","179,693","163,905","0","15,789","55,760","34.02","128","1,280.51","0","0","205,353","68,428"
"ç≤ÅXìX","2022/11/02","237,514","215,927","0","21,587","77,085","35.70","172","1,255.39","86,800","2","442,867","145,513"
"ç≤ÅXìX","2022/11/03","845,584","768,719","0","76,865","41,196","5.36","343","2,241.16","105,192","8","1,288,451","186,709"
"ç≤ÅXìX","2022/11/04","209,762","190,703","0","19,060","71,693","37.59","241","791.30","22,674","3","1,498,213","258,402"
"ç≤ÅXìX","2022/11/05","337,320","307,123","0","30,197","123,772","40.30","193","1,591.31","0","0","1,835,533","382,174"
"ç≤ÅXìX","2022/11/06","29,870","27,155","0","2,715","6,560","24.16","3","9,051.67","0","0","1,865,403","388,734"
"ç≤ê¢ï€ñ{ìX","2022/11/01","583,063","530,067","0","52,997","154,301","29.11","74","7,163.07","141,502","5","2,448,466","543,035"
"ç≤ê¢ï€ñ{ìX","2022/11/02","68,572","62,340","0","6,232","15,010","24.08","22","2,833.64","9,073","1","2,517,038","558,045"
"ç≤ê¢ï€ñ{ìX","2022/11/03","495,390","450,361","0","45,030","133,654","29.68","106","4,248.69","91,910","2","3,012,428","691,699"
"ç≤ê¢ï€ñ{ìX","2022/11/04","339,469","308,614","0","30,855","84,711","27.45","75","4,114.85","0","0","3,351,897","776,410"
"ç≤ê¢ï€ñ{ìX","2022/11/05","491,616","446,928","0","44,688","113,151","25.32","210","2,128.23","135,282","6","3,843,513","889,561"
"ç≤ê¢ï€ñ{ìX","2022/11/06","0","0","0","0","0","0.00","0","0.00","0","0","3,843,513","889,561"
"ëÂìÉìX","2022/11/01","433,806","394,375","0","39,431","134,739","34.17","120","3,286.46","22,528","2","4,277,319","1,024,300"
"ëÂìÉìX","2022/11/02","902,940","820,860","0","82,080","259,826","31.65","27","30,402.22","0","0","5,180,259","1,284,126"
"ëÂìÉìX","2022/11/03","907,080","824,624","0","82,456","237,940","28.85","42","19,633.90","0","0","6,087,339","1,522,066"
"ëÂìÉìX","2022/11/04","414,606","376,918","0","37,688","124,600","33.06","19","19,837.79","0","0","6,501,945","1,646,666"
"ëÂìÉìX","2022/11/05","558,571","507,797","0","50,774","183,091","36.06","26","19,530.65","715,623","16","7,060,516","1,829,757"
"ëÂìÉìX","2022/11/06","0","0","0","0","0","0.00","0","0.00","0","0","7,060,516","1,829,757"