ìXï‹ñº,îÑè„ì˙,ê≈çûîÑè„ã‡äz,ê≈î≤îÑè„ã‡äz,è¡îÔê≈8%,è¡îÔê≈10%,ëeóòã‡äz,ëeóòó¶,îÉè„ì_êî,àÍì_íPâø,ï‘ïiã‡äz,ï‘ïiì_êî,ó›åvîÑè„ã‡äz,ó›åvëeóòã‡äz
"ñ{ïî","2022/11/01","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/11/03","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/11/06","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/11/10","0","0","0","0","0","0.00","0","0.00","0","0","0","0"
"ñ{ïî","2022/11/12","105,000","95,455","0","9,545","43,455","45.52","1","95,455.00","0","0","105,000","43,455"
"ñ{ïî","2022/11/14","0","0","0","0","0","0.00","0","0.00","0","0","105,000","43,455"
"ñ{ïî","2022/11/15","0","0","0","0","0","0.00","0","0.00","0","0","105,000","43,455"
"ñ{ïî","2022/11/16","0","0","0","0","0","0.00","0","0.00","0","0","105,000","43,455"
"ñ{ïî","2022/11/18","0","0","0","0","0","0.00","0","0.00","0","0","105,000","43,455"
"ñ{ïî","2022/11/19","0","0","0","0","0","0.00","0","0.00","0","0","105,000","43,455"
"ñ{ïî","2022/11/21","0","0","0","0","0","0.00","0","0.00","0","0","105,000","43,455"
"ñ{ïî","2022/11/22","210,000","190,882","0","19,118","54,487","28.54","2","95,441.00","0","0","315,000","97,942"
"í îÃ","2022/11/02","5,860","5,328","0","532","2,041","38.31","3","1,776.00","0","0","320,860","99,983"
"í îÃ","2022/11/03","0","0","0","0","0","0.00","0","0.00","0","0","320,860","99,983"
"í îÃ","2022/11/04","19,800","18,000","0","1,800","10,627","59.04","2","9,000.00","0","0","340,660","110,610"
"í îÃ","2022/11/06","0","0","0","0","0","0.00","0","0.00","0","0","340,660","110,610"
"í îÃ","2022/11/07","2,290","2,082","0","208","-905","-43.47","2","1,041.00","0","0","342,950","109,705"
"í îÃ","2022/11/08","16,330","14,846","0","1,484","7,985","53.79","4","3,711.50","0","0","359,280","117,690"
"í îÃ","2022/11/09","0","0","0","0","0","0.00","0","0.00","0","0","359,280","117,690"
"í îÃ","2022/11/10","0","0","0","0","0","0.00","0","0.00","0","0","359,280","117,690"
"í îÃ","2022/11/12","45,600","41,456","0","4,144","19,232","46.39","4","10,364.00","0","0","404,880","136,922"
"í îÃ","2022/11/14","0","0","0","0","0","0.00","0","0.00","0","0","404,880","136,922"
"í îÃ","2022/11/15","0","0","0","0","0","0.00","0","0.00","0","0","404,880","136,922"
"í îÃ","2022/11/16","0","0","0","0","0","0.00","0","0.00","0","0","404,880","136,922"
"í îÃ","2022/11/17","0","0","0","0","0","0.00","0","0.00","0","0","404,880","136,922"
"í îÃ","2022/11/18","34,860","31,693","0","3,167","14,634","46.17","6","5,282.17","0","0","439,740","151,556"
"í îÃ","2022/11/21","53,070","48,247","0","4,823","24,728","51.25","7","6,892.43","0","0","492,810","176,284"
"í îÃ","2022/11/24","5,980","5,437","0","543","2,960","54.44","2","2,718.50","0","0","498,790","179,244"
"í îÃ","2022/11/25","0","0","0","0","0","0.00","0","0.00","0","0","498,790","179,244"
"ç≤ÅXìX","2022/11/01","179,693","163,905","0","15,789","55,760","34.02","128","1,280.51","0","0","678,483","235,004"
"ç≤ÅXìX","2022/11/02","237,514","215,927","0","21,587","77,085","35.70","172","1,255.39","86,800","2","915,997","312,089"
"ç≤ÅXìX","2022/11/03","845,584","768,719","0","76,865","41,196","5.36","343","2,241.16","105,192","8","1,761,581","353,285"
"ç≤ÅXìX","2022/11/04","209,762","190,703","0","19,060","71,693","37.59","241","791.30","22,674","3","1,971,343","424,978"
