店舗,営業日数,税込売上額,税抜売上額,消費税8%,消費税10%,構成比,数量,平均数量,来店数,平均単価,客平均単価,引額
"406 コスメイシイ","24日","2672457","2430587","4709","237161","6.18  ","612","26","179","3972","13579","527281"
"268　松本店","20日","1735355","1581855","20839","132661","4.02  ","426","21","242","3713","6537","8221"
"540　さなだ店","25日","430802","392615","4008","34179","1.00  ","308","12","158","1275","2485","24214"
"554　愛国東店","31日","4076566","3717722","50632","308212","9.46  ","2170","70","746","1713","4984","85580"
"552　住之江店","31日","7323614","6686242","123256","514116","17.01  ","3555","115","1127","1881","5933","159947"
"601　上市店","26日","316597","288546","3015","25036","0.73  ","329","13","117","877","2466","0"
"631　パスコ店","31日","7607944","6934570","73484","599890","17.64  ","9305","150","3765","745","1842","211732"
"634　プラファ店","31日","4728770","4309208","43015","376547","10.96  ","3688","119","1686","1168","2556","100851"
"636　砺波店","31日","3947173","3599511","47684","299978","9.15  ","2446","39","914","1472","3938","101088"
"639　大島店","31日","3862128","3520217","38157","303754","8.95  ","3240","105","1311","1086","2685","118520"
"063　ミラドラ","26日","3157191","2881773","49755","225663","7.33  ","3010","58","659","957","4373","23168"
"566　五位田店","25日","2629822","2398156","32210","199456","6.10  ","1254","50","356","1912","6736","123430"
"559　菅谷店","15日","623499","567694","3420","52385","1.44  ","521","35","207","1090","2742","1572"
"236ミラドラ山口あさか店","25日","10120","9200","0","920","0.02  ","8","0","7","1150","1314","0"