店舗名,部門名,項目,内訳,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,半年計,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,通年計
"","","","前年比","0","300","200","33","100","100","129","100","0","0","0","0","0","85"
"","耐久消費財","売上","当月","128","556","1,136","278","128","278","2,504","180","0","0","0","0","0","2,684"
"","","","前年","278","180","498","796","0","696","2,448","678","0","270","696","754","0","4,846"
"","","","前年比","46","309","228","35","0","40","102","27","0","0","0","0","0","55"
"","","粗利","当月","68","168","291","84","68","84","763","45","0","0","0","0","0","808"
"","","","前年","84","45","117","288","0","160","694","162","0","76","160","253","0","1,345"
"","","","前年比","81","373","249","29","0","53","110","28","0","0","0","0","0","60"
"","","客数","当月","1","1","3","1","1","1","8","1","0","0","0","0","0","9"
"","","","前年","1","1","1","2","0","1","6","2","0","1","1","2","0","12"
"","","","前年比","100","100","300","50","0","100","133","50","0","0","0","0","0","75"
"","衣料身の回り品","売上","当月","7,500","12,000","31,500","46,500","11,000","4,538","113,038","6,000","0","0","0","0","0","119,038"
"","","","前年","17,360","40,000","41,180","9,980","42,000","12,360","162,880","900","6,000","7,540","7,300","9,680","35,000","229,300"
"","","","前年比","43","30","76","466","26","37","69","667","0","0","0","0","0","52"
"","","粗利","当月","3,036","4,836","13,229","20,253","3,901","1,484","46,739","2,131","0","0","0","0","0","48,870"
"","","","前年","7,395","18,448","18,625","4,986","16,520","6,051","72,025","405","2,400","2,341","2,324","4,868","16,386","100,749"
"","","","前年比","41","26","71","406","24","25","65","526","0","0","0","0","0","49"
"","","客数","当月","2","3","7","8","3","3","26","1","0","0","0","0","0","27"
"","","","前年","6","5","6","3","7","3","30","1","1","2","3","3","4","44"
"","","","前年比","33","60","117","267","43","100","87","100","0","0","0","0","0","61"
"","その他商品","売上","当月","163,668","139,484","62,328","138,834","87,335","100,887","692,536","40,526","0","0","0","0","0","733,062"
"","","","前年","225,045","102,435","69,734","101,692","99,806","121,923","720,635","110,980","189,310","107,707","102,375","83,748","97,135","1,411,890"
"","","","前年比","73","136","89","137","88","83","96","37","0","0","0","0","0","52"
"","","粗利","当月","38,590","31,413","17,712","21,520","22,187","22,288","153,710","12,345","0","0","0","0","0","166,055"
"","","","前年","47,062","27,155","19,674","26,975","28,318","27,285","176,469","29,313","36,210","26,317","25,660","20,914","22,961","337,844"
"","","","前年比","82","116","90","80","78","82","87","42","0","0","0","0","0","49"
"","","客数","当月","23","22","15","17","18","22","117","12","0","0","0","0","0","129"
"","","","前年","23","22","19","23","22","24","133","28","20","22","17","23","22","265"
"","","","前年比","100","100","79","74","82","92","88","43","0","0","0","0","0","49"
"","湧永製品","売上","当月","963,388","1,198,063","1,264,621","1,421,086","1,111,994","1,466,813","7,425,965","783,762","0","0","0","0","0","8,209,727"
"","","","前年","1,183,344","1,156,286","1,720,205","1,510,242","1,263,729","1,296,629","8,130,435","1,482,957","1,814,775","1,190,450","1,424,740","1,397,995","2,130,152","17,571,504"
"","","","前年比","81","104","74","94","88","113","91","53","0","0","0","0","0","47"
"","","粗利","当月","522,696","663,469","692,318","776,968","614,272","801,020","4,070,743","421,787","0","0","0","0","0","4,492,530"
"","","","前年","660,620","640,237","939,385","801,786","705,323","731,223","4,478,574","796,265","982,475","632,129","781,721","756,170","1,160,277","9,587,611"
"","","","前年比","79","104","74","97","87","110","91","53","0","0","0","0","0","47"
"","","客数","当月","136","143","159","175","162","148","923","86","0","0","0","0","0","1,009"
"","","","前年","156","166","204","179","166","173","1,044","190","222","136","193","169","230","2,184"
"","","","前年比","87","86","78","98","98","86","88","45","0","0","0","0","0","46"
"","資生堂化粧品","売上","当月","8,938","7,020","12,492","12,142","17,398","12,010","70,000","7,340","0","0","0","0","0","77,340"
"","","","前年","33,468","12,160","12,944","16,269","12,832","36,804","124,477","7,008","18,432","30,512","13,638","16,522","21,747","232,336"
"","","","前年比","27","58","97","75","136","33","56","105","0","0","0","0","0","33"
"","","粗利","当月","1,879","1,410","2,587","2,386","3,279","2,351","13,892","1,595","0","0","0","0","0","15,487"
"","","","前年","6,482","2,530","2,377","2,585","2,656","6,916","23,546","1,439","3,052","6,236","2,543","3,010","4,279","44,105"
"","","","前年比","29","56","109","92","123","34","59","111","0","0","0","0","0","35"
"","","客数","当月","7","5","9","11","13","8","53","5","0","0","0","0","0","58"
"","","","前年","13","6","11","9","10","16","65","5","14","13","9","13","13","132"
"","","","前年比","54","83","82","122","130","50","82","100","0","0","0","0","0","44"
"","カネボウ化粧品","売上","当月","2,920","320","1,080","680","3,060","3,860","11,920","2,680","0","0","0","0","0","14,600"
"","","","前年","7,740","5,500","600","5,480","1,580","3,784","24,684","0","3,480","1,720","5,040","3,240","2,660","40,824"
"","","","前年比","38","6","180","12","194","102","48","0","0","0","0","0","0","36"
"","","粗利","当月","548","60","203","128","598","749","2,286","504","0","0","0","0","0","2,790"
"","","","前年","1,476","-385","113","1,030","320","710","3,264","0","653","323","1,027","609","523","6,399"
"","","","前年比","37","-16","180","12","187","105","70","0","0","0","0","0","0","44"
"","","客数","当月","3","1","1","1","3","4","13","2","0","0","0","0","0","15"
"","","","前年","6","5","1","5","1","5","23","0","3","2","5","5","2","40"
"","","","前年比","50","20","100","20","300","80","57","0","0","0","0","0","0","38"
"552　住之江店","食品","売上","当月","714,912","1,000,150","801,263","820,746","692,316","566,523","4,595,910","539,911","0","0","0","0","0","5,135,821"
"","","","前年","762,272","545,121","740,527","726,786","725,323","967,054","4,467,083","851,365","897,711","474,111","773,743","596,303","788,870","8,849,186"
"","","","前年比","94","183","108","113","95","59","103","63","0","0","0","0","0","58"
"","","粗利","当月","276,301","357,911","317,020","346,547","278,364","227,538","1,803,681","227,097","0","0","0","0","0","2,030,778"
"","","","前年","202,242","191,428","293,636","281,237","287,121","390,427","1,646,091","337,880","278,148","164,371","316,250","236,010","305,151","3,283,901"
"","","","前年比","137","187","108","123","97","58","110","67","0","0","0","0","0","62"
"","","客数","当月","285","287","319","337","306","284","1,818","177","0","0","0","0","0","1,995"
"","","","前年","315","308","326","376","337","419","2,081","384","397","326","370","288","349","4,195"
"","","","前年比","90","93","98","90","91","68","87","46","0","0","0","0","0","48"
"","日用雑貨","売上","当月","412,309","438,799","437,664","478,617","375,768","323,990","2,467,147","243,830","0","0","0","0","0","2,710,977"
"","","","前年","390,394","464,824","389,225","511,805","516,431","534,722","2,807,401","405,707","548,889","373,136","439,708","403,554","539,485","5,517,880"
"","","","前年比","106","94","112","94","73","61","88","60","0","0","0","0","0","49"
"","","粗利","当月","97,324","110,897","95,789","119,528","93,656","73,273","590,467","57,505","0","0","0","0","0","647,972"
"","","","前年","97,124","127,510","98,248","134,921","125,892","142,650","726,345","98,069","133,599","86,572","108,117","98,754","128,246","1,379,702"
"","","","前年比","100","87","97","89","74","51","81","59","0","0","0","0","0","47"
"","","客数","当月","342","323","380","358","385","341","2,129","221","0","0","0","0","0","2,350"
"","","","前年","368","356","391","419","414","490","2,438","400","457","359","407","355","466","4,882"
"","","","前年比","93","91","97","85","93","70","87","55","0","0","0","0","0","48"
"","ＯＴＣ医薬品類","売上","当月","980,477","1,241,971","1,087,146","942,953","1,041,306","982,281","6,276,134","680,996","0","0","0","0","0","6,957,130"
"","","","前年","1,021,465","1,319,797","1,035,992","1,169,435","974,997","1,141,677","6,663,363","983,841","1,303,606","1,267,696","1,200,307","916,186","1,437,904","13,772,903"
"","","","前年比","96","94","105","81","107","86","94","69","0","0","0","0","0","51"
"","","粗利","当月","433,517","562,442","474,488","422,004","459,119","408,013","2,759,583","301,358","0","0","0","0","0","3,060,941"
"","","","前年","435,258","596,105","465,638","510,334","421,172","509,389","2,937,896","422,208","563,997","573,797","515,325","407,222","625,216","6,045,661"
"","","","前年比","100","94","102","83","109","80","94","71","0","0","0","0","0","51"
"","","客数","当月","287","322","300","284","280","289","1,762","160","0","0","0","0","0","1,922"
"","","","前年","319","301","332","330","319","351","1,952","328","386","303","361","279","367","3,976"
"","","","前年比","90","107","90","86","88","82","90","49","0","0","0","0","0","48"
"","化粧品","売上","当月","234,148","191,059","287,302","304,581","227,252","233,146","1,477,488","158,635","0","0","0","0","0","1,636,123"
"","","","前年","202,174","268,321","302,748","256,566","265,173","288,959","1,583,941","261,153","308,220","268,936","245,648","258,315","378,562","3,304,775"
"","","","前年比","116","71","95","119","86","81","93","61","0","0","0","0","0","50"
"","","粗利","当月","78,283","67,323","99,068","118,498","81,086","77,002","521,260","64,718","0","0","0","0","0","585,978"
"","","","前年","64,762","95,525","106,704","87,974","81,355","103,797","540,117","92,547","101,427","97,286","86,240","92,267","127,251","1,137,135"
"","","","前年比","121","70","93","135","100","74","97","70","0","0","0","0","0","52"
"","","客数","当月","122","115","150","120","113","114","734","74","0","0","0","0","0","808"
"","","","前年","130","136","147","143","138","150","844","115","167","123","137","131","178","1,695"
"","","","前年比","94","85","102","84","82","76","87","64","0","0","0","0","0","48"
"","家庭用品","売上","当月","17,812","18,988","18,459","16,025","16,521","13,216","101,021","13,161","0","0","0","0","0","114,182"
"","","","前年","15,540","16,595","19,530","17,405","27,949","21,379","118,398","19,459","21,889","24,461","20,885","20,818","19,634","245,544"
"","","","前年比","115","114","95","92","59","62","85","68","0","0","0","0","0","47"
"","","粗利","当月","2,569","2,900","2,335","3,737","2,303","2,244","16,088","2,053","0","0","0","0","0","18,141"
"","","","前年","2,719","2,700","3,491","3,047","4,818","4,125","20,900","4,047","3,396","5,016","4,351","3,022","2,923","43,655"
"","","","前年比","94","107","67","123","48","54","77","51","0","0","0","0","0","42"
"","","客数","当月","40","56","45","43","42","47","273","31","0","0","0","0","0","304"
"","","","前年","43","47","46","40","52","55","283","46","58","53","60","54","59","613"
"","","","前年比","93","119","98","108","81","85","96","67","0","0","0","0","0","50"
"","文化用品","売上","当月","258","270","270","215","405","135","1,553","43","0","0","0","0","0","1,596"
"","","","前年","135","0","405","0","450","405","1,395","320","405","720","810","0","675","4,325"
"","","","前年比","191","0","67","0","90","33","111","13","0","0","0","0","0","37"
"","","粗利","当月","120","132","132","12","198","66","660","-26","0","0","0","0","0","634"
"","","","前年","66","0","198","0","178","198","640","182","198","310","396","0","330","2,056"
"","","","前年比","182","0","67","0","111","33","103","-14","0","0","0","0","0","31"
"","","客数","当月","1","2","2","1","2","1","9","1","0","0","0","0","0","10"
"","","","前年","1","0","3","0","2","3","9","2","3","4","5","0","3","26"
"","","","前年比","100","0","67","0","100","33","100","50","0","0","0","0","0","38"
"","耐久消費財","売上","当月","2,684","2,234","948","1,150","1,696","1,764","10,476","1,598","0","0","0","0","0","12,074"
"","","","前年","3,274","1,262","1,444","2,594","1,358","3,842","13,774","1,724","5,546","3,176","2,748","2,418","992","30,378"
"","","","前年比","82","177","66","44","125","46","76","93","0","0","0","0","0","40"
"","","粗利","当月","1,214","1,166","453","446","731","822","4,832","842","0","0","0","0","0","5,674"
"","","","前年","1,353","340","709","1,256","526","1,496","5,680","766","2,607","1,652","1,264","947","349","13,265"
"","","","前年比","90","343","64","36","139","55","85","110","0","0","0","0","0","43"
"","","客数","当月","7","7","6","6","7","6","39","6","0","0","0","0","0","45"
"","","","前年","12","10","7","7","7","11","54","3","12","9","10","8","5","101"
"","","","前年比","58","70","86","86","100","55","72","200","0","0","0","0","0","45"
"","衣料身の回り品","売上","当月","6,000","11,048","14,800","18,080","16,300","32,560","98,788","15,800","0","0","0","0","0","114,588"
"","","","前年","7,300","12,626","17,048","12,580","22,130","18,080","89,764","19,180","15,230","3,138","23,200","12,900","10,010","173,422"
"","","","前年比","82","88","87","144","74","180","110","82","0","0","0","0","0","66"
"","","粗利","当月","2,400","3,730","4,612","6,945","6,628","12,764","37,079","5,364","0","0","0","0","0","42,443"
"","","","前年","2,785","4,891","6,310","5,388","7,197","6,080","32,651","6,649","4,447","637","6,664","4,503","3,161","58,712"
"","","","前年比","86","76","73","129","92","210","114","81","0","0","0","0","0","72"
"","","客数","当月","1","4","5","8","5","10","33","4","0","0","0","0","0","37"
"","","","前年","4","5","7","4","11","6","37","6","8","4","10","4","5","74"
"","","","前年比","25","80","71","200","45","167","89","67","0","0","0","0","0","50"
"","その他商品","売上","当月","40,031","97,944","9,426","42,780","65,662","29,308","285,151","41,444","0","0","0","0","0","326,595"
"","","","前年","36,068","112,886","16,116","44,690","85,552","49,724","345,036","33,924","47,187","16,776","36,528","39,170","23,880","542,501"
"","","","前年比","111","87","58","96","77","59","83","122","0","0","0","0","0","60"
"","","粗利","当月","17,643","29,250","3,764","11,346","17,623","8,800","88,426","16,938","0","0","0","0","0","105,364"
"","","","前年","12,756","34,780","5,039","13,073","24,872","18,662","109,182","13,124","12,623","4,159","12,382","14,060","5,450","170,980"
"","","","前年比","138","84","75","87","71","47","81","129","0","0","0","0","0","62"
"","","客数","当月","8","12","5","10","11","10","56","9","0","0","0","0","0","65"
"","","","前年","28","12","7","18","13","25","103","12","15","8","15","18","9","180"
"","","","前年比","29","100","71","56","85","40","54","75","0","0","0","0","0","36"
"","湧永製品","売上","当月","2,583,697","2,683,142","2,712,241","3,055,347","2,843,308","2,819,527","16,697,262","2,013,094","0","0","0","0","0","18,710,356"
"","","","前年","2,720,698","2,202,234","3,090,212","3,323,433","2,793,129","3,249,050","17,378,756","2,962,413","3,684,076","2,591,022","3,371,785","2,836,422","4,343,335","37,167,809"
"","","","前年比","95","122","88","92","102","87","96","68","0","0","0","0","0","50"
"","","粗利","当月","1,451,943","1,512,264","1,544,155","1,722,487","1,609,796","1,588,067","9,428,712","1,101,686","0","0","0","0","0","10,530,398"
"","","","前年","1,541,979","1,234,277","1,766,247","1,870,191","1,584,962","1,872,127","9,869,783","1,642,442","2,093,525","1,474,200","1,908,822","1,602,149","2,420,234","21,011,155"
"","","","前年比","94","123","87","92","102","85","96","67","0","0","0","0","0","50"
"","","客数","当月","336","354","384","390","367","385","2,216","234","0","0","0","0","0","2,450"
"","","","前年","363","326","416","424","384","483","2,396","432","466","374","418","379","499","4,964"
"","","","前年比","93","109","92","92","96","80","92","54","0","0","0","0","0","49"
"","資生堂化粧品","売上","当月","32,344","17,944","18,445","23,338","20,432","15,244","127,747","11,300","0","0","0","0","0","139,047"
"","","","前年","9,254","29,566","21,978","26,960","24,774","21,770","134,302","13,950","23,350","13,528","24,010","27,924","24,854","261,918"
"","","","前年比","350","61","84","87","82","70","95","81","0","0","0","0","0","53"
"","","粗利","当月","7,170","3,969","4,118","4,859","4,043","3,340","27,499","2,448","0","0","0","0","0","29,947"
"","","","前年","2,100","6,347","4,964","6,262","6,071","5,127","30,871","2,954","5,142","2,575","5,345","5,781","5,882","58,550"
"","","","前年比","341","63","83","78","67","65","89","83","0","0","0","0","0","51"
"","","客数","当月","20","17","19","20","17","11","104","10","0","0","0","0","0","114"
"","","","前年","13","18","19","16","25","20","111","10","20","16","16","22","28","223"
"","","","前年比","154","94","100","125","68","55","94","100","0","0","0","0","0","51"
"","カネボウ化粧品","売上","当月","9,188","1,808","4,000","10,250","5,240","4,000","34,486","4,460","0","0","0","0","0","38,946"
"","","","前年","5,320","2,288","10,030","130","9,160","14,800","41,728","7,086","7,608","4,720","5,860","0","8,320","75,322"
"","","","前年比","173","79","40","7,885","57","27","83","63","0","0","0","0","0","52"
"","","粗利","当月","1,231","373","800","1,826","1,008","750","5,988","805","0","0","0","0","0","6,793"
"","","","前年","999","438","1,916","-885","1,768","2,826","7,062","1,264","1,461","910","1,044","0","1,610","13,351"
"","","","前年比","123","85","42","-206","57","27","85","64","0","0","0","0","0","51"
"","","客数","当月","6","2","3","6","5","3","25","2","0","0","0","0","0","27"
"","","","前年","6","3","7","1","8","6","31","8","7","4","6","0","5","61"
"","","","前年比","100","67","43","600","63","50","81","25","0","0","0","0","0","44"
"","ソフィーナ","売上","当月","22,720","1,760","17,600","5,040","15,520","6,360","69,000","13,200","0","0","0","0","0","82,200"
"","","","前年","29,780","24,614","26,745","22,240","29,860","13,300","146,539","24,720","32,220","1,760","13,840","13,920","0","232,999"
"","","","前年比","76","7","66","23","52","48","47","53","0","0","0","0","0","35"
"","","粗利","当月","3,330","220","2,690","790","3,940","1,690","12,660","1,840","0","0","0","0","0","14,500"
"","","","前年","6,050","5,824","7,580","6,505","8,825","4,215","38,999","6,815","8,365","220","1,920","1,810","0","58,129"
"","","","前年比","55","4","35","12","45","40","32","27","0","0","0","0","0","25"
"","","客数","当月","3","1","2","1","3","3","13","1","0","0","0","0","0","14"
"","","","前年","5","2","2","2","2","1","14","3","3","1","1","3","0","25"
"","","","前年比","60","50","100","50","150","300","93","33","0","0","0","0","0","56"
"","その他","売上","当月","1,980","0","0","1,980","650","1,980","6,590","0","0","0","0","0","0","6,590"
"","","","前年","0","1,980","0","0","0","500","2,480","1,980","650","0","0","0","500","5,610"
"","","","前年比","0","0","0","0","0","396","266","0","0","0","0","0","0","117"
"","","粗利","当月","847","0","0","847","649","847","3,190","0","0","0","0","0","0","3,190"
"","","","前年","0","847","0","0","0","499","1,346","847","649","0","0","0","499","3,341"
"","","","前年比","0","0","0","0","0","170","237","0","0","0","0","0","0","95"
"","","客数","当月","1","0","0","1","1","1","4","0","0","0","0","0","0","4"
"","","","前年","0","1","0","0","0","1","2","1","1","0","0","0","1","5"
"","","","前年比","0","0","0","0","0","100","200","0","0","0","0","0","0","80"
"601　上市店","食品","売上","当月","8,508","7,512","17,024","29,941","17,485","34,653","115,123","10,344","0","0","0","0","0","125,467"
"","","","前年","76,974","40,649","45,478","42,496","38,202","30,970","274,769","27,704","51,265","24,023","10,484","27,925","19,444","435,614"
"","","","前年比","11","18","37","70","46","112","42","37","0","0","0","0","0","29"
"","","粗利","当月","2,781","2,406","6,012","8,592","4,752","9,139","33,682","3,268","0","0","0","0","0","36,950"
"","","","前年","20,023","6,470","9,661","8,960","10,286","8,223","63,623","8,168","12,513","8,681","2,763","10,316","5,343","111,407"
"","","","前年比","14","37","62","96","46","111","53","40","0","0","0","0","0","33"
"","","客数","当月","9","12","14","14","22","25","96","16","0","0","0","0","0","112"
"","","","前年","98","85","90","70","49","35","427","26","30","15","15","16","18","547"
"","","","前年比","9","14","16","20","45","71","22","62","0","0","0","0","0","20"
"","日用雑貨","売上","当月","50,173","88,309","132,086","45,437","42,282","41,987","400,274","27,492","0","0","0","0","0","427,766"
"","","","前年","120,132","127,927","132,936","111,342","48,784","77,399","618,520","73,419","55,160","101,180","71,039","59,425","45,304","1,024,047"
"","","","前年比","42","69","99","41","87","54","65","37","0","0","0","0","0","42"
"","","粗利","当月","8,149","23,800","30,066","7,920","7,574","5,959","83,468","5,256","0","0","0","0","0","88,724"
"","","","前年","24,908","22,007","16,178","9,792","4,789","10,086","87,760","13,082","8,683","19,411","14,161","10,010","7,546","160,653"
"","","","前年比","33","108","186","81","158","59","95","40","0","0","0","0","0","55"
"","","客数","当月","41","36","50","44","35","42","248","24","0","0","0","0","0","272"
"","","","前年","109","124","126","116","62","76","613","62","60","59","54","52","40","940"
"","","","前年比","38","29","40","38","56","55","40","39","0","0","0","0","0","29"
"","ＯＴＣ医薬品類","売上","当月","120,265","154,515","205,141","138,692","136,993","206,789","962,395","105,305","0","0","0","0","0","1,067,700"
"","","","前年","182,446","178,121","240,628","191,961","165,932","208,318","1,167,406","208,392","131,011","170,045","152,508","160,564","130,709","2,120,635"
"","","","前年比","66","87","85","72","83","99","82","51","0","0","0","0","0","50"
"","","粗利","当月","45,599","48,680","68,777","46,981","46,048","69,574","325,659","33,506","0","0","0","0","0","359,165"
"","","","前年","50,485","54,310","83,433","53,691","50,182","58,185","350,286","58,610","36,095","50,261","47,964","45,582","43,341","632,139"
"","","","前年比","90","90","82","88","92","120","93","57","0","0","0","0","0","57"
"","","客数","当月","47","37","68","61","50","71","334","34","0","0","0","0","0","368"
"","","","前年","85","81","96","113","74","89","538","75","68","71","64","69","50","935"
"","","","前年比","55","46","71","54","68","80","62","45","0","0","0","0","0","39"
"","化粧品","売上","当月","9,808","2,892","9,866","2,130","5,668","8,861","39,225","5,375","0","0","0","0","0","44,600"
"","","","前年","6,375","15,196","15,237","12,398","4,210","3,855","57,271","4,478","12,422","791","5,920","11,241","9,132","101,255"
"","","","前年比","154","19","65","17","135","230","68","120","0","0","0","0","0","44"
"","","粗利","当月","1,218","660","1,871","132","319","299","4,499","764","0","0","0","0","0","5,263"
"","","","前年","709","3,582","1,445","629","1,359","-8","7,716","-16","389","0","624","2,800","1,104","12,617"
"","","","前年比","172","18","129","21","23","-3,737","58","-4,775","0","0","0","0","0","42"
"","","客数","当月","5","2","7","4","6","6","30","4","0","0","0","0","0","34"
"","","","前年","6","15","16","13","4","5","59","4","12","2","5","6","9","97"
"","","","前年比","83","13","44","31","150","120","51","100","0","0","0","0","0","35"
"","家庭用品","売上","当月","275","580","170","845","5,000","1,474","8,344","78","0","0","0","0","0","8,422"
"","","","前年","6,212","92,874","3,587","3,090","542","5,602","111,907","588","1,141","821","10,391","1,343","603","126,794"
"","","","前年比","4","1","5","27","923","26","7","13","0","0","0","0","0","7"
"","","粗利","当月","25","-250","0","-250","1,000","-134","391","0","0","0","0","0","0","391"
"","","","前年","995","17,579","24","15","0","995","19,608","-250","0","0","3,123","70","-250","22,301"
"","","","前年比","3","-1","0","-1,667","0","-13","2","0","0","0","0","0","0","2"
"","","客数","当月","1","3","2","2","1","7","16","1","0","0","0","0","0","17"
"","","","前年","6","11","13","13","3","5","51","4","7","5","4","7","6","84"
"","","","前年比","17","27","15","15","33","140","31","25","0","0","0","0","0","20"
"","衣料身の回り品","売上","当月","280","1,225","0","0","0","1,000","2,505","0","0","0","0","0","0","2,505"
"","","","前年","1,109","198","0","0","0","0","1,307","0","0","160","0","0","0","1,467"
"","","","前年比","25","619","0","0","0","0","192","0","0","0","0","0","0","171"
"","","粗利","当月","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","前年","369","70","0","0","0","0","439","0","0","0","0","0","0","439"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","客数","当月","1","1","0","0","0","1","3","0","0","0","0","0","0","3"
"","","","前年","3","1","0","0","0","0","4","0","0","1","0","0","0","5"
"","","","前年比","33","100","0","0","0","0","75","0","0","0","0","0","0","60"
"","その他商品","売上","当月","18,837","9,600","35,639","24,472","13,186","7,336","109,070","9,765","0","0","0","0","0","118,835"
"","","","前年","30,659","20,186","22,846","27,122","15,510","47,953","164,276","19,986","37,805","30,700","30,686","25,386","30,166","339,005"
"","","","前年比","61","48","156","90","85","15","66","49","0","0","0","0","0","35"
"","","粗利","当月","8,991","3,550","15,543","10,900","6,720","2,996","48,700","4,750","0","0","0","0","0","53,450"
"","","","前年","10,099","8,059","10,016","8,416","6,273","14,753","57,616","8,759","14,448","13,846","14,913","11,166","5,846","126,594"
"","","","前年比","89","44","155","130","107","20","85","54","0","0","0","0","0","42"
"","","客数","当月","5","2","6","5","2","2","22","2","0","0","0","0","0","24"
"","","","前年","8","5","5","9","4","7","38","5","7","6","5","6","4","71"
"","","","前年比","63","40","120","56","50","29","58","40","0","0","0","0","0","34"
"631　パスコ店","食品","売上","当月","370,508","494,249","400,859","454,203","389,180","541,471","2,650,470","209,356","0","0","0","0","0","2,859,826"
"","","","前年","622,700","732,421","329,929","678,793","428,663","535,539","3,328,045","337,387","486,488","385,363","530,970","265,133","425,900","5,759,286"
"","","","前年比","60","67","121","67","91","101","80","62","0","0","0","0","0","50"
"","","粗利","当月","108,681","140,232","110,139","142,614","118,363","157,647","777,676","70,299","0","0","0","0","0","847,975"
"","","","前年","227,563","225,888","85,240","246,388","123,982","167,391","1,076,452","112,702","160,749","116,879","158,623","78,772","127,776","1,831,953"
"","","","前年比","48","62","129","58","95","94","72","62","0","0","0","0","0","46"
"","","客数","当月","269","264","285","276","267","384","1,745","222","0","0","0","0","0","1,967"
"","","","前年","245","333","195","259","248","315","1,595","300","348","238","297","187","253","3,218"
"","","","前年比","110","79","146","107","108","122","109","74","0","0","0","0","0","61"
"","日用雑貨","売上","当月","1,745,464","1,771,433","1,707,652","1,560,812","1,555,040","1,774,250","10,114,651","1,065,452","0","0","0","0","0","11,180,103"
"","","","前年","1,486,922","2,656,337","1,528,471","1,396,488","1,393,684","1,909,070","10,370,972","1,524,381","1,828,688","1,389,146","1,836,862","1,492,875","1,913,154","20,356,078"
"","","","前年比","117","67","112","112","112","93","98","70","0","0","0","0","0","55"
"","","粗利","当月","405,211","487,760","430,676","362,313","376,633","456,931","2,519,524","296,538","0","0","0","0","0","2,816,062"
"","","","前年","375,686","648,751","411,193","364,771","385,039","515,008","2,700,448","409,548","450,810","357,887","441,893","342,153","453,131","5,155,870"
"","","","前年比","108","75","105","99","98","89","93","72","0","0","0","0","0","55"
"","","客数","当月","2,106","1,888","2,035","1,972","1,965","1,978","11,944","1,228","0","0","0","0","0","13,172"
"","","","前年","1,813","2,571","1,702","1,747","1,663","2,060","11,556","1,882","2,125","1,726","2,168","1,762","2,232","23,451"
"","","","前年比","116","73","120","113","118","96","103","65","0","0","0","0","0","56"
"","ＯＴＣ医薬品類","売上","当月","1,323,536","1,204,497","1,209,963","1,116,021","1,240,971","1,397,322","7,492,310","719,146","0","0","0","0","0","8,211,456"
"","","","前年","1,369,489","1,786,483","1,265,239","1,287,473","1,365,677","1,756,991","8,831,352","1,183,012","1,514,730","1,209,908","1,504,699","1,073,300","1,397,913","16,714,914"
"","","","前年比","97","67","96","87","91","80","85","61","0","0","0","0","0","49"
"","","粗利","当月","568,158","477,736","508,215","469,434","520,828","553,673","3,098,044","289,140","0","0","0","0","0","3,387,184"
"","","","前年","595,828","710,144","535,918","587,836","677,680","803,393","3,910,799","559,811","687,773","505,343","659,186","447,046","574,845","7,344,803"
"","","","前年比","95","67","95","80","77","69","79","52","0","0","0","0","0","46"
"","","客数","当月","843","778","766","803","842","964","4,996","575","0","0","0","0","0","5,571"
"","","","前年","769","1,019","804","791","836","974","5,193","865","1,008","827","982","765","909","10,549"
"","","","前年比","110","76","95","102","101","99","96","66","0","0","0","0","0","53"
"","化粧品","売上","当月","931,793","839,736","805,956","765,930","1,229,987","934,086","5,507,488","336,374","0","0","0","0","0","5,843,862"
"","","","前年","766,163","1,421,807","669,677","801,514","937,919","1,007,663","5,604,743","641,691","834,171","785,044","1,161,868","740,172","991,732","10,759,421"
"","","","前年比","122","59","120","96","131","93","98","52","0","0","0","0","0","54"
"","","粗利","当月","343,708","279,607","287,472","283,280","476,667","352,082","2,022,816","116,861","0","0","0","0","0","2,139,677"
"","","","前年","289,334","469,058","228,533","299,151","364,178","374,283","2,024,537","244,415","289,399","273,767","425,872","259,421","351,289","3,868,700"
"","","","前年比","119","60","126","95","131","94","100","48","0","0","0","0","0","55"
"","","客数","当月","400","370","402","371","436","422","2,401","248","0","0","0","0","0","2,649"
"","","","前年","356","689","366","408","372","445","2,636","340","386","323","472","366","456","4,979"
"","","","前年比","112","54","110","91","117","95","91","73","0","0","0","0","0","53"
"","家庭用品","売上","当月","25,157","18,509","17,671","22,575","20,593","23,017","127,522","11,422","0","0","0","0","0","138,944"
"","","","前年","19,796","55,401","28,134","22,003","18,351","28,562","172,247","21,358","30,035","26,641","30,822","26,082","32,987","340,172"
"","","","前年比","127","33","63","103","112","81","74","53","0","0","0","0","0","41"
"","","粗利","当月","6,359","4,882","4,167","5,951","4,408","4,817","30,584","2,550","0","0","0","0","0","33,134"
"","","","前年","5,251","13,411","7,196","4,864","4,835","7,253","42,810","5,108","7,372","5,856","7,801","6,093","7,764","82,804"
"","","","前年比","121","36","58","122","91","66","71","50","0","0","0","0","0","40"
"","","客数","当月","64","55","56","53","49","64","341","40","0","0","0","0","0","381"
"","","","前年","59","156","70","71","47","69","472","55","84","62","75","66","96","910"
"","","","前年比","108","35","80","75","104","93","72","73","0","0","0","0","0","42"
