店舗,営業日数,税込売上額,税抜売上額,消費税8%,消費税10%,構成比,数量,平均数量,来店数,平均単価,客平均単価,引額
"406 コスメイシイ","23日","2640291","2400943","2970","236378","6.91  ","554","24","181","4334","13265","547425"
"268　松本店","20日","1634294","1491529","26794","115971","4.29  ","371","19","190","4020","7850","5833"
"540　さなだ店","25日","275485","250976","2080","22429","0.72  ","234","9","142","1073","1767","31071"
"554　愛国東店","31日","3330004","3041820","63040","225144","8.75  ","1856","58","624","1639","4875","114152"
"552　住之江店","31日","5938839","5427976","126150","384713","15.62  ","3254","105","1008","1668","5385","137877"
"601　上市店","25日","299710","272777","1227","25706","0.78  ","287","11","115","950","2372","0"
"631　パスコ店","31日","7055815","6433578","78082","544155","18.51  ","8361","135","3410","769","1887","286271"
"634　プラファ店","31日","3600967","3282562","37427","280978","9.44  ","2661","86","1246","1234","2634","46458"
"636　砺波店","31日","3461536","3157164","44064","260308","9.08  ","1995","32","790","1583","3996","179244"
"639　大島店","31日","3548045","3233491","46911","267643","9.30  ","2819","91","1172","1147","2759","98801"
"063　ミラドラ","28日","3094349","2824307","48299","221743","8.13  ","3625","66","695","779","4064","20211"
"566　五位田店","26日","2796411","2549233","30624","216554","7.33  ","1524","59","341","1673","7476","164173"
"559　菅谷店","25日","372892","339756","2971","30165","0.98  ","422","17","181","805","1877","3145"
"236ミラドラ山口あさか店","26日","54929","49992","238","4699","0.14  ","16","0","11","3125","4545","1464"