移動日,移動元店舗,移動先店舗,商品コード,商品名,商品容量,数量,単価,金額,入力形能,入庫確定
"2022/11/01","630　しみず倉庫","パスコ店","4987416110218","駆風解毒湯エキス顆粒Ｋ","９ホウ","2","550","1,100","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987014013607","新バイトゴールド２０００　１００ｍｌ","１００ｍｌ","50","39","1,950","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987067205004","キャベジンコーワα　２００錠","２００錠","1","1,045","1,045","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987067205202","キャベジンコーワα　３００錠","３００錠","2","1,325","2,650","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987074300556","メディストロクリーム","20 ｇ","4","200","800","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987084418425","サンテアスティ　１５ｍｌ","１５ｍｌ","3","297","891","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987103035008","ビュークリアHi40アクティブ","１２ｍｌ","3","666","1,998","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987103049364","コンドロイチンＺＳ３１０錠","３１０錠","1","4,300","4,300","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987103050285","モレナ　リッチリップ１．９ｇ","１．９ｇ","2","600","1,200","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987103051510","プレバリンマイケア　18ｇ","１８ｇ","2","352","704","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987103052074","イオナスパ＆ミネラルエッセンジェルEX","８０ｇ","2","1,920","3,840","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987123142038","タケダ漢方便秘薬　１８０錠","１８０錠","1","1,780","1,780","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987154663687","アウゲＦＸ 15 ｍｌ","１５ｍｌ","3","143","429","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987235044848","ＡＪＤ　パスタイムＨ　３０枚","３０枚","2","473","946","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987306001299","抗菌アイリス使いきり１８本","１８本入","1","392","392","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987306019607","口内炎パッチ大正Ａ　 20 パッチ","２０パッチ","1","720","720","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987306021242","コーラック　６０錠","６０ジョウ","1","637","637","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987306035119","ダマリングランデＸ　クリーム１５ｇ","１５ｇ","1","1,000","1,000","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987306054783","新ビオフェルミン S ３５０錠","３５０錠","3","1,462","4,386","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987306054806","新ビオフェルミンＳ細粒 45 ｇ","４５ｇ","1","666","666","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987426002091","液体ムヒＳ２ａ５０ｍｌ","５０ｍｌ","10","316","3,160","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987433120054","プラセントップ液３０ｍｌ","３０ｍｌ","120","310","37,200","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987469145908","コンクナットＥＸ　　　　　　　　　　　　１８０Ｔ","１８０Ｔ","1","534","534","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987469589207","ビフィズミン３６０錠","３６０錠","2","459","918","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987469597042","オルテクサー口腔用軟膏　５ｇ","５ｇ","3","222","666","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987475118712","パステル FR テープ V α","42 枚","2","605","1,210","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987487102723","タカミツクールリフェンダ　６枚","６枚","100","70","7,000","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987910710884","ＮＥＷマイティアＣＬ－Ｓ　 15ML","１５ｍｌ","1","192","192","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4987910710891","ＮＥＷマイティアＣＬクール-Ｓ","１５ｍｌ","2","192","384","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4970511202636","不織布かぜ・花粉マスク　子供用５０枚","５０枚","5","300","1,500","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4530883502545","宮島シームレスサポーター　ひざＭ１枚","１枚","1","266","266","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4589818059432","ダイヤモンドマスクスイートピンク30枚","３０枚入り","5","320","1,600","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4901080726513","部分入れ歯用ポリデント　108錠+6錠","１０８錠　＋","10","595","5,950","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4902989372917","かき醤油味付のり　角 54 枚","５４枚","12","200","2,400","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4953817970102","東京折耳銀黒白７本御香典","","5","29","145","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4954097910161","ファイトマンゼリー　ビタミン１８０ｇ","１８０ｇ","6","65","390","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4954097914459","植物石鹸ＮＹ ４個パック","４個パック","10","128","1,280","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4960085900403","アトレチオン　ＬＸ　液剤　３０ｍｌ","３０ｍｌ","1","348","348","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4960085990503","キズクイックＦｉｔ（指用） 10 枚","１０枚","1","222","222","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4968250147110","セキセチン　咳止め１００ｍｌ","１００ｍｌ","1","354","354","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4968250174123","ワクナガ胃腸薬Ｕ　１２包","１２包","2","251","502","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","１２０ｍｌ","4","5,742","22,968","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","２４０ｍｌ","4","10,127","40,508","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4968250300119","宝脚　３００錠","３００錠","4","2,500","10,000","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4968250305213","キヨーレオピンネオｗ　120ml","１２０ｍｌ","4","3,158","12,632","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4968250305312","キヨーレオピンネオｗ　240ml","２４０ｍｌ","4","5,570","22,280","ハンディー",""
"2022/11/01","630　しみず倉庫","パスコ店","4968250867117","プレビジョン　カルマジン　８００粒","８００粒","2","1,108","2,216","ハンディー",""
