店舗,営業日数,税込売上額,税抜売上額,消費税8%,消費税10%,構成比,数量,平均数量,来店数,平均単価,客平均単価,引額
"406 コスメイシイ","26日","4656954","4234976","5967","416011","11.78  ","904","35","248","4685","17077","1174145"
"268　松本店","21日","1968712","1793670","17203","157839","4.99  ","464","22","218","3866","8228","20545"
"540　さなだ店","26日","367987","335304","3098","29585","0.93  ","278","10","147","1206","2281","34133"
"554　愛国東店","30日","3528745","3220324","53564","254857","8.95  ","1943","65","667","1657","4828","65667"
"552　住之江店","30日","5508422","5029749","96099","382574","13.98  ","3155","105","1000","1594","5030","116141"
"601　上市店","26日","338963","308931","3256","26776","0.86  ","498","19","128","620","2414","304"
"631　パスコ店","30日","6535791","5959681","73295","502815","16.57  ","8190","137","3316","728","1797","177889"
"634　プラファ店","30日","3940803","3594813","51962","294028","10.00  ","2705","90","1286","1329","2795","139599"
"636　砺波店","30日","3338313","3046289","49134","242890","8.47  ","2085","35","739","1461","4122","116456"
"639　大島店","30日","2965202","2705238","40489","219475","7.52  ","2402","80","1034","1126","2616","84700"
"063　ミラドラ","26日","2984746","2724771","48324","211651","7.58  ","2950","59","627","924","4346","13547"
"566　五位田店","25日","2635130","2400932","22543","211655","6.68  ","1123","45","318","2138","7550","126730"
"559　菅谷店","26日","658196","599245","3441","55510","1.67  ","498","19","212","1203","2827","2947"
"236ミラドラ山口あさか店","27日","12639","11537","154","948","0.03  ","20","0","8","577","1442","3876"