日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"2022/11","406 コスメイシイ","当月","5,420,866","4,929,087","4,408","487,371","801,776","16.27","256","1,022","19,254","3.99","4,822.98"
"","","前年","4,005,583","3,642,749","5,720","357,114","707,894","19.43","236","792","15,435","3.36","4,599.43"
"","","前年比","135","135","77","136","113","83.70","108","129","1","1.19","1.05"
"","268　松本店","当月","1,274,876","1,162,131","14,984","97,761","433,604","37.31","192","366","6,053","1.91","3,175.22"
"","","前年","1,613,682","1,471,655","20,433","121,594","609,281","41.40","210","708","7,008","3.37","2,078.61"
"","","前年比","79","79","73","80","71","90.12","91","52","1","0.57","1.53"
"","540　さなだ店","当月","479,216","436,781","4,722","37,713","147,485","33.77","148","269","2,951","1.82","1,623.72"
"","","前年","348,318","317,212","2,218","28,888","105,822","33.36","153","265","2,073","1.73","1,197.03"
"","","前年比","138","138","213","131","139","101.22","97","102","1","1.05","1.36"
"","554　愛国東店","当月","3,141,619","2,869,228","48,752","223,639","1,211,798","42.23","633","1,550","4,533","2.45","1,851.11"
"","","前年","3,196,625","2,915,781","38,711","242,133","1,288,128","44.18","687","1,864","4,244","2.71","1,564.26"
"","","前年比","98","98","126","92","94","95.60","92","83","1","0.90","1.18"
"","552　住之江店","当月","5,597,661","5,114,617","112,222","370,822","2,501,083","48.90","919","3,037","5,565","3.30","1,684.10"
"","","前年","5,614,373","5,127,284","100,858","386,231","2,466,525","48.11","1,032","3,176","4,968","3.08","1,614.38"
"","","前年比","100","100","111","96","101","101.65","89","96","1","1.07","1.04"
"","601　上市店","当月","170,690","155,801","2,646","12,243","42,430","27.23","76","241","2,050","3.17","646.48"
"","","前年","373,790","340,466","2,729","30,595","103,832","30.50","125","402","2,724","3.22","846.93"
"","","前年比","46","46","97","40","41","89.30","61","60","1","0.99","0.76"
"","631　パスコ店","当月","6,116,900","5,577,666","68,752","470,482","2,129,056","38.17","2,876","7,422","1,939","2.58","751.50"
"","","前年","5,415,558","4,935,783","50,090","429,685","1,829,325","37.06","2,789","6,612","1,770","2.37","746.49"
"","","前年比","113","113","137","109","116","102.99","103","112","1","1.09","1.01"
"","634　プラファ店","当月","4,264,804","3,888,969","49,867","325,968","1,696,250","43.62","1,426","3,197","2,727","2.24","1,216.44"
"","","前年","3,644,344","3,322,946","41,554","279,844","1,422,650","42.81","1,197","2,740","2,776","2.29","1,212.75"
"","","前年比","117","117","120","116","119","101.88","119","117","1","0.98","1.00"
"","636　砺波店","当月","3,259,165","2,972,916","42,962","243,287","1,355,713","45.60","733","2,001","4,056","2.73","1,485.72"
"","","前年","2,896,989","2,642,614","38,194","216,181","1,259,290","47.65","745","1,751","3,547","2.35","1,509.20"
"","","前年比","113","112","112","113","108","95.70","98","114","1","1.16","0.98"
"","639　大島店","当月","3,889,180","3,545,643","42,293","301,244","1,566,536","44.18","1,176","2,681","3,015","2.28","1,322.51"
"","","前年","2,891,386","2,635,987","31,115","224,284","1,178,478","44.71","983","2,315","2,682","2.36","1,138.66"
"","","前年比","135","135","136","134","133","98.83","120","116","1","0.97","1.16"
"","063　ミラドラ","当月","3,079,176","2,809,704","44,695","224,777","717,297","25.53","689","3,300","4,078","4.79","851.43"
"","","前年","3,234,185","2,950,595","44,298","239,292","803,872","27.24","744","3,884","3,966","5.22","759.68"
"","","前年比","95","95","101","94","89","93.70","93","85","1","0.92","1.12"
"","566　五位田店","当月","2,905,117","2,647,311","27,356","230,450","924,325","34.92","384","1,173","6,894","3.05","2,256.87"
"","","前年","2,904,341","2,646,882","28,613","228,846","902,838","34.11","355","1,657","7,456","4.67","1,597.39"
"","","前年比","100","100","96","101","102","102.36","108","71","1","0.65","1.41"
"","559　菅谷店","当月","545,623","496,633","2,315","46,675","169,231","34.08","194","384","2,560","1.98","1,293.32"
"","","前年","513,233","467,237","2,490","43,506","173,729","37.18","205","473","2,279","2.31","987.82"
"","","前年比","106","106","93","107","97","91.65","95","81","1","0.86","1.31"
"","630　しみず倉庫","当月","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","641　平塚(J)倉庫","当月","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","642　水野(D)倉庫","当月","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","236ミラドラ山口あさか店","当月","29,146","26,515","72","2,559","12,710","47.94","11","14","2,410","1.27","1,893.93"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"