日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"2022/06","406 コスメイシイ","当月","4,656,954","4,234,976","5,967","416,011","776,391","18.33","248","904","17,077","3.65","4,684.71"
"","","前年","3,786,204","3,443,563","6,806","335,835","642,367","18.65","239","837","14,408","3.50","4,114.17"
"","","前年比","123","123","88","124","121","98.28","104","108","1","1.04","1.14"
"","268　松本店","当月","1,968,712","1,793,670","17,203","157,839","766,450","42.73","218","464","8,228","2.13","3,865.67"
"","","前年","2,001,358","1,823,085","16,111","162,162","691,585","37.93","219","398","8,325","1.82","4,580.62"
"","","前年比","98","98","107","97","111","112.64","100","117","1","1.17","0.84"
"","540　さなだ店","当月","367,987","335,304","3,098","29,585","120,573","35.96","147","278","2,281","1.89","1,206.13"
"","","前年","382,314","348,674","4,443","29,197","119,272","34.21","217","377","1,607","1.74","924.86"
"","","前年比","96","96","70","101","101","105.12","68","74","1","1.09","1.30"
"","554　愛国東店","当月","3,528,745","3,220,324","53,439","254,982","1,430,647","44.43","667","1,943","4,828","2.91","1,657.40"
"","","前年","3,629,238","3,312,589","52,512","264,137","1,408,258","42.51","736","2,213","4,501","3.01","1,496.88"
"","","前年比","97","97","102","97","102","104.50","91","88","1","0.97","1.11"
"","552　住之江店","当月","5,508,422","5,029,749","96,527","382,146","2,405,216","47.82","1,000","3,155","5,030","3.16","1,594.22"
"","","前年","6,947,097","6,347,084","136,505","463,508","3,066,762","48.32","1,294","4,227","4,905","3.27","1,501.56"
"","","前年比","79","79","71","82","78","98.97","77","75","1","0.97","1.06"
"","601　上市店","当月","338,963","308,931","3,256","26,776","90,942","29.44","128","498","2,414","3.89","620.34"
"","","前年","466,797","425,159","3,227","38,411","114,058","26.83","178","568","2,389","3.19","748.52"
"","","前年比","73","73","101","70","80","109.73","72","88","1","1.22","0.83"
"","631　パスコ店","当月","6,535,791","5,959,681","73,514","502,596","2,206,166","37.02","3,316","8,190","1,797","2.47","727.68"
"","","前年","7,638,222","6,962,656","76,446","599,120","2,709,376","38.91","3,393","8,410","2,052","2.48","827.90"
"","","前年比","86","86","96","84","81","95.13","98","97","1","1.00","0.88"
"","634　プラファ店","当月","3,940,803","3,594,813","51,962","294,028","1,567,081","43.59","1,286","2,705","2,795","2.10","1,328.95"
"","","前年","3,528,405","3,216,260","35,824","276,321","1,439,158","44.75","1,247","2,462","2,579","1.97","1,306.36"
"","","前年比","112","112","145","106","109","97.42","103","110","1","1.07","1.02"
"","636　砺波店","当月","3,338,313","3,046,289","49,134","242,890","1,338,972","43.95","739","2,085","4,122","2.82","1,461.05"
"","","前年","4,179,718","3,816,243","71,189","292,286","1,897,196","49.71","810","2,157","4,711","2.66","1,769.24"
"","","前年比","80","80","69","83","71","88.41","91","97","1","1.06","0.83"
"","639　大島店","当月","2,965,202","2,705,238","40,483","219,481","1,152,715","42.61","1,034","2,402","2,616","2.32","1,126.24"
"","","前年","3,275,386","2,984,769","29,895","260,722","1,430,453","47.93","933","2,129","3,199","2.28","1,401.96"
"","","前年比","91","91","135","84","81","88.91","111","113","1","1.02","0.80"
"","063　ミラドラ","当月","2,984,746","2,724,771","48,269","211,706","754,920","27.71","627","2,950","4,346","4.70","923.65"
"","","前年","3,312,326","3,022,881","49,845","239,600","823,699","27.25","736","4,010","4,107","5.45","753.84"
"","","前年比","90","90","97","88","92","101.68","85","74","1","0.86","1.23"
"","566　五位田店","当月","2,635,130","2,400,932","22,490","211,708","831,841","34.65","318","1,123","7,550","3.53","2,137.96"
"","","前年","3,486,591","3,175,752","26,594","284,245","1,115,044","35.11","395","1,360","8,040","3.44","2,335.11"
"","","前年比","76","76","85","74","75","98.68","81","83","1","1.03","0.92"
"","559　菅谷店","当月","658,196","599,245","3,441","55,510","206,226","34.41","212","498","2,827","2.35","1,203.30"
"","","前年","582,495","530,808","5,109","46,578","192,914","36.34","251","507","2,115","2.02","1,046.96"
"","","前年比","113","113","67","119","107","94.69","84","98","1","1.16","1.15"
"","236ミラドラ山口あさか店","当月","12,639","11,537","186","916","2,042","17.70","8","20","1,442","2.50","576.85"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"