﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"236ミラドラ山口あさか店","","01","","0190","","","","","","","","4935818674753","カンニャボＡ","8","200ﾂﾌﾞ","1","5,600.00","7,723","2","15,445","4,245","27.48","61.97","49.13","48.94"
"","","03","","0229","","","","0901","","0010","","4987030700833","正官庄　高麗紅蔘粉カプセル　２００ｃｐ","10","","2","7,200.00","11,608","1","11,608","4,408","37.97","31.90","",""
"","","03","","0992","","","","0901","","0008","","4958707000839","ユースＰ錠剤　４８０錠","10","","3","5,952.00","8,878","1","8,878","2,926","32.96","24.40","",""
"","","03","","0191","","","","0901","","0060","","4987123145428","アリナミンＥＸプラス　２７０錠","10","","4","5,586.00","8,300","1","8,300","2,714","32.70","22.81","",""
"","","01","","0312","","","","","","","","4544630030311","イチョウ葉","8","30ﾋ","5","1,500.00","2,902","2","5,804","2,804","48.31","23.29","18.46","48.94"
"","","01","","0312","","","","","","","","4582550420508","ルテインビルベリーエキス","8","17.4G","6","1,900.00","3,676","1","3,676","1,776","48.31","14.75","11.69","48.94"
"","","03","","0113","","","","0010","","0003","","4987028146605","ナボリンＳ　４０錠","10","","7","1,986.00","2,900","1","2,900","914","31.52","7.97","",""
"","","04","","0918","","","","","","","","4934651579034","ＮＯＶ　ＵＶミルクＥＸ　35ｇ","10","35g","8","1,400.00","2,000","1","2,000","600","30.00","83.06","6.36","48.94"
"","","03","","0312","","","","","","","","4987107617866","ロキソニンＳテープ","10","14ﾏｲ","9","1,074.00","1,600","1","1,600","526","32.88","4.40","5.09","48.94"
"","","03","","0312","","","","","","","","4987188123645","フェイタスＺアルファローション","10","50ml","10","978.00","1,450","1","1,450","472","32.55","3.99","4.61","48.94"
"","","03","","0312","","","","","","","","4950055501136","テイアーレ抗菌目薬０．５ｍL×18本","10","0.5ml","11","500.00","950","1","950","450","47.37","2.61","3.02","48.94"
"","","03","","0611","","","","0001","","0002","","4987241113453","ロート養潤水α 13 ｍｌ","10","13ML","12","422.00","698","1","698","276","39.54","1.92","",""
"","","04","","0312","","","","0001","","0002","","4901301254191","花王ビオレ　メイクも落とせる洗顔　詰替","10","","13","407.00","408","1","408","1","0.25","16.94","",""
"","","05","","0312","","","","","","","","4903301254805","消臭ブルーダイヤ","10","","14","219.00","300","1","300","81","27.00","100.00","0.95","48.94"
"","","02","","0312","","","","","","","","4901957215034","フィッティ７デイズマスクＥＸプラス　ふつう","10","7ﾏｲ","15","125.00","178","1","178","53","29.78","100.00","0.57","48.94"
"","","11","","0751","","","","","","","","0000000010007","その他100％","10","","16","1.00","32","1","32","31","96.88","100.00","0.10","48.94"