﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"本部","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0122","冷蔵庫（～599L）","4549873138084","R-HS52RG(N) 冷蔵庫 520L 右開き","10","","1","120,016.00","163,455","1","163,455","43,439","26.58","52.79","100.00","3.84"
"","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0121","冷蔵庫（～499L）","4549873135069","R-K40RJ T 401L冷蔵庫右","10","","2","91,000.00","136,182","1","136,182","45,182","33.18","43.98","100.00","3.20"
"","","12","冷蔵庫","0020","ジャパネット","","","0012","冷蔵庫","0124","配送・設置料（冷蔵庫）","2087801028172","配達設置(冷蔵庫) M","10","","3","5,000.00","5,000","2","10,000","0","0.00","3.23","100.00","0.24"
"佐々店","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0122","冷蔵庫（～599L）","4549873138084","R-HS52RG(N) 冷蔵庫 520L 右開き","10","","1","120,016.00","168,183","2","336,365","96,333","28.64","33.74","64.94","12.18"
"","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0120","冷蔵庫（～399L）","4549873137889","R-V32RV N 冷蔵庫 315L","0","","2","79,279.00","104,364","2","208,728","50,170","24.04","20.94","75.68","6.48"
"","","12","冷蔵庫","0020","ジャパネット","0000003","AQUA","0012","冷蔵庫","0122","冷蔵庫（～599L）","4562335449511","AQR-TZ51M(T) 冷蔵庫512L","10","","3","164,087.00","181,637","1","181,637","17,550","9.66","18.22","35.06","12.18"
"","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0121","冷蔵庫（～499L）","4549873135069","R-K40RJ T 401L冷蔵庫右","10","","4","91,000.00","136,182","1","136,182","45,182","33.18","13.66","100.00","3.20"
"","","12","冷蔵庫","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0012","冷蔵庫","0120","冷蔵庫（～399L）","4974019208206","SJ-PD28H-T 冷蔵庫 280L 右開 茶","0","","5","60,112.00","67,091","1","67,091","6,979","10.40","6.73","24.32","6.48"
"","","12","冷蔵庫","0020","ジャパネット","","","0012","冷蔵庫","0124","配送・設置料（冷蔵庫）","2087801028172","配達設置(冷蔵庫) M","10","","6","7,444.44","7,444","9","67,000","0","0.00","6.72","100.00","1.58"
"佐世保本店","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0122","冷蔵庫（～599L）","4549873138084","R-HS52RG(N) 冷蔵庫 520L 右開き","10","","1","120,016.00","163,455","1","163,455","43,439","26.58","32.70","100.00","3.84"
"","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0121","冷蔵庫（～499L）","4549873118680","R-HWS47N(XN) 冷蔵庫 470L 右開き","10","","2","112,320.00","154,364","1","154,364","42,044","27.24","30.88","100.00","3.63"
"","","12","冷蔵庫","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0012","冷蔵庫","0120","冷蔵庫（～399L）","4974019208206","SJ-PD28H-T 冷蔵庫 280L 右開 茶","0","","3","60,112.00","73,000","2","146,000","25,776","17.65","29.21","100.00","3.43"
"","","12","冷蔵庫","0020","ジャパネット","","","0012","冷蔵庫","0124","配送・設置料（冷蔵庫）","2087801028172","配達設置(冷蔵庫) M","10","","4","8,666.67","8,667","3","26,000","0","0.00","5.20","72.22","0.85"
"","","12","冷蔵庫","0020","ジャパネット","","","0012","冷蔵庫","0124","配送・設置料（冷蔵庫）","2087801028189","配達設置(冷蔵庫) J","10","","5","5,000.00","5,000","1","5,000","0","0.00","1.00","13.89","0.85"
