仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710261660","ESPWｱｲﾌﾞﾛｳP＆P＃300","10.00","1.00","1470.00","1470","2310","2310","840","36.36"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710261677","ESPWｱｲﾌﾞﾛｳP&P301","10.00","1.00","1470.00","1470","2310","2310","840","36.36"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710291131","ME ﾑｺｳｿﾞｳﾘｮｳ","10.00","1.00","3500.00","3500","3850","3850","350","9.09"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710460636","ＰＤ　ＳＰＭファンゴＷクレンズ３００ｇ","10.00","1.00","2835.00","2835","4950","4950","2115","42.73"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710460667","SPMﾓｲｽﾁｭｱﾗｲｻﾞｰ1R","10.00","1.00","3906.00","3906","6820","6820","2914","42.73"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710461527","ｽﾊﾟｴﾒｰﾙﾃﾞｲEｶﾊﾞｰ","10.00","1.00","2520.00","2520","4400","4400","1880","42.73"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710488203","PD ﾌﾟﾃｨMﾊﾞﾌﾞﾙｳｫｯｼｭ","10.00","1.00","1134.00","1134","1980","1980","846","42.73"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710494235","PD ﾍｱｾﾗﾑﾐｽﾄ(ﾚﾌｨﾙ)","10.00","1.00","945.00","945","1650","1650","705","42.73"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710496550","PD Fﾎﾞﾃﾞｨｿｰﾌﾟ (ﾚﾌｨﾙ)","10.00","2.00","945.00","1890","1650","3300","1410","42.73"
"2022/07/01","406 コスメイシイ","0218","コーセー化粧品販売","93","コーセー化粧品","4971710522297","PD ﾌﾞﾗﾝｺﾝﾃﾞｲSﾐﾙｸ","10.00","3.00","2016.00","6048","3520","10560","4512","42.73"
"2022/07/01","540　さなだ店","0313","資生堂ジャパン","04","化粧品","4909978103743","MQDﾊﾟｳﾀﾞｰリーEX　OC20","10.00","3.00","2100.00","6300","3300","9900","3600","36.36"
"2022/07/01","540　さなだ店","0313","資生堂ジャパン","91","資生堂化粧品","4901872504213","ＰＮ　ＤブローＣ（ＰＣ）ＧＹ９１１","10.00","2.00","675.00","1350","990","1980","630","31.82"
"2022/07/01","540　さなだ店","0313","資生堂ジャパン","91","資生堂化粧品","4909978985530","EIﾂﾔﾀﾞﾏ　FD　T　OC20","10.00","3.00","1875.00","5625","2750","8250","2625","31.82"
"2022/07/01","540　さなだ店","0313","資生堂ジャパン","91","資生堂化粧品","4909978995775","PR薬用乳液(ｼｯﾄﾘ)","10.00","3.00","2030.00","6090","3190","9570","3480","36.36"
"2022/07/01","554　愛国東店","0610","ムトウ","11","その他商品","4987715092321","エスティーム　ドレインパウチ　３５ｍｍ　１０入れ","10.00","3.00","6700.00","10050","8400","12600","2550","20.24"
"2022/07/01","554　愛国東店","0610","ムトウ","11","その他商品","5709817600322","皮膚保護剤　ＴＲＥシール　０７２－９８　３枚","10.00","2.00","1750.00","3500","2530","5060","1560","30.83"
"2022/07/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4966333130011","回春仙　３０粒","10.00","2.00","2550.00","5100","5049","10098","4998","49.49"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4547691801180","水とりぞうさん　　　４００ML×３P","10.00","2.00","150.00","300","217","434","134","30.88"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4901121331485","ネピア激吸収キッチンタオル　１００カット２ロール","10.00","2.00","151.00","302","217","434","132","30.41"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4901121636078","ネピア　鼻セレブ　　　２００Ｗ　３Ｐ","10.00","1.00","574.00","574","767","767","193","25.16"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4901221819609","エビス　プレミアムケアハブラシ　６列レギュラー　ふ","10.00","2.00","137.00","274","217","434","160","36.87"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4901750801359","ポイズパッド　レギュラー　２０枚","10.00","1.00","485.00","485","657","657","172","26.18"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4902407394026","ドライ＆ドライＵＰコンパクト　４００ｍＬ×３個","10.00","2.00","121.00","242","151","302","60","19.87"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4902430363921","ファブリーズ　ダブル除菌　本体　３７０ｍｌ","10.00","1.00","320.00","320","437","437","117","26.77"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4902430759502","ファブリーズ本体　　フラワーブロッサム","10.00","1.00","320.00","320","437","437","117","26.77"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4903111537914","ライフリー     うす型軽快パンツＭ　２２枚","10.00","1.00","1425.00","1425","1848","1848","423","22.89"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4903111951208","超快適マスクプリーツ小さめ　３０枚","10.00","1.00","921.00","921","1380","1380","459","33.26"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4903111951376","超快適マスクプリーツ　ふつう　３０枚","10.00","1.00","921.00","921","1380","1380","459","33.26"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4903301231097","システマハグキプラスＷ　ハミガキ　９５ｇ","10.00","1.00","419.00","419","627","627","208","33.17"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4903301242260","ふんわりソフラン　　　　　　　　詰替　５００ＭＬ","10.00","1.00","206.00","206","272","272","66","24.26"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4903301254775","部屋干しトップ除菌ＥＸ","10.00","2.00","251.00","502","327","654","152","23.24"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4903601637919","プロテクター　ディスポ　６本","10.00","1.00","323.00","323","437","437","114","26.09"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4904637999781","水とりぞうさん　炭　　　　５５０ＭＬ　３個パック","10.00","1.00","213.00","213","283","283","70","24.73"
"2022/07/01","552　住之江店","0105","あらた","02","日用雑貨","4987176032690","ジレットプログライド　マニュアル５枚刃　替","10.00","1.00","1679.00","1679","2508","2508","829","33.05"
"2022/07/01","552　住之江店","0105","あらた","04","化粧品","0000049481303","シック薬用シェーブガードフレッシュライム　トラベル","10.00","1.00","194.00","194","272","272","78","28.68"
"2022/07/01","552　住之江店","0105","あらた","04","化粧品","4901080579317","バスロマン　ゆったり　森の香り","10.00","1.00","388.00","388","514","514","126","24.51"
"2022/07/01","552　住之江店","0105","あらた","04","化粧品","4901331004124","貝印プリティーフレッシュＴ３個","10.00","2.00","164.00","328","207","414","86","20.77"
"2022/07/01","552　住之江店","0105","あらた","04","化粧品","4901525002288","自然ごこち     茶     洗顔石けん　８０ｇ","10.00","1.00","399.00","399","547","547","148","27.06"
"2022/07/01","552　住之江店","0105","あらた","04","化粧品","4902470360409","ピアニィ　ＭＬ　まゆ用ガード付　３本","10.00","1.00","121.00","121","184","184","63","34.24"
"2022/07/01","552　住之江店","0105","あらた","04","化粧品","4970170109161","大島椿　６０ｍｌ","10.00","4.00","950.00","3800","1298","5192","1392","26.81"
"2022/07/01","552　住之江店","0105","あらた","05","家庭用品","4560309810558","AR ﾊﾝﾄﾞﾀｵﾙ 200","10.00","1.00","89.00","89","128","128","39","30.47"
"2022/07/01","552　住之江店","0105","あらた","05","家庭用品","4901435947525","カメヤマローソク　灯しび　　　１０　極小豆ダルマ","10.00","1.00","184.00","184","261","261","77","29.5"
"2022/07/01","552　住之江店","0105","あらた","05","家庭用品","4901670110210","サランラップ　３０ｃｍ×２０ｍ","10.00","3.00","121.00","363","162","486","123","25.31"
"2022/07/01","552　住之江店","0105","あらた","05","家庭用品","4903301254805","消臭ブルーダイヤ","10.00","2.00","207.00","414","272","544","130","23.9"
"2022/07/01","552　住之江店","0105","あらた","05","家庭用品","4903301292432","ソフランアロマリッチ　ダイアナ　替え","10.00","2.00","234.00","468","327","654","186","28.44"
"2022/07/01","552　住之江店","0126","大木","02","日用雑貨","4903301588689","新ライオデント　６０ｇ","10.00","-1.00","951.00","-951","1408","-1408","-457","32.46"
"2022/07/01","552　住之江店","0126","大木","02","日用雑貨","4903301588696","新ライオデント　４０ｇ","10.00","-2.00","653.00","-1306","858","-1716","-410","23.89"
"2022/07/01","552　住之江店","0126","大木","02","日用雑貨","4903301588719","新ライオデント　ピンク　４０ｇ","10.00","-1.00","653.00","-653","858","-858","-205","23.89"
"2022/07/01","552　住之江店","0126","大木","02","日用雑貨","4903301621768","新ファストン　１２５ｇ","10.00","-1.00","1154.00","-1154","1628","-1628","-474","29.12"
"2022/07/01","552　住之江店","0126","大木","02","日用雑貨","4903301621775","新ファストン　５０ｇ","10.00","-1.00","598.00","-598","858","-858","-260","30.3"
"2022/07/01","552　住之江店","0126","大木","03","ＯＴＣ医薬品類","4987072073186","間宮アロエ軟膏　９０ｇ","10.00","-1.00","896.00","-896","1188","-1188","-292","24.58"
"2022/07/01","552　住之江店","0207","花王ＣＭＫ化粧品","04","化粧品","4901301253231","キュレル　ＳＰ＆ＣＤミニセット","10.00","1.00","293.00","293","470","470","177","37.66"
"2022/07/01","552　住之江店","0207","花王ＣＭＫ化粧品","04","化粧品","4901301321107","キュレル　ローション　ポンプ","10.00","1.00","1495.00","1495","2090","2090","595","28.47"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301010575","花王ワイドハイター中１０００ｍｌ","10.00","1.00","216.00","216","261","261","45","17.24"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301222824","花王強力カビハイター　ハンディスプレー４００ｍｌ","10.00","1.00","286.00","286","360","360","74","20.56"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301227850","めぐりズム　蒸気でホットアイマスク　無香料　５枚","10.00","1.00","309.00","309","437","437","128","29.29"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301251831","ビオレＵ手指の消毒ＳＰスキットガード付替","10.00","2.00","332.00","664","437","874","210","24.03"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301259851","花王食洗機用キュキュットクエン酸効果オレンジオイル","10.00","1.00","346.00","346","437","437","91","20.82"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301342522","ディープクリーン　　ぎっしりプレミアム","10.00","1.00","259.00","259","327","327","68","20.8"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301348067","めぐりズムホット　　アイマスクカモミール１２枚","10.00","1.00","729.00","729","1078","1078","349","32.37"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301381828","アタック３Ｘ　替え　　　　　６９０ｇ","10.00","2.00","227.00","454","305","610","156","25.57"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301385055","リリーフ　まるで下着　Ｍ－Ｌ１７枚","10.00","1.00","1080.00","1080","1518","1518","438","28.85"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301394682","クリアクリーンネクスデントホワイトニング　アップル","10.00","1.00","265.00","265","360","360","95","26.39"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","02","日用雑貨","4901301394873","バブ　至福の果実　　めぐり浴　１２錠","10.00","1.00","367.00","367","437","437","70","16.02"
"2022/07/01","552　住之江店","0208","花王ＣＭＫ株式会社","04","化粧品","4901301031525","サクセスシェービングジェル　フレッシュ","10.00","1.00","325.00","325","415","415","90","21.69"
