仕入日,店舗,仕入先コード,仕入先,伝票番号,商品コード,商品,区分,仕入数量,仕入単価,仕入金額,伝票金額,伝票消費税額,合計金額
"2022/09/24","大塔店","0010","ソニー","759607","4548736122192","BDZ-ZW2800 ﾌﾞﾙｰﾚｲ","仕入","1","45,448.00","45,448","205,756","20,575","226,331"
"","","","","","4548736123892","XRJ-55A80J 有機ELﾃﾚﾋﾞ","仕入","1","160,308.00","160,308","","",""
"2022/09/26","佐々店","0010","ソニー","759708","4548736136014","KJ-50X80K 液晶ﾃﾚﾋﾞ","仕入","1","96,088.00","96,088","96,088","9,608","105,696"
"","佐世保本店","0010","ソニー","759592","4548736122192","BDZ-ZW2800 ﾌﾞﾙｰﾚｲ","仕入","1","45,448.00","45,448","45,448","4,544","49,992"
"2022/09/27","佐々店","0010","ソニー","759825","4548736067622","RM-PZ130D B ﾘﾓｺﾝ","仕入","1","1,806.00","1,806","1,806","180","1,986"
"","佐世保本店","0010","ソニー","759989","4905524850505","DLC-HJ15 B HDMIｹｰﾌﾞﾙ","仕入","2","1,387.00","2,774","2,774","277","3,051"
"","大塔店","0010","ソニー","759793","4548736136021","KJ-43X80K 液晶ﾃﾚﾋﾞ","仕入","1","85,900.00","85,900","85,900","8,590","94,490"
"2022/09/28","佐世保本店","0010","ソニー","759990","4905524850529","DLC-HJ20 B HDMIｹｰﾌﾞﾙ","仕入","2","1,709.00","3,418","3,418","341","3,759"
"","","","","760137","4548736060050","KJ-32W500E HDﾃﾚﾋﾞ","仕入","1","37,386.00","37,386","37,386","3,738","41,124"
"","大塔店","0010","ソニー","760163","4548736123892","XRJ-55A80J 有機ELﾃﾚﾋﾞ","仕入","1","160,308.00","160,308","160,308","16,030","176,338"
"2022/09/29","大塔店","0010","ソニー","760196","4548736068049","STR-DH590 AVｱﾝﾌﾟ","仕入","1","28,485.00","28,485","28,485","2,848","31,333"
"2022/09/30","大塔店","0010","ソニー","641648","2087801027786","ｿﾆｰ(修理)","仕入","1","850.00","850","850","85","935"