店舗,営業日数,税込売上額,税抜売上額,消費税8%,消費税10%,構成比,数量,平均数量,来店数,平均単価,客平均単価,引額
"406 コスメイシイ","27日","4338265","3945422","6735","386108","10.98  ","832","31","245","4742","16104","1293495"
"268　松本店","21日","1380021","1257322","12034","110665","3.50  ","379","18","192","3317","6549","1119"
"540　さなだ店","25日","547069","498113","3218","45738","1.39  ","310","12","156","1607","3193","57629"
"554　愛国東店","31日","2908506","2653413","35185","219908","7.39  ","1687","54","598","1573","4437","60774"
"552　住之江店","31日","5929539","5416591","113192","399756","15.08  ","3217","104","949","1684","5708","140668"
"601　上市店","25日","302004","275205","2670","24129","0.77  ","331","13","124","831","2219","369"
"631　パスコ店","31日","6368642","5805803","64581","498258","16.16  ","8495","137","3411","683","1702","202085"
"634　プラファ店","31日","4011067","3659489","55089","296489","10.19  ","3280","106","1447","1116","2529","127164"
"636　砺波店","31日","3081751","2811537","42335","227879","7.83  ","2040","33","836","1378","3363","99545"
"639　大島店","31日","3528303","3218093","44400","265810","8.96  ","2970","96","1192","1084","2700","92569"
"063　ミラドラ","28日","3649417","3332079","61982","255356","9.27  ","3438","63","738","969","4515","21583"
"566　五位田店","26日","2774670","2530763","36325","207582","7.04  ","1542","59","372","1641","6803","207098"
"559　菅谷店","25日","505564","460931","5385","39248","1.28  ","442","18","202","1043","2282","2343"
"236ミラドラ山口あさか店","28日","70147","64227","1993","3927","0.18  ","18","0","13","3568","4941","1317"