店舗名,商品コード,商品名,税率,賞味期限,容量,原単価,売単価,在庫数,原価金額,売価金額
"佐世保本店","0000000001038","Jｴｱｺﾝ M取外し料金","10.00","","","0.00","4,950","-1","0","-4,950"
"佐世保本店","0000000001052","Jｴｱｺﾝ M工事費 配送料","10.00","","","0.00","3,960","-11","0","-43,560"
"佐世保本店","0000000004053","Tｴｱｺﾝ M工事費 配送料","10.00","","","0.00","0","-1","0","0"
"佐世保本店","0027075158443","ｼﾞｭﾋﾟﾀｰ Ⅲ 8x21ｼﾙﾊﾞｰ","10.00","","","2,520.00","4,298","1","2,520","4,298"
"佐世保本店","0027075158719","ｼﾞｭﾋﾟﾀｰ Ⅲ 8x21ﾌﾞﾗｯｸ","10.00","","","2,520.00","4,298","1","2,520","4,298"
"佐世保本店","0400100100103","ｶﾗｰﾌｨﾙﾑ現像","10.00","","","200.00","790","1","200","790"
"佐世保本店","0400100200056","ｶﾗｰﾌｨﾙﾑﾌﾟﾘﾝﾄ L","10.00","","","17.00","42","4","68","168"
"佐世保本店","0400100200506","ｶﾗｰﾌﾟﾘﾝﾄL 社員割","10.00","","","6.00","20","-8","-48","-160"
"佐世保本店","0400101500800","快伸 送料(宅急便)","10.00","","","278.00","0","1","278","0"
"佐世保本店","0400200500018","DNPｾﾙﾌ ﾌﾚｰﾑ/分割","10.00","","","14.00","50","-5","-70","-250"
"佐世保本店","0400200800149","WP 分割ﾌﾟﾘﾝﾄ KG","10.00","","","13.00","385","-1","-13","-385"
"佐世保本店","0400201800025","ﾃﾞｼﾞﾀﾙ 2L","10.00","","","12.00","110","-34","-408","-3,740"
"佐世保本店","0400201800124","ﾃﾞｼﾞﾀﾙ A4","10.00","","","22.00","660","-2","-44","-1,320"
"佐世保本店","0400300270002","証明 3ｘ4cmまで(4枚)","10.00","","","0.00","1,296","-5","0","-6,480"
"佐世保本店","0400300270019","証明ﾊﾟｽﾎﾟｰﾄ以上(2枚)","10.00","","","0.00","1,620","-2","0","-3,240"
"佐世保本店","0400300270040","証明写真焼増し","10.00","","","0.00","378","-4","0","-1,512"
"佐世保本店","0400702300000","拡大ﾌﾟﾘﾝﾄ A1","10.00","","","665.00","2,980","-1","-665","-2,980"
"佐世保本店","0400702300017","拡大パネル加工 A1","10.00","","","1,625.00","6,980","-2","-3,250","-13,960"
"佐世保本店","0619659161514","SDSQUAR-064G-GN6MN SDｶｰﾄﾞ","0.00","","","1,900.00","3,980","1","1,900","3,980"
"佐世保本店","0853816028917","4502891ｸﾘｰﾆﾝｸﾞﾌﾞﾗｼ","10.00","","","1,664.00","2,160","1","1,664","2,160"
"佐世保本店","0885155007346","R980060 ﾙﾝﾊﾞ980","10.00","","","28,080.00","49,800","1","28,080","49,800"
"佐世保本店","0885155007506","B380065 床拭きﾛﾎﾞｯﾄ ﾌﾞﾗｰﾊﾞ","0.00","","","16,822.00","29,800","1","16,822","29,800"
"佐世保本店","0885155032775","B381060 床拭きﾛﾎﾞｯﾄ ﾌﾞﾗｰﾊﾞ ﾌﾞﾗｯｸ","0.00","","","16,952.00","42,801","-1","-16,952","-42,801"
"佐世保本店","2087801027793","修理 ｼﾞｬﾊﾟﾈｯﾄ","10.00","","","0.00","0","2","0","0"
"佐世保本店","2087801028011","保険料(ｴｱｺﾝ) ｸﾛﾈｺ","10.00","","","0.00","0","-1","0","0"
