移動日,移動元店舗,移動先店舗,商品コード,商品名,商品容量,数量,単価,金額,入力形能,入庫確定
"2022/06/01","639　大島店","パスコ店","4571432380078","アロマＤｅ　ジュレ　６０ｍｌ","６０ｍｌ","5","4,000","20,000","画面作成",""
"2022/06/01","639　大島店","パスコ店","4571432380061","アロマＤｅ　ロ・ション１５０ｍｌ","１５０ｍｌ","4","1,846","7,385","画面作成",""
"2022/06/01","639　大島店","パスコ店","4571432380221","エッセンス クレンジング","１５０ｍｌ","4","1,200","4,800","画面作成",""
"2022/06/01","639　大島店","パスコ店","4571432380245","エッセンス ローション","１５０ｍｌ","4","1,500","6,000","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272001425","WL ヴェール","","4","2,925","11,700","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272003030","WL アンジェラケーキレフィル O-2","","2","1,950","3,900","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272001265","B2ローション","１５０ｍｌ","2","1,950","3,900","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272003580","オスカー クリーム","４０ｇ","2","7,800","15,600","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272003573","オスカー リンクル","３５ｍｌ","1","5,200","5,200","画面作成",""
"2022/06/01","639　大島店","パスコ店","4571432380184","ＣＲＹＳＴＡＬパクトケース","１個","2","975","1,950","画面作成",""
"2022/06/01","639　大島店","パスコ店","4571432380146","ＣＲＹＳＴＡＬパクト 10.5 ｇ","１０．５　ｇ","2","1,800","3,600","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272201511","BIHADA クレンジング","１２０ｇ","1","2,600","2,600","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272001357","VCローション","６５ｍｌ","1","2,275","2,275","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272100753","ＷＬペーパーマスク１０枚","１０枚","3","100","300","画面作成",""
"2022/06/01","639　大島店","パスコ店","4571432380153","ＣＲＹＳＴＡＬパウダーファンデーション（ナチュラル","１１　ｇ","3","1,800","5,400","画面作成",""
"2022/06/01","639　大島店","パスコ店","4957272000763","コギトＥＳソープ","２５０ｍｌ","2","1,625","3,250","画面作成",""
"2022/06/01","639　大島店","パスコ店","4571432380191","ＣＲＹＳＴＡＬパウダーファンデーションケース","１個","2","975","1,950","画面作成",""
"2022/06/01","639　大島店","パスコ店","4571432380085","アロマＤｅミルク１００ｍｌ","１００ｍｌ","4","2,200","8,800","画面作成",""
"2022/06/01","639　大島店","プラファ店","4571432380061","アロマＤｅ　ロ・ション１５０ｍｌ","１５０ｍｌ","1","1,846","1,846","画面作成",""
"2022/06/01","639　大島店","プラファ店","4571432380108","アロマＤｅＵＶベ－ス３０ｇ","３０ｇ","3","1,846","5,538","画面作成",""
"2022/06/01","639　大島店","プラファ店","4571432380122","エバチェンクリーム","８０ｇ","2","1,200","2,400","画面作成",""
"2022/06/01","639　大島店","プラファ店","4571432380139","ＣＲＹＳＴＡＬリキッドファンデーション","３０　ｇ","1","2,640","2,640","画面作成",""
"2022/06/01","639　大島店","プラファ店","4571432380221","エッセンス クレンジング","１５０ｍｌ","1","1,200","1,200","画面作成",""
"2022/06/01","639　大島店","プラファ店","4571432380252","エッセンス　ミルク","１００ｍｌ","1","1,680","1,680","画面作成",""
