﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0171","エアコン（～８畳）","4974019179629","AY-N25TD 8畳 ｴｱｺﾝ","0","","1","37,752.00","68,000","2","136,000","60,496","44.48","17.38","57.67","10.15"
"","","17","エアコン","0020","ジャパネット","0000355","日立","0017","エアコン","0170","エアコン（～６畳）","4549873152691","RAS-DT22M 6畳 ｴｱｺﾝ","0","","2","32,240.00","63,455","2","126,909","62,429","49.19","16.22","43.73","12.49"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0172","エアコン（～１０畳）","4904530104442","RAS-J281RT 10畳用 ｴｱｺﾝ","10","","3","59,280.00","108,909","1","108,909","49,629","45.57","13.92","54.55","8.59"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0171","エアコン（～８畳）","4904530104466","RAS-J251RT 8畳用 ｴｱｺﾝ","10","","4","44,720.00","99,819","1","99,819","55,099","55.20","12.76","42.33","10.15"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0170","エアコン（～６畳）","4904530104480","RAS-J221RT 6畳用 ｴｱｺﾝ","0","","5","37,450.00","90,728","1","90,728","53,278","58.72","11.60","31.27","12.49"
"","","17","エアコン","0020","ジャパネット","0000355","日立","0017","エアコン","0172","エアコン（～１０畳）","4549873152714","RAS-DT28M 10畳用 ｴｱｺﾝ","0","","6","54,600.00","90,728","1","90,728","36,128","39.82","11.60","45.45","8.59"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0170","エアコン（～６畳）","4904530105029","RAS-J221PT 6畳用 ｴｱｺﾝ","10","","7","34,320.00","72,546","1","72,546","38,226","52.69","9.27","25.00","12.49"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","8","3,600.00","3,600","12","43,200","0","0.00","5.52","76.19","2.44"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001038","Jｴｱｺﾝ M取外し料金","10","","9","4,500.00","4,500","3","13,500","0","0.00","1.73","23.81","2.44"
"佐世保本店","","17","エアコン","0020","ジャパネット","0000319","三菱","0017","エアコン","0171","エアコン（～８畳）","4902901935510","MSZ-LT2522-W-IN 8畳用 ｴｱｺﾝ","0","","1","57,720.00","108,909","1","108,909","51,189","47.00","90.98","100.00","4.69"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","2","3,600.00","3,600","3","10,800","0","0.00","9.02","100.00","0.46"
"大塔店","","17","エアコン","0020","ジャパネット","0000319","三菱","0017","エアコン","0173","エアコン（～１４畳）","4902901935534","MSZ-LT4022S 14畳用 ｴｱｺﾝ","0","","1","77,480.00","149,819","2","299,637","144,677","48.28","21.08","61.13","21.10"
"","","17","エアコン","0020","ジャパネット","0000319","三菱","0017","エアコン","0170","エアコン（～６畳）","4902901935503","MSZ-LT2222-W-IN 6畳用 ｴｱｺﾝ","0","","2","48,360.00","93,758","3","281,274","136,194","48.42","19.79","50.84","23.81"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0173","エアコン（～１４畳）","4974019179582","AY-N40TD 14畳 ｴｱｺﾝ","0","","3","61,048.00","95,273","2","190,546","68,450","35.92","13.41","38.87","21.10"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0170","エアコン（～６畳）","4904530105029","RAS-J221PT 6畳用 ｴｱｺﾝ","10","","4","34,320.00","72,546","2","145,091","76,451","52.69","10.21","26.22","23.81"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0175","エアコン（１９畳～）","4548848877577","AJT40XNP 14畳ｴｱｺﾝ","10","","5","68,640.00","136,182","1","136,182","67,542","49.60","9.58","100.00","5.86"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0170","エアコン（～６畳）","4974019218014","AY-P22TD 6畳ｴｱｺﾝ","10","","6","33,072.00","63,455","2","126,910","60,766","47.88","8.93","22.94","23.81"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0171","エアコン（～８畳）","4904530104466","RAS-J251RT 8畳用 ｴｱｺﾝ","10","","7","44,720.00","99,819","1","99,819","55,099","55.20","7.02","100.00","4.30"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0172","エアコン（～１０畳）","4974019218038","AY-P28TD 10畳 ｴｱｺﾝ","10","","8","47,850.00","81,637","1","81,637","33,787","41.39","5.74","100.00","3.51"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","9","3,600.00","3,600","13","46,800","0","0.00","3.29","77.61","2.60"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001038","Jｴｱｺﾝ M取外し料金","10","","10","4,500.00","4,500","3","13,500","0","0.00","0.95","22.39","2.60"