日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"2022/07/16","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","68,000","61,819","0","6,181","17,099","27.66","1","1","61,819","1.00","61,819.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","251,641","228,777","0","22,864","119,012","52.02","22","51","10,399","2.32","4,485.82"
"","","前年","804,651","731,538","0","73,113","407,641","55.72","71","147","10,303","2.07","4,976.45"
"","","前年比","31","31","0","31","29","93.35","31","35","1","1.12","0.90"
"","佐々店","当日","514,904","468,104","0","46,800","134,544","28.74","24","206","19,504","8.58","2,272.35"
"","","累計","10,251,035","9,348,620","0","902,415","3,532,451","37.79","336","2,655","27,823","7.90","3,521.14"
"","","前年","7,334,303","6,678,038","0","656,265","2,407,749","36.05","314","2,861","21,268","9.11","2,334.16"
"","","前年比","140","140","0","138","147","104.80","107","93","1","0.87","1.51"
"","佐世保本店","当日","591,540","537,769","0","53,771","187,097","34.79","19","95","28,304","5.00","5,660.73"
"","","累計","6,251,410","5,683,221","378","567,811","2,208,861","38.87","260","1,583","21,859","6.09","3,590.16"
"","","前年","5,883,170","5,351,784","378","531,008","2,013,257","37.62","224","1,274","23,892","5.69","4,200.77"
"","","前年比","106","106","100","107","110","103.32","116","124","1","1.07","0.85"
"","大塔店","当日","1,191,280","1,082,990","0","108,290","341,985","31.58","23","117","47,087","5.09","9,256.32"
"","","累計","14,108,723","12,835,973","0","1,272,750","4,781,141","37.25","311","1,105","41,273","3.55","11,616.27"
"","","前年","12,753,823","11,594,487","0","1,159,336","4,642,905","40.04","289","805","40,119","2.79","14,403.09"
"","","前年比","111","111","0","110","103","93.02","108","137","1","1.28","0.81"