﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"本部","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0122","冷蔵庫（～599L）","4549873138084","R-HS52RG(N) 冷蔵庫 520L 右開き","10","","1","120,016.00","163,455","1","163,455","43,439","26.58","97.03","100.00","1.89"
"","","16","クリーナー","0020","ジャパネット","0000024","iRobot社","0016","クリーナー","0162","ふとん・ロボット掃除機","0885155007346","R980060 ﾙﾝﾊﾞ980","10","","2","28,080.00","42,546","2","85,091","28,931","34.00","100.00","100.00","0.98"
"","","38","リサイクル料","0020","ジャパネット","","","0038","リサイクル料","0380","リサイクル料","2087801028295","ﾘｻｲｸﾙ 冷蔵庫 500L～","10","","3","5,730.00","8,300","1","8,300","2,570","30.96","100.00","100.00","0.10"
"","","12","冷蔵庫","0020","ジャパネット","","","0012","冷蔵庫","0124","配送・設置料（冷蔵庫）","2087801028172","配達設置(冷蔵庫) M","10","","4","5,000.00","5,000","1","5,000","0","0.00","2.97","100.00","0.06"
"通販","","50","スーツケース","0100","デセノ","0000214","ﾃﾞｾﾉ","0050","スーツケース","0501","MARVELアクセサリー","0000011111214","ABLACKWIDOWCASEST ｽﾄﾗｯﾌﾟ付ﾎﾟｰﾁ ﾌﾞﾗｯｸｳｨﾄﾞｳ","10","","1","2,017.00","4,977","1","4,977","2,960","59.47","100.00","100.00","0.06"
"","","49","その他","0020","ジャパネット","","","0049","その他","0490","配送・設置料(その他)","2087801028462","配送設置料(その他) 宅急便","10","","2","460.00","460","1","460","0","0.00","100.00","100.00","0.01"
"佐々店","","16","クリーナー","0020","ジャパネット","0000355","日立","0016","クリーナー","0160","スティック・ハンディクリーナー","4549873142470","PV-BHL3000J N ｽﾃｨｯｸｸﾘｰﾅｰ 金","0","","1","18,616.00","27,124","7","189,871","59,559","31.37","43.11","54.04","4.06"
"","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0121","冷蔵庫（～499L）","4549873135069","R-K40RJ T 401L冷蔵庫右","10","","2","91,000.00","136,182","1","136,182","45,182","33.18","50.15","100.00","1.57"
"","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736136014","KJ-50X80K 液晶ﾃﾚﾋﾞ","0","","3","96,088.00","132,546","1","132,546","36,458","27.51","96.36","100.00","1.53"
"","","19","理美容・健康・スポーツ","0020","ジャパネット","0000255","ﾌｼﾞ医療器","0019","理美容・健康・スポーツ","0190","マッサージ","4951704171502","STY-67 ﾏｯｻｰｼﾞﾁｪｱ","10","","4","74,880.00","127,091","1","127,091","52,211","41.08","56.99","90.02","1.63"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0171","エアコン（～８畳）","4573535254249","AJT25ZCS-W 8畳用 ｴｱｺﾝ","0","","5","64,480.00","108,909","1","108,909","44,429","40.79","58.85","100.00","1.26"
"","","12","冷蔵庫","0020","ジャパネット","0000355","日立","0012","冷蔵庫","0120","冷蔵庫（～399L）","4549873137889","R-V32RV N 冷蔵庫 315L","0","","6","79,279.00","104,364","1","104,364","25,085","24.04","38.43","100.00","1.21"
"","","16","クリーナー","0020","ジャパネット","0000355","日立","0016","クリーナー","0160","スティック・ハンディクリーナー","4549873142487","PV-BHL3000J R ｽﾃｨｯｸｸﾘｰﾅｰ 赤","0","","7","18,616.00","26,951","3","80,854","25,006","30.93","18.36","23.01","4.06"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0170","エアコン（～６畳）","4904530105029","RAS-J221PT 6畳用 ｴｱｺﾝ","10","","8","34,320.00","72,546","1","72,546","38,226","52.69","39.20","100.00","0.84"
"","","18","空清・暖房器具・サーキュレーター","0020","ジャパネット","0000197","ﾀﾞｲｿﾝ","0018","空清・暖房器具・サーキュレーター","0180","空清・暖房器具・扇風機","5025155075463","AM09 WN N Hot+Cool ﾎﾜｲﾄ･ﾆｯｹﾙ","0","","9","21,320.00","31,637","2","63,274","20,634","32.61","35.70","35.70","2.05"
"","","13","調理家電","0020","ジャパネット","0000355","日立","0013","調理家電","0130","電子レンジ・トースター","4549873161693","MRO-JT232R ｵｰﾌﾞﾝﾚﾝｼﾞ 赤","0","","10","19,864.00","30,891","2","61,781","22,053","35.70","28.90","47.74","1.50"
"","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260147533","JTM2210G 6層毛布S銀","0","","11","3,224.00","6,234","8","49,871","24,079","48.28","27.95","27.95","2.06"
"","","16","クリーナー","0020","ジャパネット","0000157","ｼｰﾋﾞｰｼﾞｬﾊﾟﾝ","0016","クリーナー","0160","スティック・ハンディクリーナー","4571347185485","HCS-03BK ｸﾘｰﾅｰｽﾀﾝﾄﾞ","10","","12","2,933.00","8,164","6","48,984","31,386","64.07","11.12","13.94","4.06"
"","","14","洗濯機","0040","東芝","0000347","東芝","0014","洗濯機","0140","洗濯機","4904530109829","AW-7GM1(W) 洗濯機","10","","13","36,254.00","48,000","1","48,000","11,746","24.47","90.57","100.00","0.56"
"","","02","外注プリント","0030","富士フィルムイメージング","0000035","N/A","0002","外注プリント","0023","ポストカード・年賀状（外注）","0400503499996","ﾊｶﾞｷ代","10","","14","63.00","63","740","46,620","0","0.00","41.83","43.07","1.25"
"","","13","調理家電","0020","ジャパネット","0000355","日立","0013","調理家電","0131","炊飯器","4549873141206","RZ-TS105M K IH炊飯器5.5合 黒","0","","15","15,205.00","22,982","2","45,964","15,554","33.84","21.50","65.46","0.81"
"","","16","クリーナー","0020","ジャパネット","0000024","iRobot社","0016","クリーナー","0162","ふとん・ロボット掃除機","0885155007346","R980060 ﾙﾝﾊﾞ980","10","","16","28,080.00","42,546","1","42,546","14,466","34.00","9.66","93.47","0.53"
"","","02","外注プリント","0030","富士フィルムイメージング","0000254","富士ﾌｨﾙﾑ","0002","外注プリント","0023","ポストカード・年賀状（外注）","0400503400305","ﾌｼﾞｶﾗｰ年賀 写真ｷﾚｲ仕上げ","10","","17","7,477.50","6,664","6","39,981","-4,884","-12.22","35.87","36.94","1.25"
"","","16","クリーナー","0020","ジャパネット","0000197","ﾀﾞｲｿﾝ","0016","クリーナー","0160","スティック・ハンディクリーナー","5025155056752","SV10K SLMORBU ｽﾃｨｯｸｸﾘｰﾅｰV8ｽﾘﾑ","0","","18","21,112.00","31,637","1","31,637","10,525","33.27","7.18","9.00","4.06"
"","","08","オーディオ","0020","ジャパネット","","","0008","オーディオ","0082","カラオケ","4905689796526","PK-WT120 ﾊﾟｰｿﾅﾙｶﾗｵｹ","10","","19","23,244.00","31,346","1","31,346","8,102","25.85","86.24","86.24","0.42"
"","","12","冷蔵庫","0020","ジャパネット","","","0012","冷蔵庫","0124","配送・設置料（冷蔵庫）","2087801028172","配達設置(冷蔵庫) M","10","","20","7,750.00","7,750","4","31,000","0","0.00","11.42","100.00","0.36"
"","","16","クリーナー","0020","ジャパネット","0000347","東芝","0016","クリーナー","0161","キャニスター型クリーナー","4904550975831","VC-JS6000(R)ﾄﾙﾈｵ","10","","21","20,602.00","29,982","1","29,982","9,380","31.29","6.81","100.00","0.35"
"","","18","空清・暖房器具・サーキュレーター","0020","ジャパネット","0000078","ｱﾗｼﾞﾝ","0018","空清・暖房器具・サーキュレーター","0180","空清・暖房器具・扇風機","4962365031111","ADH-G1201(W) 脱衣所暖房機","0","","22","17,472.00","27,255","1","27,255","9,783","35.89","15.38","15.38","2.05"
"","","13","調理家電","0020","ジャパネット","0000355","日立","0013","調理家電","0130","電子レンジ・トースター","4549873139616","MRO-JT231W ｵｰﾌﾞﾝﾚﾝｼﾞ 白","10","","23","18,876.00","27,254","1","27,254","8,378","30.74","12.75","21.06","1.50"
"","","01","プリント","0030","富士フィルムイメージング","0000035","N/A","0001","プリント","0011","デジタルプリント","0400201800308","ﾃﾞｼﾞﾀﾙ L 1～99枚","10","","24","6.00","36","761","27,165","22,599","83.19","35.31","43.16","0.73"
"","","19","理美容・健康・スポーツ","0020","ジャパネット","0000079","ｱﾗﾐｯｸ","0019","理美容・健康・スポーツ","0192","美容・ドライヤー","4967934602433","JSNB2-CW ｼｬﾜｰﾍｯﾄﾞ白","0","","25","5,720.00","13,001","2","26,001","14,561","56.00","11.66","47.62","0.63"
