﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"本部","","05","カメラ","0032","パイオニア","0000422","ﾏﾙﾐ","0005","カメラ","0055","カメラアクセサリー","4957638091190","95MM EXUS ﾚﾝｽﾞﾌﾟﾛﾃｸﾄ","0","","1","10,500.00","13,800","2","27,600","6,600","23.91","100.00","100.00","0.26"
"通販","","50","スーツケース","0100","デセノ","0000214","ﾃﾞｾﾉ","0050","スーツケース","0503","DISNEYアクセサリー","0000022222138","ﾐｯｷｰ 収納袋5点ｾｯﾄ　AMICKEYSET5","10","","1","2,343.00","5,437","1","5,437","3,094","56.91","100.00","100.00","0.05"
"","","49","その他","0020","ジャパネット","","","0049","その他","0490","配送・設置料(その他)","2087801028462","配送設置料(その他) 宅急便","10","","2","500.00","500","1","500","0","0.00","100.00","100.00","0.00"
"佐々店","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736123939","KJ-55X85J 4K液晶ﾃﾚﾋﾞ","0","","1","90,392.00","127,091","3","381,273","110,097","28.88","27.70","30.84","11.60"
"","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736136014","KJ-50X80K 液晶ﾃﾚﾋﾞ","0","","2","96,088.00","132,059","2","264,117","71,941","27.24","19.19","21.37","11.60"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0170","エアコン（～６畳）","4573535167747","AN22ZES 6畳 ｴｱｺﾝ","0","","3","42,848.00","77,091","3","231,273","102,729","44.42","27.36","73.91","2.94"
"","","06","テレビ","0010","ソニー","0000192","ｿﾆｰ","0006","テレビ","0060","テレビ本体","4548736123892","XRJ-55A80J 有機ELﾃﾚﾋﾞ","0","","4","160,308.00","208,909","1","208,909","48,601","23.26","15.18","16.90","11.60"
"","","19","理美容・健康・スポーツ","0020","ジャパネット","0000255","ﾌｼﾞ医療器","0019","理美容・健康・スポーツ","0190","マッサージ","4951704171113","JTR-180 ﾏｯｻｰｼﾞﾁｪｱｸﾛ","0","","5","120,182.00","207,273","1","207,273","87,091","42.02","65.20","97.64","1.99"
"","","12","冷蔵庫","0040","東芝","0000347","東芝","0012","冷蔵庫","0121","冷蔵庫（～499L）","4904530112379","GR-U460FH(ZC) 冷蔵庫","0","","6","129,584.00","181,637","1","181,637","52,053","28.66","51.31","54.06","3.15"
"","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260147526","JTM2210H 6層毛布Sﾋﾟﾝｸ","0","","7","3,224.00","6,660","26","173,168","89,344","51.59","37.07","37.07","4.38"
"","","12","冷蔵庫","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0012","冷蔵庫","0121","冷蔵庫（～499L）","4974019191423","SJ-X414H-T 冷蔵庫412L","10","","8","122,304.00","154,363","1","154,363","32,059","20.77","43.61","45.94","3.15"
"","","06","テレビ","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0006","テレビ","0060","テレビ本体","4974019172248","4T-C65DL1 65V型4K液晶ﾃﾚﾋﾞ","10","","9","104,000.00","134,364","1","134,364","30,364","22.60","9.76","10.87","11.60"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0173","エアコン（～１４畳）","4573535170013","AN40ZEP 14畳 ｴｱｺﾝ","0","","10","73,216.00","122,546","1","122,546","49,330","40.25","14.50","50.94","2.26"
"","","07","BD/DVD","0010","ソニー","0000192","ｿﾆｰ","0007","BD/DVD","0070","BDレコーダー","4548736122192","BDZ-ZW2800 ﾌﾞﾙｰﾚｲ","0","","11","45,448.00","60,242","2","120,483","29,587","24.56","100.00","100.00","1.13"
