店舗,営業日数,税込売上額,税抜売上額,消費税8%,消費税10%,構成比,数量,平均数量,来店数,平均単価,客平均単価,引額
"406 コスメイシイ","25日","5420866","4929087","4408","487371","13.46  ","1022","39","256","4823","19254","1508329"
"268　松本店","21日","1274876","1162131","14984","97761","3.17  ","366","17","192","3175","6053","7868"
"540　さなだ店","24日","479216","436781","4722","37713","1.19  ","269","11","148","1624","2951","41085"
"554　愛国東店","30日","3141619","2869228","48752","223639","7.83  ","1550","52","633","1851","4533","119696"
"552　住之江店","30日","5597661","5114617","112222","370822","13.96  ","3037","101","919","1684","5565","96570"
"601　上市店","24日","170690","155801","2646","12243","0.43  ","241","10","76","646","2050","179"
"631　パスコ店","30日","6116900","5577666","68758","470476","15.23  ","7422","124","2876","752","1939","219440"
"634　プラファ店","30日","4264804","3888969","49867","325968","10.62  ","3197","107","1426","1216","2727","103732"
"636　砺波店","30日","3259165","2972916","42962","243287","8.12  ","2001","33","733","1486","4056","155884"
"639　大島店","30日","3889180","3545643","42293","301244","9.68  ","2681","89","1176","1323","3015","86911"
"063　ミラドラ","26日","3079176","2809704","44695","224777","7.67  ","3300","63","689","851","4078","17179"
"566　五位田店","26日","2905117","2647311","27356","230450","7.23  ","1173","45","384","2257","6894","196072"
"559　菅谷店","24日","545623","496633","2315","46675","1.36  ","384","16","194","1293","2560","1381"
"630　しみず倉庫","1日","0","0","0","0","0.00  ","0","0","0","0","0","0"
"642　水野(D)倉庫","1日","0","0","0","0","0.00  ","0","0","0","0","0","0"
"236ミラドラ山口あさか店","26日","29146","26515","72","2559","0.07  ","14","1","11","1894","2410","653"