﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0170","エアコン（～６畳）","4974019218014","AY-P22TD 6畳ｴｱｺﾝ","10","","1","33,072.00","62,849","3","188,547","89,331","47.38","29.04","100.00","7.92"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0174","エアコン（～１８畳）","4904530104404","RAS-J562RT(W) 18畳 ｴｱｺﾝ","0","","2","81,120.00","154,364","1","154,364","73,244","47.45","23.77","100.00","6.49"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0172","エアコン（～１０畳）","4573535167761","AN28ZES 10畳 ｴｱｺﾝ","0","","3","56,368.00","108,909","1","108,909","52,541","48.24","16.77","100.00","4.58"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0171","エアコン（～８畳）","4904530104466","RAS-J251RT 8畳用 ｴｱｺﾝ","10","","4","44,720.00","90,728","1","90,728","46,008","50.71","13.97","55.57","6.86"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0171","エアコン（～８畳）","4974019218021","AY-P25TD 8畳ｴｱｺﾝ","10","","5","40,040.00","72,545","1","72,545","32,505","44.81","11.17","44.43","6.86"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","6","3,600.00","3,600","7","25,200","0","0.00","3.88","73.68","1.44"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001038","Jｴｱｺﾝ M取外し料金","10","","7","4,500.00","4,500","2","9,000","0","0.00","1.39","26.32","1.44"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0172","エアコン（～１０畳）","4904530104442","RAS-J281RT 10畳用 ｴｱｺﾝ","10","","8","0.00","0","0","0","0","0.00","0.00","0.00","4.58"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000004053","Tｴｱｺﾝ M工事費 配送料","10","","9","0.00","0","0","0","0","0.00","0.00","0.00","1.44"
"佐世保本店","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0173","エアコン（～１４畳）","4573535170013","AN40ZEP 14畳 ｴｱｺﾝ","0","","1","73,216.00","131,637","2","263,273","116,841","44.38","21.11","100.00","11.06"
"","","17","エアコン","0020","ジャパネット","0000355","日立","0017","エアコン","0175","エアコン（１９畳～）","4549873152219","RAS-GT71M2(W) ｴｱｺﾝ 23畳用","0","","2","123,760.00","213,455","1","213,455","89,695","42.02","17.11","100.00","8.97"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0171","エアコン（～８畳）","4904530104466","RAS-J251RT 8畳用 ｴｱｺﾝ","10","","3","44,720.00","99,819","2","199,638","110,198","55.20","16.00","55.71","15.06"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0172","エアコン（～１０畳）","4904530104442","RAS-J281RT 10畳用 ｴｱｺﾝ","10","","4","59,280.00","108,909","1","108,909","49,629","45.57","8.73","100.00","4.58"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0171","エアコン（～８畳）","4573535213567","AJT25ZNS-W 8畳用 ｴｱｺﾝ","0","","5","45,240.00","90,728","1","90,728","45,488","50.14","7.27","25.32","15.06"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0170","エアコン（～６畳）","4573535167747","AN22ZES 6畳 ｴｱｺﾝ","0","","6","42,848.00","90,728","1","90,728","47,880","52.77","7.27","37.05","10.29"
