店舗名,棚番(初回),棚番(最終),棚番(他),商品コード,商品名,税率,部門コード,部門名,大分類コード,大分類名,中分類コード,中分類名,仕入先コード,仕入先名,実棚数量(A),実績差異,本部原価(B),店舗原価(C),本部実棚金額(D=A×B),店舗実棚金額(E=A×C),実棚売価金額,単品売価,原価差額(B-C),実棚差額(D-E)
"佐世保本店","","","","4549550203845","M-BL27UBKBK ﾕｳｾﾝﾏｳｽM","10.00","09","パソコン","0009","パソコン","0092","パソコンアクセサリー","0080","エレコム","2","0","963.00","963.00","1,926.00","1,926","3,400","1,700","1,926.00","0.00"
"佐世保本店","","","","4549550217743","M-BL20DBSKBK 無線ﾏｳｽS","10.00","09","パソコン","0009","パソコン","0092","パソコンアクセサリー","0080","エレコム","1","0","1854.00","1854.00","1,854.00","1,854","3,000","3,000","1,854.00","0.00"
"佐世保本店","","","","4549804598802","259880ｺﾞｰﾙﾄﾞ 翻訳機","10.00","11","電子辞書・学習・翻訳","0011","電子辞書・学習・翻訳","0110","電子辞書・学習・翻訳","0020","ジャパネット","-1","1","12792.00","12792.00","-12,792.00","-12,792","-21,780","21,780","-12,792.00","0.00"
"佐世保本店","","","","4549873114545","RZ-TS104M(R) IH炊飯器5.5赤","0.00","13","調理家電","0013","調理家電","0131","炊飯器","0020","ジャパネット","1","0","14768.00","14768.00","14,768.00","14,768","39,800","39,800","14,768.00","0.00"
"佐世保本店","","","","4549873118680","R-HWS47N(XN) 冷蔵庫 470L 右開き","10.00","12","冷蔵庫","0012","冷蔵庫","0121","冷蔵庫（～499L）","0020","ジャパネット","1","0","112320.00","112320.00","112,320.00","112,320","209,800","209,800","112,320.00","0.00"
"佐世保本店","","","","4549873135069","R-K40RJ T 401L冷蔵庫右","10.00","12","冷蔵庫","0012","冷蔵庫","0121","冷蔵庫（～499L）","0020","ジャパネット","1","0","91000.00","91000.00","91,000.00","91,000","184,800","184,800","91,000.00","0.00"
"佐世保本店","","","","4549873137957","RZ-TS104M(NW) 炊飯器 5.5合 白","0.00","13","調理家電","0013","調理家電","0131","炊飯器","0020","ジャパネット","1","-1","14768.00","14768.00","14,768.00","14,768","26,182","26,182","14,768.00","0.00"
"佐世保本店","","","","4549873138084","R-HS52RG(N) 冷蔵庫 520L 右開き","10.00","12","冷蔵庫","0012","冷蔵庫","0121","冷蔵庫（～499L）","0020","ジャパネット","1","0","120016.00","120016.00","120,016.00","120,016","229,801","229,801","120,016.00","0.00"
"佐世保本店","","","","4549873139609","MRO-JT231R ｵｰﾌﾞﾝﾚﾝｼﾞ 赤","0.00","13","調理家電","0013","調理家電","0130","電子レンジ・トースター","0020","ジャパネット","2","0","18876.00","18876.00","37,752.00","37,752","63,600","31,800","37,752.00","0.00"
"佐世保本店","","","","4549873139616","MRO-JT231W ｵｰﾌﾞﾝﾚﾝｼﾞ 白","10.00","13","調理家電","0013","調理家電","0130","電子レンジ・トースター","0020","ジャパネット","2","0","18876.00","18876.00","37,752.00","37,752","69,960","34,980","37,752.00","0.00"
"佐世保本店","","","","4549873141190","RZ-TS105M NW IH炊飯器5.5合 白","0.00","13","調理家電","0013","調理家電","0131","炊飯器","0020","ジャパネット","2","0","15080.00","15080.00","30,160.00","30,160","72,692","36,346","30,160.00","0.00"
"佐世保本店","","","","4549873141206","RZ-TS105M K IH炊飯器5.5合 黒","0.00","13","調理家電","0013","調理家電","0131","炊飯器","0020","ジャパネット","1","0","15080.00","15080.00","15,080.00","15,080","36,346","36,346","15,080.00","0.00"
"佐世保本店","","","","4549873141213","RZ-TS105M R IH炊飯器5.5合 赤","0.00","13","調理家電","0013","調理家電","0131","炊飯器","0020","ジャパネット","2","0","15080.00","15080.00","30,160.00","30,160","72,692","36,346","30,160.00","0.00"
"佐世保本店","","","","4549873142470","PV-BHL3000J N ｽﾃｨｯｸｸﾘｰﾅｰ 金","0.00","16","クリーナー","0016","クリーナー","0160","スティック・ハンディクリーナー","0020","ジャパネット","3","0","18616.00","18616.00","55,848.00","55,848","109,038","36,346","55,848.00","0.00"
"佐世保本店","","","","4549873142487","PV-BHL3000J R ｽﾃｨｯｸｸﾘｰﾅｰ 赤","0.00","16","クリーナー","0016","クリーナー","0160","スティック・ハンディクリーナー","0020","ジャパネット","3","0","18616.00","18616.00","55,848.00","55,848","109,038","36,346","55,848.00","0.00"
"佐世保本店","","","","4549980504611","NA-F70PB15-T 洗濯機","10.00","14","洗濯機","0014","洗濯機","0140","洗濯機","0020","ジャパネット","1","0","41034.00","41034.00","41,034.00","41,034","59,800","59,800","41,034.00","0.00"
"佐世保本店","","","","4550232831560","B1GL195903 LS033 灰 24.0 女","0.00","21","ファッション・時計","0021","ファッション・時計","0212","衣類・アパレル","0020","ジャパネット","1","0","5959.00","5959.00","5,959.00","5,959","13,970","13,970","5,959.00","0.00"
"佐世保本店","","","","4550232831584","B1GL195903 LS033 灰 25.0 女","10.00","21","ファッション・時計","0021","ファッション・時計","0212","衣類・アパレル","0020","ジャパネット","1","0","5751.00","5751.00","5,751.00","5,751","12,970","12,970","5,751.00","0.00"
"佐世保本店","","","","4550232831676","B1GL195963 LS033 赤 23.5 女","0.00","21","ファッション・時計","0021","ファッション・時計","0212","衣類・アパレル","0020","ジャパネット","1","0","5751.00","5751.00","5,751.00","5,751","12,970","12,970","5,751.00","0.00"
"佐世保本店","","","","4550232831829","B1GR195914 LS033 紺 26.5 男","10.00","21","ファッション・時計","0021","ファッション・時計","0212","衣類・アパレル","0020","ジャパネット","1","0","5959.00","5959.00","5,959.00","5,959","12,970","12,970","5,959.00","0.00"
"佐世保本店","","","","4560258396257","JSE-4874X（SR） ｽﾁｰﾑQ 赤","0.00","15","家事用品・家電","0015","家事用品・家電","0150","アイロン・衣類スチーマー","0020","ジャパネット","1","0","5054.00","5054.00","5,054.00","5,054","10,980","10,980","5,054.00","0.00"
"佐世保本店","","","","4560258396264","JSE-4874X(SW) ｽﾁｰﾑQ 白","0.00","15","家事用品・家電","0015","家事用品・家電","0150","アイロン・衣類スチーマー","0020","ジャパネット","3","0","5054.00","5054.00","15,162.00","15,162","32,940","10,980","15,162.00","0.00"
"佐世保本店","","","","4562131648293","SDAR40N64G SDｶｰﾄﾞ64G","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0040","東芝","4","0","2189.00","2189.00","8,756.00","8,756","19,920","4,980","8,756.00","0.00"
"佐世保本店","","","","4562131648446","SDAR40N128G SD128G","10.00","04","記録メディア","0004","記録メディア","0040","記録メディア","0040","東芝","8","0","3839.00","3839.00","30,712.00","30,712","55,840","6,980","30,712.00","0.00"
"佐世保本店","","","","4571347182354","HCS-02BK ｸﾘｰﾅｰｽﾀﾝﾄﾞ","10.00","16","クリーナー","0016","クリーナー","0160","スティック・ハンディクリーナー","0020","ジャパネット","2","0","2631.00","2631.00","5,262.00","5,262","15,960","7,980","5,262.00","0.00"
