,,,,,,,,,,売上数量,,,,,当月売上,,店舗名,部門コード,部門名,特売,商品コード,商品名,税率,当月,9月,8月,7月,6月,5月,年間,金額,粗利,平均単価,粗利率
"通販","49","その他","","2087801028462","配送設置料(その他) 宅急便","10.00","4","18","29","35","37","95","648","2,850","0","713","0.00"
"4901601364118","000AP0308 ｾｷﾏｺﾞﾛｸｼｬｰﾌﾟﾅｰ","10.00","1","0","0","0","0","0","1","1,973","1,037","1,973","52.56"
"4974305218773","NW-VH10 5.5合 IH炊飯ｼﾞｬｰ","0.00","1","2","2","5","1","1","13","17,000","6,600","17,000","38.82"
"4989082776316","A-77631 ﾐﾆﾏﾙﾁﾊﾟﾝ･ｶﾞﾗｽ蓋","0.00","1","2","0","5","0","1","9","1,000","-1,600","1,000","-160.00"
"4989082776378","A-77637 ﾏﾙﾁﾊﾟﾝｽｸｴｱ3点","0.00","3","4","8","7","8","10","102","16,910","8,798","5,637","52.03"
"15","家事用品・家電","","4901601177213","020DM7014 包丁2点ｾｯﾄ","0.00","1","0","0","0","0","0","1","13,455","6,695","13,455","49.76"
"16","クリーナー","","4549873142470","PV-BHL3000J N ｽﾃｨｯｸｸﾘｰﾅｰ 金","0.00","2","6","30","8","5","6","95","54,510","16,445","27,255","30.17"
"4560258395106","SE9696 回転ﾓｯﾌﾟ ｽｳｨﾝｸﾞZ","0.00","1","0","0","9","8","8","37","9,073","4,596","9,073","50.66"
"4571347185478","DCS-01BK ｸﾘｰﾅｰｽﾀﾝﾄﾞ","0.00","1","1","0","0","1","3","8","7,255","4,759","7,255","65.60"
"4571347185485","HCS-03BK ｸﾘｰﾅｰｽﾀﾝﾄﾞ","10.00","1","6","23","9","2","5","87","7,255","4,530","7,255","62.44"
"4983771078521","RDS-3 ｸﾘｰﾅｰｽﾀﾝﾄﾞSV10用","0.00","1","0","0","0","0","0","1","7,255","4,291","7,255","59.15"
"5025155056752","SV10K SLMORBU ｽﾃｨｯｸｸﾘｰﾅｰV8ｽﾘﾑ","0.00","1","1","0","0","0","0","9","31,636","10,524","31,636","33.27"
"5025155071724","SV21HEPABU ｺｰﾄﾞﾚｽｸﾘｰﾅｰ ﾌﾞﾙｰ","0.00","1","1","0","1","1","5","13","36,182","12,124","36,182","33.51"
"19","理美容・健康・スポーツ","","4210201199076","8365cc ｼｪｰﾊﾞｰ ｼﾘｰｽﾞ8","0.00","1","0","0","0","0","0","3","18,164","5,746","18,164","31.63"
"4526044016952","RM-FJ21 R ｼｪｰﾊﾞｰ 赤","0.00","1","4","3","3","24","9","79","9,073","3,207","9,073","35.35"
"4904785046962","BC-J03GD 体組成計 ｺﾞｰﾙﾄﾞ","0.00","1","0","1","5","1","2","16","9,819","5,243","9,819","53.40"
"4967934602440","JSNB2-GS ｼｬﾜｰﾍｯﾄﾞ銀","0.00","2","8","22","11","10","0","53","20,571","9,130","10,286","44.38"
"4991560785635","ﾍｯﾄﾞｽﾊﾟ ｽﾊﾟﾆｽﾄ ﾚｯﾄﾞ","0.00","1","0","1","0","0","0","2","5,000","320","5,000","6.40"
"21","ファッション・時計","","4549526112249","WVA-M650B-1A2JF 電波時計","10.00","1","0","0","0","0","1","3","9,973","4,877","9,973","48.90"
"22","寝具・インテリア","","4908092010296","TJ25131 S 桃 柄任せ ﾊﾝｶﾞﾘｰ産羽毛布団 S","10.00","3","4","0","0","0","0","7","79,038","33,456","26,346","42.33"
"4976008856061","BU16011 ｼﾝｸﾞﾙ ﾎﾞﾅﾉｯﾃ","10.00","2","1","1","0","0","2","7","24,230","5,676","12,115","23.43"
"4979260147526","JTM2210H 6層毛布Sﾋﾟﾝｸ","0.00","1","7","0","0","0","0","8","4,543","1,319","4,543","29.03"
