仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4514254997109","CPB ﾀﾝｸﾚｰﾑｴｸﾗN OC10","10.00","1.00","8190.00","8190","14300","14300","6110","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872033485","BQ IMｸﾘｰﾑ","10.00","1.00","3906.00","3906","6820","6820","2914","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872035670","BQ ﾌﾟﾚｽﾄﾊﾟｳﾀﾞｰ  （  ﾚ  ）","10.00","2.00","2394.00","4788","4180","8360","3572","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872044276","IEGBTｱｲB BR731","10.00","1.00","680.00","680","1100","1100","420","38.18"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872064557","HK ﾒﾗﾉﾃﾞｨｰﾌﾟﾓｲｽﾁｬｰ","10.00","1.00","3150.00","3150","4950","4950","1800","36.36"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872169375","資生堂ＥＩＳフレッシュアップトーニング１７０ＭＬ","10.00","1.00","2250.00","2250","3300","3300","1050","31.82"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872355389","IEGｸﾘﾀﾞｼｱｲﾗｲﾅBK999","10.00","1.00","408.00","408","660","660","252","38.18"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872639298","資生堂ＭＱダブルブロークリエーターＰＣ　ＢＲ６１１","10.00","1.00","675.00","675","990","990","315","31.82"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872676880","ＰＲ  ﾋﾞﾘﾌﾄｱｲﾌﾞﾛｳ  ＢＲ","10.00","1.00","700.00","700","1100","1100","400","36.36"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872678099","BQﾏｽｸﾊﾟﾜｰﾘﾍﾟｱ","10.00","1.00","5040.00","5040","8800","8800","3760","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872952458","BQ ﾘﾍﾟｱｼﾞｰﾆｱｽ","10.00","1.00","4095.00","4095","7150","7150","3055","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872960415","MQ DﾄﾘｰﾄﾒﾝﾄﾘｯﾌﾟEX","10.00","1.00","1400.00","1400","2200","2200","800","36.36"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872960774","BQD ｴﾏﾙｼﾞｮﾝ1(ﾚ)","10.00","2.00","2142.00","4284","3740","7480","3196","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4901872975105","EIS ﾂﾔﾀﾞﾏﾐｽﾄ","10.00","1.00","1350.00","1350","1980","1980","630","31.82"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978103002","HK ﾒﾗﾉﾌｫｰｶｽZ","10.00","5.00","7000.00","35000","11000","55000","20000","36.36"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978103019","HK ﾒﾗﾉﾌｫｰｶｽZ R","10.00","5.00","6790.00","33950","10670","53350","19400","36.36"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978104146","MQ DSｾﾝｻｰBEX UV+TU","10.00","2.00","1820.00","3640","2860","5720","2080","36.36"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111632","BQ ｸﾘｱｱｯﾌﾟB PK","10.00","1.00","2520.00","2520","4400","4400","1880","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111649","BQ ｸﾘｱｱｯﾌﾟB IV","10.00","1.00","2520.00","2520","4400","4400","1880","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111656","BQ ﾌﾟﾘｽﾞﾑL OC10","10.00","2.00","2835.00","5670","4950","9900","4230","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111663","BQ ﾌﾟﾘｽﾞﾑL OC20","10.00","1.00","2835.00","2835","4950","4950","2115","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111700","BQ ﾌﾟﾘｽﾞﾑP OC10","10.00","2.00","2331.00","4662","4070","8140","3478","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111717","BQ ﾌﾟﾘｽﾞﾑP OC20","10.00","3.00","2331.00","6993","4070","12210","5217","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111731","BQ ﾌﾟﾘｽﾞﾑP PO10","10.00","1.00","2331.00","2331","4070","4070","1739","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978111779","BQ ﾌﾟﾘｽﾞﾑP ｽﾎﾟﾝｼﾞ","10.00","2.00","315.00","630","550","1100","470","42.73"
"2022/06/01","406 コスメイシイ","0313","資生堂ジャパン","91","資生堂化粧品","4909978126018","BQL Lﾓｲｽﾁｬｰﾗｲｻﾞｰ1(ﾚ)","10.00","1.00","5229.00","5229","9130","9130","3901","42.73"
