﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0171","エアコン（～８畳）","4904530104466","RAS-J251RT 8畳用 ｴｱｺﾝ","10","","1","44,720.00","90,728","4","362,911","184,031","50.71","51.34","81.64","15.77"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0170","エアコン（～６畳）","4904530104480","RAS-J221RT 6畳用 ｴｱｺﾝ","0","","2","37,450.00","81,637","1","81,637","44,187","54.13","11.55","56.27","5.15"
"","","17","エアコン","0020","ジャパネット","0000355","日立","0017","エアコン","0171","エアコン（～８畳）","4549873152264","RAS-HT25M W 8畳用 ｴｱｺﾝ","0","","3","45,656.00","81,637","1","81,637","35,981","44.07","11.55","18.36","15.77"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0172","エアコン（～１０畳）","4974019218038","AY-P28TD 10畳 ｴｱｺﾝ","10","","4","47,840.00","79,819","1","79,819","31,979","40.06","11.29","100.00","2.83"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0170","エアコン（～６畳）","4974019218014","AY-P22TD 6畳ｴｱｺﾝ","10","","5","33,072.00","63,455","1","63,455","30,383","47.88","8.98","43.73","5.15"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","6","3,600.00","3,600","6","21,600","0","0.00","3.06","64.86","1.18"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000004053","Tｴｱｺﾝ M工事費 配送料","10","","7","3,600.00","3,600","2","7,200","0","0.00","1.02","21.62","1.18"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001038","Jｴｱｺﾝ M取外し料金","10","","8","4,500.00","4,500","1","4,500","0","0.00","0.64","13.51","1.18"
"","","17","エアコン","","","","","0017","エアコン","0178","保険料（エアコン）","2087801028011","保険料(ｴｱｺﾝ) ｸﾛﾈｺ","10","","9","4,082.00","4,082","1","4,082","0","0.00","0.58","100.00","0.14"
"佐世保本店","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0172","エアコン（～１０畳）","4904530104442","RAS-J281RT 10畳用 ｴｱｺﾝ","10","","1","59,280.00","118,000","1","118,000","58,720","49.76","23.87","56.53","7.41"
