﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0175","エアコン（１９畳～）","4549873152349","RAS-HT63M2 20畳 ｴｱｺﾝ","0","","1","103,896.00","172,546","1","172,546","68,650","39.79","48.88","100.00","5.94"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0172","エアコン（～１０畳）","4573535167761","AN28ZES 10畳 ｴｱｺﾝ","0","","2","56,368.00","108,909","1","108,909","52,541","48.24","30.85","100.00","3.75"
"","","17","エアコン","0020","ジャパネット","0000355","日立","0017","エアコン","0170","エアコン（～６畳）","4549873152691","RAS-DT22M 6畳 ｴｱｺﾝ","0","","3","32,240.00","63,455","1","63,455","31,215","49.19","17.98","100.00","2.18"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001038","Jｴｱｺﾝ M取外し料金","10","","4","4,500.00","4,500","1","4,500","0","0.00","1.27","55.56","0.28"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","5","3,600.00","3,600","1","3,600","0","0.00","1.02","44.44","0.28"
"佐世保本店","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0170","エアコン（～６畳）","4904530104480","RAS-J221RT 6畳用 ｴｱｺﾝ","0","","1","37,450.00","81,637","2","163,274","88,374","54.13","40.36","100.00","5.62"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0173","エアコン（～１４畳）","4904530104428","RAS-J401RT 14畳用 ｴｱｺﾝ","10","","2","66,560.00","118,000","1","118,000","51,440","43.59","29.17","100.00","4.06"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0172","エアコン（～１０畳）","4904530104442","RAS-J281RT 10畳用 ｴｱｺﾝ","10","","3","59,280.00","108,909","1","108,909","49,629","45.57","26.92","100.00","3.75"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","4","3,600.00","3,600","3","10,800","0","0.00","2.67","75.00","0.50"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000004053","Tｴｱｺﾝ M工事費 配送料","10","","5","3,600.00","3,600","1","3,600","0","0.00","0.89","25.00","0.50"
