ìXï‹ñº,îÑè„ì˙,ê≈çûîÑè„ã‡äz,ê≈î≤îÑè„ã‡äz,è¡îÔê≈8%,è¡îÔê≈10%,ëeóòã‡äz,ëeóòó¶,îÉè„ì_êî,àÍì_íPâø,ï‘ïiã‡äz,ï‘ïiì_êî,ó›åvîÑè„ã‡äz,ó›åvëeóòã‡äz
"ñ{ïî","2022/12/01","163,330","148,482","0","14,848","46,752","31.49","3","49,494.00","0","0","163,330","46,752"
"ñ{ïî","2022/12/02","0","0","0","0","0","0.00","0","0.00","0","0","163,330","46,752"
"ñ{ïî","2022/12/06","10,450","9,500","0","950","1,900","20.00","1","9,500.00","0","0","173,780","48,652"
"ñ{ïî","2022/12/07","0","0","0","0","0","0.00","0","0.00","0","0","173,780","48,652"
"ñ{ïî","2022/12/09","0","0","0","0","0","0.00","0","0.00","0","0","173,780","48,652"
"ç≤ÅXìX","2022/12/01","118,930","108,583","0","10,348","61,650","56.78","196","553.99","226,947","9","292,710","110,302"
"ç≤ÅXìX","2022/12/02","387,734","352,780","0","34,954","126,920","35.98","433","814.73","0","0","680,444","237,222"
"ç≤ÅXìX","2022/12/03","497,878","453,714","0","44,164","124,772","27.50","309","1,468.33","0","0","1,178,322","361,994"
"ç≤ÅXìX","2022/12/04","370,302","337,569","0","32,735","116,300","34.45","349","967.25","0","0","1,548,624","478,294"
"ç≤ÅXìX","2022/12/05","417,008","379,167","0","37,843","129,384","34.12","185","2,049.55","12,691","2","1,965,632","607,678"
"ç≤ÅXìX","2022/12/06","224,244","205,014","0","19,230","62,791","30.63","656","312.52","34,492","3","2,189,876","670,469"
"ç≤ÅXìX","2022/12/07","124,462","113,151","0","11,311","45,286","40.02","164","689.95","149,857","6","2,314,338","715,755"
"ç≤ÅXìX","2022/12/08","454,253","413,595","0","40,659","93,616","22.63","410","1,008.77","18,264","2","2,768,591","809,371"
"ç≤ÅXìX","2022/12/09","511,285","465,850","0","45,436","140,865","30.24","351","1,327.21","13,455","1","3,279,876","950,236"
"ç≤ÅXìX","2022/12/10","12,788","11,998","0","790","275","2.29","67","179.07","0","0","3,292,664","950,511"
"ç≤ê¢ï€ñ{ìX","2022/12/01","236,071","214,761","0","21,310","82,707","38.51","108","1,988.53","21,119","2","3,528,735","1,033,218"
"ç≤ê¢ï€ñ{ìX","2022/12/02","165,378","150,350","0","15,028","39,325","26.16","231","650.87","0","0","3,694,113","1,072,543"
"ç≤ê¢ï€ñ{ìX","2022/12/03","223,374","203,076","0","20,298","73,630","36.26","93","2,183.61","0","0","3,917,487","1,146,173"
"ç≤ê¢ï€ñ{ìX","2022/12/04","426,643","388,952","0","37,691","211,986","54.50","563","690.86","495,547","13","4,344,130","1,358,159"
"ç≤ê¢ï€ñ{ìX","2022/12/05","369,171","335,615","0","33,556","139,669","41.62","135","2,486.04","0","0","4,713,301","1,497,828"
"ç≤ê¢ï€ñ{ìX","2022/12/06","371,338","337,872","0","33,466","107,926","31.94","103","3,280.31","0","0","5,084,639","1,605,754"
"ç≤ê¢ï€ñ{ìX","2022/12/07","318,271","289,742","0","28,529","88,642","30.59","109","2,658.18","99,819","1","5,402,910","1,694,396"
"ç≤ê¢ï€ñ{ìX","2022/12/08","235,589","214,179","0","21,412","75,403","35.21","92","2,328.03","546","1","5,638,499","1,769,799"
"ç≤ê¢ï€ñ{ìX","2022/12/09","218,384","198,764","0","19,620","84,329","42.43","65","3,057.91","0","0","5,856,883","1,854,128"
"ç≤ê¢ï€ñ{ìX","2022/12/10","0","0","0","0","0","0.00","0","0.00","0","0","5,856,883","1,854,128"
"ëÂìÉìX","2022/12/01","481,050","437,322","0","43,728","113,804","26.02","26","16,820.08","822,085","17","6,337,933","1,967,932"
"ëÂìÉìX","2022/12/02","367,080","333,712","0","33,368","133,998","40.15","41","8,139.32","41,711","6","6,705,013","2,101,930"
"ëÂìÉìX","2022/12/03","1,168,200","1,062,173","733","105,294","376,035","35.40","44","24,140.30","34,510","2","7,873,213","2,477,965"
"ëÂìÉìX","2022/12/04","1,613,000","1,466,377","0","146,623","447,134","30.49","71","20,653.20","394,003","14","9,486,213","2,925,099"
"ëÂìÉìX","2022/12/05","711,938","647,225","0","64,713","181,949","28.11","54","11,985.65","9,073","1","10,198,151","3,107,048"
"ëÂìÉìX","2022/12/06","601,015","546,382","0","54,633","139,360","25.51","276","1,979.64","73,074","4","10,799,166","3,246,408"
"ëÂìÉìX","2022/12/07","314,360","285,785","0","28,575","97,041","33.96","84","3,402.20","0","0","11,113,526","3,343,449"
"ëÂìÉìX","2022/12/08","349,046","317,320","0","31,726","163,052","51.38","144","2,203.61","453,128","22","11,462,572","3,506,501"
"ëÂìÉìX","2022/12/09","213,234","193,853","0","19,381","59,399","30.64","26","7,455.88","46,637","2","11,675,806","3,565,900"
"ëÂìÉìX","2022/12/10","0","0","0","0","0","0.00","0","0.00","0","0","11,675,806","3,565,900"