﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","36","その他商品","0020","ジャパネット","0000341","帝人ﾌﾛﾝﾃｨｱ","0036","その他商品","0369","その他商品","4995296001557","BZBD102 吸湿剤40個ｾｯﾄ","0","","1","2,662.00","6,952","3","20,855","12,869","61.71","61.07","67.63","13.67"
"","","36","その他商品","0020","ジャパネット","0000323","山善","0036","その他商品","0369","その他商品","4983771197826","YRC-30 防災ﾊﾞｯｸﾞ","10","","2","4,836.00","9,982","1","9,982","5,146","51.55","29.23","32.37","13.67"
"","","36","その他商品","0031","ナニワ商会","0000241","ﾊﾟﾅｿﾆｯｸ","0036","その他商品","0360","電池","4984824719682","LR20XJ/2B ｱﾙｶﾘ単1","10","","3","251.00","429","3","1,287","534","41.49","3.77","38.87","1.47"
"","","36","その他商品","0031","ナニワ商会","0000241","ﾊﾟﾅｿﾆｯｸ","0036","その他商品","0360","電池","4984824719989","LR03XJ/4B ｱﾙｶﾘ単4","10","","4","303.00","458","2","916","310","33.84","2.68","27.67","1.47"
"","","36","その他商品","0031","ナニワ商会","0000241","ﾊﾟﾅｿﾆｯｸ","0036","その他商品","0360","電池","4984824719972","LR03XJ/2B ｱﾙｶﾘ単4","10","","5","183.00","277","2","554","188","33.94","1.62","16.73","1.47"
"","","36","その他商品","0031","ナニワ商会","0000241","ﾊﾟﾅｿﾆｯｸ","0036","その他商品","0360","電池","4902704242358","CR2032P ﾘﾁｳﾑｺｲﾝ電池","10","","6","158.00","277","1","277","119","42.96","0.81","8.37","1.47"
"","","36","その他商品","0031","ナニワ商会","0000241","ﾊﾟﾅｿﾆｯｸ","0036","その他商品","0360","電池","4902704242310","CR1620 ﾘﾁｳﾑｺｲﾝ電池","10","","7","158.00","277","1","277","119","42.96","0.81","8.37","1.47"
"佐世保本店","","36","その他商品","0020","ジャパネット","0000323","山善","0036","その他商品","0369","その他商品","4983771197826","YRC-30 防災ﾊﾞｯｸﾞ","10","","1","4,836.00","9,073","2","18,146","8,474","46.70","23.21","40.14","20.04"
"","","36","その他商品","0020","ジャパネット","0000341","帝人ﾌﾛﾝﾃｨｱ","0036","その他商品","0369","その他商品","4995296001557","BZBD102 吸湿剤40個ｾｯﾄ","0","","2","2,662.00","7,255","2","14,510","9,186","63.31","18.56","32.10","20.04"
"","","36","その他商品","0020","ジャパネット","0000066","ｱｲﾘｽｵｰﾔﾏ","0036","その他商品","0369","その他商品","4967576424219","JGT230 草刈り機","10","","3","7,437.00","12,546","1","12,546","5,109","40.72","16.05","27.76","20.04"
