﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0170","エアコン（～６畳）","4974019218014","AY-P22TD 6畳ｴｱｺﾝ","10","","1","33,072.00","63,152","6","378,911","180,479","47.63","29.37","51.41","21.47"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0170","エアコン（～６畳）","4904530105029","RAS-J221PT 6畳用 ｴｱｺﾝ","10","","2","34,320.00","72,546","2","145,092","76,452","52.69","11.25","19.68","21.47"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0173","エアコン（～１４畳）","4573535170013","AN40ZEP 14畳 ｴｱｺﾝ","0","","3","73,216.00","136,182","1","136,182","62,966","46.24","10.56","39.48","10.04"
"","","17","エアコン","0020","ジャパネット","0000319","三菱","0017","エアコン","0172","エアコン（～１０畳）","4902901935527","MSZ-LT2822-W-IN 10畳用 ｴｱｺﾝ","0","","4","70,200.00","127,091","1","127,091","56,891","44.76","9.85","100.00","3.70"
"","","17","エアコン","0020","ジャパネット","0000347","東芝","0017","エアコン","0173","エアコン（～１４畳）","4904530104961","RAS-J401PT 14畳用 ｴｱｺﾝ","10","","5","62,400.00","108,909","1","108,909","46,509","42.70","8.44","31.58","10.04"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0173","エアコン（～１４畳）","4974019218045","AY-P40TD 14畳ｴｱｺﾝ","0","","6","61,880.00","99,819","1","99,819","37,939","38.01","7.74","28.94","10.04"
"","","17","エアコン","0020","ジャパネット","0000196","ﾀﾞｲｷﾝ","0017","エアコン","0170","エアコン（～６畳）","4573535167747","AN22ZES 6畳 ｴｱｺﾝ","0","","7","42,848.00","90,728","1","90,728","47,880","52.77","7.03","12.31","21.47"
"","","17","エアコン","0020","ジャパネット","0000355","日立","0017","エアコン","0170","エアコン（～６畳）","4549873152691","RAS-DT22M 6畳 ｴｱｺﾝ","0","","8","32,240.00","63,455","1","63,455","31,215","49.19","4.92","8.61","21.47"
"","","17","エアコン","0020","ジャパネット","0000167","ｼｬｰﾌﾟ","0017","エアコン","0170","エアコン（～６畳）","4974019179643","AY-N22TD 6畳 ｴｱｺﾝ","0","","9","30,784.00","58,909","1","58,909","28,125","47.74","4.57","7.99","21.47"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001052","Jｴｱｺﾝ M工事費 配送料","10","","10","3,600.00","3,600","13","46,800","0","0.00","3.63","63.41","2.15"
"","","17","エアコン","0020","ジャパネット","","","0017","エアコン","0177","配送・設置料（エアコン）","0000000001038","Jｴｱｺﾝ M取外し料金","10","","11","4,500.00","4,500","6","27,000","0","0.00","2.09","36.59","2.15"
