日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"","","累計","2,169,742","1,972,505","0","197,237","675,560","34.25","60","98","32,875","1.63","20,127.60"
"","","前年","2,134,329","1,940,319","0","194,010","623,202","32.12","58","104","33,454","1.79","18,656.91"
"","","前年比","102","102","0","102","108","106.63","103","94","1","0.91","1.08"
"2022/10/06","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","104,930","95,393","0","9,537","50,770","53.22","3","7","31,798","2.33","13,627.57"
"","","累計","174,980","159,076","0","15,904","81,430","51.19","7","16","22,725","2.29","9,942.25"
"","","前年","222,150","201,969","0","20,181","102,586","50.79","24","53","8,415","2.21","3,810.74"
"","","前年比","79","79","0","79","79","100.78","29","30","3","1.04","2.61"
"","佐々店","当日","34,090","30,992","0","3,098","10,184","32.86","5","7","6,198","1.40","4,427.43"
"","","累計","761,656","692,440","0","69,216","274,362","39.62","86","1,848","8,052","21.49","374.70"
"","","前年","1,138,324","1,034,876","0","103,448","366,718","35.44","107","1,667","9,672","15.58","620.80"
"","","前年比","67","67","0","67","75","111.81","80","111","1","1.38","0.60"
"","佐世保本店","当日","121,190","110,177","0","11,013","35,885","32.57","9","26","12,242","2.89","4,237.58"
"","","累計","1,162,701","1,057,024","0","105,677","299,976","28.38","74","1,287","14,284","17.39","821.31"
"","","前年","2,064,920","1,877,393","720","186,807","607,289","32.35","78","855","24,069","10.96","2,195.78"
"","","前年比","56","56","0","57","49","87.73","95","151","1","1.59","0.37"
"","大塔店","当日","254,941","231,768","0","23,173","82,244","35.49","9","14","25,752","1.56","16,554.86"
"","","累計","2,424,683","2,204,273","0","220,410","757,804","34.38","69","112","31,946","1.62","19,681.01"
"","","前年","2,782,799","2,529,842","0","252,957","820,496","32.43","72","131","35,137","1.82","19,311.77"
"","","前年比","87","87","0","87","92","106.00","96","85","1","0.89","1.02"
"2022/10/07","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","174,980","159,076","0","15,904","81,430","51.19","7","16","22,725","2.29","9,942.25"
"","","前年","300,550","273,244","0","27,306","143,685","52.58","29","65","9,422","2.24","4,203.75"
"","","前年比","58","58","0","58","57","97.35","24","25","2","1.02","2.37"
"","佐々店","当日","182,413","165,836","0","16,577","38,207","23.04","14","59","11,845","4.21","2,810.78"
"","","累計","944,069","858,276","0","85,793","312,569","36.42","100","1,907","8,583","19.07","450.07"
"","","前年","1,245,965","1,132,736","0","113,229","395,521","34.92","125","1,743","9,062","13.94","649.88"
"","","前年比","76","76","0","76","79","104.30","80","109","1","1.37","0.69"
"","佐世保本店","当日","131,695","119,729","0","11,966","46,665","38.98","15","105","7,982","7.00","1,140.28"
"","","累計","1,294,396","1,176,753","0","117,643","346,641","29.46","89","1,392","13,222","15.64","845.37"
"","","前年","2,494,996","2,268,376","720","225,900","716,820","31.60","93","912","24,391","9.81","2,487.25"
"","","前年比","52","52","0","52","48","93.22","96","153","1","1.59","0.34"
"","大塔店","当日","129,393","117,635","0","11,758","40,323","34.28","9","16","13,071","1.78","7,352.19"
"","","累計","2,554,076","2,321,908","0","232,168","798,127","34.37","78","128","29,768","1.64","18,139.91"
"","","前年","2,976,879","2,706,282","0","270,597","885,395","32.72","87","150","31,107","1.72","18,041.88"
"","","前年比","86","86","0","86","90","105.07","90","85","1","0.95","1.01"
"2022/10/08","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","15,500","14,091","0","1,409","2,818","20.00","1","1","14,091","1.00","14,091.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","174,980","159,076","0","15,904","81,430","51.19","7","16","22,725","2.29","9,942.25"
"","","前年","405,640","368,783","0","36,857","195,173","52.92","34","74","10,847","2.18","4,983.55"
"","","前年比","43","43","0","43","42","96.72","21","22","2","1.05","2.00"
"","佐々店","当日","191,527","174,122","0","17,405","71,709","41.18","19","109","9,164","5.74","1,597.45"
"","","累計","1,135,596","1,032,398","0","103,198","384,278","37.22","119","2,016","8,676","16.94","512.10"
"","","前年","1,679,488","1,526,857","0","152,631","495,086","32.43","148","1,935","10,317","13.07","789.07"
"","","前年比","68","68","0","68","78","114.79","80","104","1","1.30","0.65"
"","佐世保本店","当日","234,892","213,537","0","21,355","62,876","29.45","15","27","14,236","1.80","7,908.78"
"","","累計","1,529,288","1,390,290","0","138,998","409,517","29.46","104","1,419","13,368","13.64","979.77"
"","","前年","2,609,321","2,373,228","1,098","234,995","758,097","31.94","112","970","21,190","8.66","2,446.63"
"","","前年比","59","59","0","59","54","92.21","93","146","1","1.58","0.40"
"","大塔店","当日","293,280","266,624","0","26,656","109,105","40.92","18","29","14,812","1.61","9,193.93"
"","","累計","2,847,356","2,588,532","0","258,824","907,232","35.05","96","157","26,964","1.64","16,487.46"
"","","前年","3,400,997","3,091,845","0","309,152","972,348","31.45","95","162","32,546","1.71","19,085.46"
"","","前年比","84","84","0","84","93","111.45","101","97","1","0.96","0.86"
"2022/10/09","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","174,980","159,076","0","15,904","81,430","51.19","7","16","22,725","2.29","9,942.25"
"","","前年","456,940","415,423","0","41,517","217,931","52.46","40","86","10,386","2.15","4,830.50"
"","","前年比","38","38","0","38","37","97.58","18","19","2","1.06","2.06"
"","佐々店","当日","434,425","394,935","0","39,490","126,942","32.14","23","228","17,171","9.91","1,732.17"
"","","累計","1,570,021","1,427,333","0","142,688","511,220","35.82","142","2,244","10,052","15.80","636.07"
"","","前年","1,956,851","1,779,014","0","177,837","570,584","32.07","169","2,088","10,527","12.36","852.02"
"","","前年比","80","80","0","80","90","111.67","84","107","1","1.28","0.75"
"","佐世保本店","当日","135,350","123,048","0","12,302","40,501","32.91","8","46","15,381","5.75","2,674.96"
"","","累計","1,664,638","1,513,338","0","151,300","450,018","29.74","112","1,465","13,512","13.08","1,033.00"
"","","前年","2,753,578","2,504,375","1,098","248,105","808,976","32.30","129","1,036","19,414","8.03","2,417.35"
"","","前年比","60","60","0","61","56","92.06","87","141","1","1.63","0.43"
"","大塔店","当日","802,025","729,121","0","72,904","207,796","28.50","23","216","31,701","9.39","3,375.56"
"","","累計","3,649,381","3,317,653","0","331,728","1,115,028","33.61","119","373","27,879","3.13","8,894.51"
"","","前年","3,905,217","3,550,230","0","354,987","1,100,815","31.01","107","186","33,180","1.74","19,087.26"
"","","前年比","93","93","0","93","101","108.39","111","201","1","1.80","0.47"
"2022/10/10","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","15,500","14,091","0","1,409","2,818","20.00","1","1","14,091","1.00","14,091.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","佐々店","当日","354,840","322,589","0","32,251","175,135","54.29","26","186","12,407","7.15","1,734.35"
"","","累計","1,924,861","1,749,922","0","174,939","686,355","39.22","168","2,430","10,416","14.46","720.13"
"","","前年","2,190,154","1,991,117","0","199,037","654,267","32.86","196","2,308","10,159","11.78","862.70"
"","","前年比","88","88","0","88","105","119.36","86","105","1","1.23","0.83"
"","佐世保本店","当日","447,920","407,206","0","40,714","132,068","32.43","22","85","18,509","3.86","4,790.66"
"","","累計","2,112,558","1,920,544","0","192,014","582,086","30.31","134","1,550","14,332","11.57","1,239.06"
"","","前年","2,816,063","2,561,181","1,098","253,784","828,015","32.33","141","1,165","18,164","8.26","2,198.44"
"","","前年比","75","75","0","76","70","93.75","95","133","1","1.40","0.56"
"","大塔店","当日","608,338","553,044","0","55,294","197,606","35.73","30","52","18,435","1.73","10,635.46"
"","","累計","4,257,719","3,870,697","0","387,022","1,312,634","33.91","149","425","25,978","2.85","9,107.52"
"","","前年","4,513,865","4,103,554","0","410,311","1,280,887","31.21","130","249","31,566","1.92","16,480.14"
"","","前年比","94","94","0","94","102","108.64","115","171","1","1.49","0.55"
"2022/10/11","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","15,500","14,091","0","1,409","2,818","20.00","1","1","14,091","1.00","14,091.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","41,330","37,574","0","3,756","22,167","59.00","2","4","18,787","2.00","9,393.50"
"","","累計","216,310","196,650","0","19,660","103,597","52.68","9","20","21,850","2.22","9,832.50"
"","","前年","623,530","566,875","0","56,655","292,974","51.68","53","112","10,696","2.11","5,061.38"
"","","前年比","35","35","0","35","35","101.93","17","18","2","1.05","1.94"
"","佐々店","当日","223,878","203,533","0","20,345","80,449","39.53","19","150","10,712","7.89","1,356.89"
"","","累計","2,148,739","1,953,455","0","195,284","766,804","39.25","187","2,580","10,446","13.80","757.15"
"","","前年","2,515,987","2,287,337","0","228,650","776,918","33.97","217","2,422","10,541","11.16","944.40"
"","","前年比","85","85","0","85","99","115.57","86","107","1","1.24","0.80"
"","佐世保本店","当日","114,114","103,750","0","10,364","47,346","45.63","24","289","4,323","12.04","359.00"
"","","累計","2,226,672","2,024,294","0","202,378","629,432","31.09","158","1,839","12,812","11.64","1,100.76"
"","","前年","2,890,971","2,629,285","1,098","260,588","864,464","32.88","156","1,281","16,854","8.21","2,052.53"
"","","前年比","77","77","0","78","73","94.57","101","144","1","1.42","0.54"
"","大塔店","当日","155,930","141,757","0","14,173","41,282","29.12","11","17","12,887","1.55","8,338.65"
"","","累計","4,413,649","4,012,454","0","401,195","1,353,916","33.74","160","442","25,078","2.76","9,077.95"
"","","前年","4,527,465","4,115,918","0","411,547","1,284,579","31.21","132","251","31,181","1.90","16,398.08"
"","","前年比","97","97","0","97","105","108.12","121","176","1","1.45","0.55"
"2022/10/12","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","15,500","14,091","0","1,409","2,818","20.00","1","1","14,091","1.00","14,091.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","216,310","196,650","0","19,660","103,597","52.68","9","20","21,850","2.22","9,832.50"
"","","前年","713,070","648,278","0","64,792","254,164","39.21","58","122","11,177","2.10","5,313.75"
"","","前年比","30","30","0","30","41","134.37","16","16","2","1.06","1.85"
"","佐々店","当日","196,853","179,399","0","17,454","54,434","30.34","15","123","11,960","8.20","1,458.53"
"","","累計","2,345,592","2,132,854","0","212,738","821,238","38.50","202","2,703","10,559","13.38","789.07"
"","","前年","2,592,520","2,356,925","0","235,595","804,438","34.13","247","2,772","9,542","11.22","850.26"
"","","前年比","90","90","0","90","102","112.81","82","98","1","1.19","0.93"
"","佐世保本店","当日","198,662","180,607","0","18,055","37,060","20.52","18","35","10,034","1.94","5,160.20"
"","","累計","2,425,334","2,204,901","0","220,433","666,492","30.23","176","1,874","12,528","10.65","1,176.57"
"","","前年","2,938,777","2,672,746","1,098","264,933","877,934","32.85","163","1,308","16,397","8.02","2,043.38"
"","","前年比","83","82","0","83","76","92.02","108","143","1","1.33","0.58"
"","大塔店","当日","144,630","131,483","0","13,147","35,250","26.81","7","11","18,783","1.57","11,953.00"
"","","累計","4,558,279","4,143,937","0","414,342","1,389,166","33.52","167","453","24,814","2.71","9,147.76"
"","","前年","4,795,725","4,359,795","0","435,930","1,357,649","31.14","146","316","29,862","2.16","13,796.82"
"","","前年比","95","95","0","95","102","107.65","114","143","1","1.25","0.66"
"2022/10/13","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","37,280","33,891","0","3,389","3,638","10.73","2","6","16,946","3.00","5,648.50"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","216,310","196,650","0","19,660","103,597","52.68","9","20","21,850","2.22","9,832.50"
"","","前年","744,360","676,725","0","67,635","269,738","39.86","62","130","10,915","2.10","5,205.58"
"","","前年比","29","29","0","29","38","132.17","15","15","2","1.06","1.89"
"","佐々店","当日","104,658","95,147","0","9,511","29,952","31.48","11","113","8,650","10.27","842.01"
"","","累計","2,450,250","2,228,001","0","222,249","851,190","38.20","213","2,816","10,460","13.22","791.19"
"","","前年","3,208,011","2,916,470","0","291,541","975,297","33.44","275","2,879","10,605","10.47","1,013.01"
"","","前年比","76","76","0","76","87","114.24","77","98","1","1.26","0.78"
"","佐世保本店","当日","127,940","116,314","0","11,626","34,498","29.66","14","53","8,308","3.79","2,194.60"
"","","累計","2,553,274","2,321,215","0","232,059","700,990","30.20","190","1,927","12,217","10.14","1,204.57"
"","","前年","3,186,584","2,898,031","1,098","287,455","969,156","33.44","179","1,414","16,190","7.90","2,049.53"
"","","前年比","80","80","0","81","72","90.30","106","136","1","1.28","0.59"
"","大塔店","当日","130,310","118,466","0","11,844","55,931","47.21","9","12","13,163","1.33","9,872.17"
"","","累計","4,688,589","4,262,403","0","426,186","1,445,097","33.90","176","465","24,218","2.64","9,166.46"
"","","前年","5,153,665","4,685,196","0","468,469","1,447,881","30.90","152","332","30,824","2.18","14,112.04"
"","","前年比","91","91","0","91","100","109.71","116","140","1","1.21","0.65"
"2022/10/14","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","37,280","33,891","0","3,389","3,638","10.73","2","6","16,946","3.00","5,648.50"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","25,240","22,946","0","2,294","12,714","55.41","1","3","22,946","3.00","7,648.67"
"","","累計","241,550","219,596","0","21,954","116,311","52.97","10","23","21,960","2.30","9,547.65"
"","","前年","744,360","676,725","0","67,635","269,738","39.86","62","130","10,915","2.10","5,205.58"
"","","前年比","32","32","0","32","43","132.88","16","18","2","1.10","1.83"
"","佐々店","当日","338,719","307,933","0","30,786","109,800","35.66","25","208","12,317","8.32","1,480.45"
"","","累計","2,788,969","2,535,934","0","253,035","960,990","37.89","238","3,024","10,655","12.71","838.60"
"","","前年","3,292,742","2,993,505","0","299,237","1,011,324","33.78","297","3,415","10,079","11.50","876.58"
"","","前年比","85","85","0","85","95","112.17","80","89","1","1.11","0.96"
"","佐世保本店","当日","130,290","118,450","0","11,840","47,131","39.79","20","228","5,923","11.40","519.52"
"","","累計","2,683,564","2,439,665","0","243,899","748,121","30.66","210","2,155","11,617","10.26","1,132.10"
"","","前年","3,361,656","3,057,190","1,098","303,368","1,009,423","33.02","190","1,768","16,090","9.31","1,729.18"
"","","前年比","80","80","0","80","74","92.87","111","122","1","1.10","0.65"
"","大塔店","当日","175,069","159,158","0","15,911","71,307","44.80","16","25","9,947","1.56","6,366.32"
"","","累計","4,863,658","4,421,561","0","442,097","1,516,404","34.30","192","490","23,029","2.55","9,023.59"
"","","前年","5,241,445","4,764,998","0","476,447","1,493,895","31.35","161","381","29,596","2.37","12,506.56"
"","","前年比","93","93","0","93","102","109.39","119","129","1","1.08","0.72"
"2022/10/15","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","37,280","33,891","0","3,389","3,638","10.73","2","6","16,946","3.00","5,648.50"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","241,550","219,596","0","21,954","116,311","52.97","10","23","21,960","2.30","9,547.65"
"","","前年","840,350","763,992","0","76,358","310,036","40.58","68","142","11,235","2.09","5,380.23"
"","","前年比","29","29","0","29","38","130.52","15","16","2","1.10","1.77"
"","佐々店","当日","376,688","342,451","0","34,237","130,398","38.08","25","264","13,698","10.56","1,297.16"
"","","累計","3,165,657","2,878,385","0","287,272","1,091,388","37.92","263","3,288","10,944","12.50","875.42"
"","","前年","3,898,723","3,544,408","0","354,315","1,176,241","33.19","324","3,600","10,940","11.11","984.56"
"","","前年比","81","81","0","81","93","114.26","81","91","1","1.13","0.89"
"","佐世保本店","当日","123,019","111,993","665","10,361","53,665","47.92","18","59","6,222","3.28","1,898.19"
"","","累計","2,806,583","2,551,658","665","254,260","801,786","31.42","228","2,214","11,191","9.71","1,152.51"
"","","前年","3,420,221","3,110,434","1,098","308,689","1,029,869","33.11","205","1,827","15,173","8.91","1,702.48"
"","","前年比","82","82","61","82","78","94.90","111","121","1","1.09","0.68"
"","大塔店","当日","665,095","604,635","0","60,460","119,040","19.69","20","38","30,232","1.90","15,911.45"
"","","累計","5,528,753","5,026,196","0","502,557","1,635,444","32.54","212","528","23,708","2.49","9,519.31"
"","","前年","5,699,059","5,181,014","0","518,045","1,634,463","31.55","179","485","28,944","2.71","10,682.50"
"","","前年比","97","97","0","97","100","103.14","118","109","1","0.92","0.89"
"2022/10/16","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","50,280","45,710","0","4,570","6,696","14.65","3","7","15,237","2.33","6,530.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","佐々店","当日","556,017","505,476","0","50,541","151,891","30.05","19","126","26,604","6.63","4,011.71"
"","","累計","3,721,674","3,383,861","0","337,813","1,243,279","36.74","282","3,414","12,000","12.11","991.17"
"","","前年","4,367,175","3,970,284","0","396,891","1,327,538","33.44","360","3,834","11,029","10.65","1,035.55"
"","","前年比","85","85","0","85","94","109.88","78","89","1","1.14","0.96"
"","佐世保本店","当日","357,644","325,136","0","32,508","123,936","38.12","17","40","19,126","2.35","8,128.40"
"","","累計","3,164,227","2,876,794","665","286,768","925,722","32.18","245","2,254","11,742","9.20","1,276.31"
"","","前年","3,700,029","3,364,812","1,098","334,119","1,116,518","33.18","223","2,142","15,089","9.61","1,570.87"
"","","前年比","86","85","61","86","83","96.98","110","105","1","0.96","0.81"
"","大塔店","当日","436,789","397,087","0","39,702","150,983","38.02","18","29","22,060","1.61","13,692.66"
"","","累計","5,965,542","5,423,283","0","542,259","1,786,427","32.94","230","557","23,579","2.42","9,736.59"
"","","前年","6,464,318","5,876,669","0","587,649","1,885,843","32.09","200","555","29,383","2.78","10,588.59"
"","","前年比","92","92","0","92","95","102.65","115","100","1","0.87","0.92"
"2022/10/17","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","50,280","45,710","0","4,570","6,696","14.65","3","7","15,237","2.33","6,530.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","6,530","5,937","0","593","3,094","52.11","1","2","5,937","2.00","2,968.50"
"","","累計","248,080","225,533","0","22,547","119,405","52.94","11","25","20,503","2.27","9,021.32"
"","","前年","840,350","763,992","0","76,358","310,036","40.58","68","142","11,235","2.09","5,380.23"
"","","前年比","30","30","0","30","39","130.46","16","18","2","1.09","1.68"
"","佐々店","当日","494,883","450,653","0","44,230","140,920","31.27","20","236","22,533","11.80","1,909.55"
"","","累計","4,216,557","3,834,514","0","382,043","1,384,199","36.10","302","3,650","12,697","12.09","1,050.55"
"","","前年","5,179,898","4,709,134","0","470,764","1,554,409","33.01","392","3,910","12,013","9.97","1,204.38"
"","","前年比","81","81","0","81","89","109.36","77","93","1","1.21","0.87"
"","佐世保本店","当日","251,196","228,364","0","22,832","59,709","26.15","20","53","11,418","2.65","4,308.75"
"","","累計","3,415,423","3,105,158","665","309,600","985,431","31.74","265","2,307","11,718","8.71","1,345.97"
"","","前年","4,211,404","3,829,705","1,098","380,601","1,268,238","33.12","244","2,427","15,696","9.95","1,577.96"
"","","前年比","81","81","61","81","78","95.83","109","95","1","0.88","0.85"
"","大塔店","当日","391,048","355,502","0","35,546","101,934","28.67","16","31","22,219","1.94","11,467.81"
"","","累計","6,356,590","5,778,785","0","577,805","1,888,361","32.68","246","588","23,491","2.39","9,827.87"
"","","前年","8,026,718","7,297,087","391","729,240","2,359,488","32.33","260","677","28,066","2.60","10,778.56"
"","","前年比","79","79","0","79","80","101.06","95","87","1","0.92","0.91"
"2022/10/18","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年","50,280","45,710","0","4,570","6,696","14.65","3","7","15,237","2.33","6,530.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","248,080","225,533","0","22,547","119,405","52.94","11","25","20,503","2.27","9,021.32"
"","","前年","1,042,980","948,209","0","94,771","407,359","42.96","82","174","11,564","2.12","5,449.48"
"","","前年比","24","24","0","24","29","123.24","13","14","2","1.07","1.66"
"","佐々店","当日","116,524","105,936","0","10,588","50,772","47.93","20","115","5,297","5.75","921.18"
"","","累計","4,333,081","3,940,450","0","392,631","1,434,971","36.42","322","3,765","12,237","11.69","1,046.60"
"","","前年","5,462,610","4,966,270","0","496,340","1,661,457","33.45","424","4,172","11,713","9.84","1,190.38"
"","","前年比","79","79","0","79","86","108.85","76","90","1","1.19","0.88"
"","佐世保本店","当日","326,357","296,778","378","29,201","81,847","27.58","12","100","24,732","8.33","2,967.78"
"","","累計","3,741,780","3,401,936","1,043","338,801","1,067,278","31.37","277","2,407","12,281","8.69","1,413.35"
"","","前年","4,606,141","4,188,562","1,098","416,481","1,388,480","33.15","265","2,544","15,806","9.60","1,646.45"
"","","前年比","81","81","95","81","77","94.64","105","95","1","0.91","0.86"
"","大塔店","当日","296,590","269,630","0","26,960","80,863","29.99","10","27","26,963","2.70","9,986.30"
"","","累計","6,653,180","6,048,415","0","604,765","1,969,224","32.56","256","615","23,627","2.40","9,834.82"
"","","前年","8,428,738","7,662,562","391","765,785","2,469,620","32.23","274","694","27,966","2.53","11,041.16"
"","","前年比","79","79","0","79","80","101.02","93","89","1","0.95","0.89"
"2022/10/19","本部","当日","30,360","27,600","0","2,760","6,600","23.91","1","2","27,600","2.00","13,800.00"
"","","累計","30,360","27,600","0","2,760","6,600","23.91","1","2","27,600","2.00","13,800.00"
"","","前年","50,280","45,710","0","4,570","6,696","14.65","3","7","15,237","2.33","6,530.00"
"","","前年比","60","60","0","60","99","163.24","33","29","2","0.86","2.11"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","248,080","225,533","0","22,547","119,405","52.94","11","25","20,503","2.27","9,021.32"
"","","前年","1,098,640","998,810","0","99,830","431,933","43.24","84","179","11,891","2.13","5,579.94"
"","","前年比","23","23","0","23","28","122.43","13","14","2","1.07","1.62"
"","佐々店","当日","453,458","412,240","0","41,218","134,870","32.72","15","443","27,483","29.53","930.56"
"","","累計","4,786,539","4,352,690","0","433,849","1,569,841","36.07","337","4,208","12,916","12.49","1,034.38"
"","","前年","5,632,870","5,121,057","0","511,813","1,719,374","33.57","439","4,195","11,665","9.56","1,220.75"
"","","前年比","85","85","0","85","91","107.42","77","100","1","1.31","0.85"
"","佐世保本店","当日","227,036","206,400","0","20,636","72,321","35.04","17","140","12,141","8.24","1,474.29"
"","","累計","3,968,816","3,608,336","1,043","359,437","1,139,599","31.58","294","2,547","12,273","8.66","1,416.70"
"","","前年","4,698,680","4,272,693","1,098","424,889","1,417,130","33.17","280","2,609","15,260","9.32","1,637.67"
"","","前年比","84","84","95","85","80","95.22","105","98","1","0.93","0.87"
"","大塔店","当日","598,005","543,576","0","54,429","151,755","27.92","12","21","45,298","1.75","25,884.57"
"","","累計","7,251,185","6,591,991","0","659,194","2,120,979","32.18","268","636","24,597","2.37","10,364.77"
"","","前年","8,650,330","7,864,012","391","785,927","2,549,731","32.42","289","792","27,211","2.74","9,929.31"
"","","前年比","84","84","0","84","83","99.24","93","80","1","0.87","1.04"
"2022/10/20","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","30,360","27,600","0","2,760","6,600","23.91","1","2","27,600","2.00","13,800.00"
"","","前年","50,280","45,710","0","4,570","6,696","14.65","3","7","15,237","2.33","6,530.00"
"","","前年比","60","60","0","60","99","163.24","33","29","2","0.86","2.11"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","248,080","225,533","0","22,547","119,405","52.94","11","25","20,503","2.27","9,021.32"
"","","前年","1,155,470","1,050,474","0","104,996","457,298","43.53","88","189","11,937","2.15","5,558.06"
"","","前年比","21","21","0","21","26","121.62","13","13","2","1.06","1.62"
"","佐々店","当日","530,049","481,868","0","48,181","173,334","35.97","19","28","25,361","1.47","17,209.57"
"","","累計","5,316,588","4,834,558","0","482,030","1,743,175","36.06","356","4,236","13,580","11.90","1,141.30"
"","","前年","6,030,549","5,482,587","0","547,962","1,841,305","33.58","459","6,653","11,945","14.49","824.08"
"","","前年比","88","88","0","88","95","107.36","78","64","1","0.82","1.38"
"","佐世保本店","当日","98,860","89,877","0","8,983","37,198","41.39","12","32","7,490","2.67","2,808.66"
"","","累計","4,067,676","3,698,213","1,043","368,420","1,176,797","31.82","306","2,579","12,086","8.43","1,433.97"
"","","前年","4,912,076","4,466,694","1,098","444,284","1,474,988","33.02","294","2,680","15,193","9.12","1,666.68"
"","","前年比","83","83","95","83","80","96.36","104","96","1","0.92","0.86"
"","大塔店","当日","228,570","207,793","0","20,777","88,466","42.57","16","23","12,987","1.44","9,034.48"
"","","累計","7,479,755","6,799,784","0","679,971","2,209,445","32.49","284","659","23,943","2.32","10,318.34"
"","","前年","9,023,804","8,203,626","775","819,403","2,656,265","32.38","304","836","26,986","2.75","9,812.95"
"","","前年比","83","83","0","83","83","100.35","93","79","1","0.84","1.05"