日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"","","前年比","122","122","0","122","114","93.75","80","84","2","1.05","1.44"
"","佐世保本店","当日","221,076","200,980","0","20,096","53,193","26.47","12","27","16,748","2.25","7,443.70"
"","","累計","5,018,891","4,563,046","1,480","454,365","1,644,961","36.05","282","3,903","16,181","13.84","1,169.11"
"","","前年","2,812,069","2,566,570","659","244,840","960,215","37.41","261","2,093","9,834","8.02","1,226.26"
"","","前年比","178","178","225","186","171","96.36","108","186","2","1.73","0.95"
"","大塔店","当日","900,370","818,524","0","81,846","253,674","30.99","21","71","38,977","3.38","11,528.51"
"","","累計","11,454,351","10,413,499","1,634","1,039,218","3,687,543","35.41","261","720","39,898","2.76","14,463.19"
"","","前年","11,400,295","10,364,002","0","1,036,293","3,552,728","34.28","318","2,014","32,591","6.33","5,145.98"
"","","前年比","100","100","0","100","104","103.30","82","36","1","0.44","2.81"
"2022/09/24","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","331,070","300,984","0","30,086","170,306","56.58","18","37","16,721","2.06","8,134.70"
"","","前年","2,722,640","2,475,225","0","247,415","782,205","31.60","202","444","12,254","2.20","5,574.83"
"","","前年比","12","12","0","12","22","179.05","9","8","1","0.94","1.46"
"","佐々店","当日","1,512,067","1,374,616","0","137,451","365,349","26.58","32","272","42,957","8.50","5,053.74"
"","","累計","8,844,415","8,040,511","0","803,904","2,517,959","31.32","406","5,419","19,804","13.35","1,483.76"
"","","前年","6,146,633","5,588,113","407","558,113","1,939,375","34.71","486","6,841","11,498","14.08","816.86"
"","","前年比","144","144","0","144","130","90.23","84","79","2","0.95","1.82"
"","佐世保本店","当日","502,210","456,562","0","45,648","175,516","38.44","21","379","21,741","18.05","1,204.65"
"","","累計","5,521,101","5,019,608","1,480","500,013","1,820,477","36.27","303","4,282","16,566","14.13","1,172.26"
"","","前年","2,853,805","2,604,516","659","248,630","978,191","37.56","273","2,258","9,540","8.27","1,153.46"
"","","前年比","193","193","225","201","186","96.56","111","190","2","1.71","1.02"
"","大塔店","当日","1,721,722","1,565,212","0","156,510","452,021","28.88","25","45","62,608","1.80","34,782.49"
"","","累計","13,176,073","11,978,711","1,634","1,195,728","4,139,564","34.56","286","765","41,884","2.67","15,658.45"
"","","前年","11,713,753","10,648,968","0","1,064,785","3,666,954","34.43","337","2,032","31,599","6.03","5,240.63"
"","","前年比","112","112","0","112","113","100.36","85","38","1","0.44","2.99"
"2022/09/25","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","佐々店","当日","240,294","218,456","0","21,838","73,691","33.73","19","135","11,498","7.11","1,618.19"
"","","累計","9,084,709","8,258,967","0","825,742","2,591,650","31.38","425","5,554","19,433","13.07","1,487.03"
"","","前年","6,566,256","5,969,540","407","596,309","2,058,546","34.48","503","7,028","11,868","13.97","849.39"
"","","前年比","138","138","0","138","126","91.00","84","79","2","0.94","1.75"
"","佐世保本店","当日","112,486","102,262","0","10,224","34,286","33.53","12","111","8,522","9.25","921.28"
"","","累計","5,633,587","5,121,870","1,480","510,237","1,854,763","36.21","315","4,393","16,260","13.95","1,165.92"
"","","前年","2,943,442","2,686,009","659","256,774","1,008,184","37.53","284","2,292","9,458","8.07","1,171.91"
"","","前年比","191","191","225","199","184","96.48","111","192","2","1.73","0.99"
"","大塔店","当日","1,064,910","968,098","0","96,812","325,039","33.58","19","33","50,953","1.74","29,336.30"
"","","累計","14,240,983","12,946,809","1,634","1,292,540","4,464,603","34.48","305","798","42,449","2.62","16,224.07"
"","","前年","12,035,648","10,941,604","0","1,094,044","3,760,349","34.37","351","2,048","31,173","5.83","5,342.58"
"","","前年比","118","118","0","118","119","100.34","87","39","1","0.45","3.04"
"2022/09/26","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","331,070","300,984","0","30,086","170,306","56.58","18","37","16,721","2.06","8,134.70"
"","","前年","2,722,640","2,475,225","0","247,415","782,205","31.60","202","444","12,254","2.20","5,574.83"
"","","前年比","12","12","0","12","22","179.05","9","8","1","0.94","1.46"
"","佐々店","当日","57,545","52,319","0","5,226","61,503","117.55","16","145","3,270","9.06","360.82"
"","","累計","9,142,254","8,311,286","0","830,968","2,653,153","31.92","441","5,699","18,846","12.92","1,458.38"
"","","前年","6,729,394","6,117,858","407","611,129","2,112,417","34.53","530","7,338","11,543","13.85","833.72"
"","","前年比","136","136","0","136","126","92.45","83","78","2","0.93","1.75"
"","佐世保本店","当日","122,188","111,086","0","11,102","46,063","41.47","20","27","5,554","1.35","4,114.30"
"","","累計","5,755,775","5,232,956","1,480","521,339","1,900,826","36.32","335","4,420","15,621","13.19","1,183.93"
"","","前年","3,036,318","2,770,445","659","265,214","1,034,508","37.34","292","2,586","9,488","8.86","1,071.32"
"","","前年比","190","189","225","197","184","97.28","115","171","2","1.49","1.11"
"","大塔店","当日","147,960","134,580","294","13,086","57,620","42.81","16","89","8,411","5.56","1,512.13"
"","","累計","14,388,943","13,081,389","1,928","1,305,626","4,522,223","34.57","321","887","40,752","2.76","14,747.90"
"","","前年","12,185,628","11,077,950","0","1,107,678","3,811,471","34.41","362","2,063","30,602","5.70","5,369.83"
"","","前年比","118","118","0","118","119","100.48","89","43","1","0.48","2.75"
"2022/09/27","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","5,530","5,028","0","502","2,568","51.07","1","2","5,028","2.00","2,514.00"
"","","累計","336,600","306,012","0","30,588","172,874","56.49","19","39","16,106","2.05","7,846.46"
"","","前年","2,926,100","2,660,203","0","265,897","868,696","32.66","226","496","11,771","2.19","5,363.31"
"","","前年比","12","12","0","12","20","173.00","8","8","1","0.94","1.46"
"","佐々店","当日","-52,634","-47,847","0","-4,787","13,262","-27.72","11","186","-4,350","16.91","-257.24"
"","","累計","9,089,620","8,263,439","0","826,181","2,666,415","32.27","452","5,885","18,282","13.02","1,404.15"
"","","前年","6,877,543","6,252,545","407","624,591","2,153,440","34.44","553","7,710","11,307","13.94","810.97"
"","","前年比","132","132","0","132","124","93.69","82","76","2","0.93","1.73"
"","佐世保本店","当日","64,657","58,785","0","5,872","27,566","46.89","15","128","3,919","8.53","459.26"
"","","累計","5,820,432","5,291,741","1,480","527,211","1,928,392","36.44","350","4,548","15,119","12.99","1,163.53"
"","","前年","3,364,032","3,068,371","659","295,002","1,126,010","36.70","310","2,639","9,898","8.51","1,162.70"
"","","前年比","173","172","225","179","171","99.30","113","172","2","1.53","1.00"
"","大塔店","当日","199,620","181,475","0","18,145","53,017","29.21","7","17","25,925","2.43","10,675.00"
"","","累計","14,588,563","13,262,864","1,928","1,323,771","4,575,240","34.50","328","904","40,436","2.76","14,671.31"
"","","前年","12,440,908","11,310,024","0","1,130,884","3,894,810","34.44","368","2,072","30,734","5.63","5,458.51"
"","","前年比","117","117","0","117","117","100.17","89","44","1","0.49","2.69"
"2022/09/28","本部","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","14,190","12,900","0","1,290","2,550","19.77","1","3","12,900","3.00","4,300.00"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","336,600","306,012","0","30,588","172,874","56.49","19","39","16,106","2.05","7,846.46"
