﻿店舗名,特売,部門コード,部門名,仕入先コード,仕入先名,メーカーコード,メーカー名,大分類コード,大分類名,中分類コード,中分類名,商品コード,商品名,税率,規格容量,売上金額順位,平均原価,平均売価,売上数量,売上金額,粗利金額,粗利率,部門比率,分類内比率,全体比率
"佐々店","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260147526","JTM2210H 6層毛布Sﾋﾟﾝｸ","0","","1","3,224.00","6,498","48","311,892","157,140","50.38","20.29","20.29","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260147533","JTM2210G 6層毛布S銀","0","","2","3,224.00","6,441","48","309,167","154,415","49.95","20.12","20.12","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000346","東京西川","0022","寝具・インテリア","0220","寝具・インテリア","4908092058007","TJ25111 S 金 ﾎﾟｰﾗﾝﾄﾞ産羽毛布団","0","","3","15,517.00","28,739","3","86,217","39,666","46.01","5.61","5.61","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000346","東京西川","0022","寝具・インテリア","0220","寝具・インテリア","4976008882541","TJ15442 柄任せﾏｻﾞｰｸﾞｰｽ羽毛布団 SD","0","","4","51,875.00","81,800","1","81,800","29,925","36.58","5.32","5.32","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260007165","KJ19002B 6層ﾗｸﾞ 3帖 ﾌﾞﾗｳﾝ","10","","5","5,638.00","10,897","6","65,382","31,554","48.26","4.25","4.25","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260104840","KJ19003B 6層ﾗｸﾞ4帖ﾌﾞﾗｳﾝ","0","","6","7,769.00","18,164","3","54,492","31,185","57.23","3.55","3.55","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260007158","KJ19001G 6層ﾗｸﾞ2帖 緑","10","","7","4,063.00","9,982","4","39,928","23,676","59.30","2.60","2.60","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000288","ﾓﾘﾘﾝ","0022","寝具・インテリア","0220","寝具・インテリア","4979260132966","KJ19002C 6層ﾗｸﾞ 3帖 灰","10","","8","5,471.33","12,709","3","38,127","21,713","56.95","2.48","2.48","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000346","東京西川","0022","寝具・インテリア","0220","寝具・インテリア","4908092058045","TJ25113 D 金 ﾎﾟｰﾗﾝﾄﾞ産羽毛布団","0","","9","22,151.00","37,227","1","37,227","15,076","40.50","2.42","2.42","34.40"
"","","22","寝具・インテリア","0020","ジャパネット","0000346","東京西川","0022","寝具・インテリア","0220","寝具・インテリア","4908092058052","TJ25113 D 青 ﾎﾟｰﾗﾝﾄﾞ産羽毛布団","0","","10","22,151.00","36,009","1","36,009","13,858","38.48","2.34","2.34","34.40"
