店舗名,売上日,税込売上金額,税抜売上金額,消費税8%,消費税10%,粗利金額,粗利率,買上点数,一点単価,返品金額,返品点数,累計売上金額,累計粗利金額
"本部","2022/12/01","163,330","148,482","0","14,848","46,752","31.49","3","49,494.00","0","0","163,330","46,752"
"佐々店","2022/12/01","118,930","108,583","0","10,348","61,650","56.78","196","553.99","226,947","9","282,260","108,402"
"佐々店","2022/12/02","0","0","0","0","0","0.00","0","0.00","0","0","282,260","108,402"
"佐世保本店","2022/12/01","236,071","214,761","0","21,310","82,707","38.51","108","1,988.53","21,119","2","518,331","191,109"
"佐世保本店","2022/12/02","0","0","0","0","0","0.00","0","0.00","0","0","518,331","191,109"
"大塔店","2022/12/01","481,050","437,322","0","43,728","113,804","26.02","26","16,820.08","822,085","17","999,381","304,913"
"大塔店","2022/12/02","0","0","0","0","0","0.00","0","0.00","0","0","999,381","304,913"