日付,店舗名,部門名,内訳,売上金額,粗利金額,粗利率,数量,客数
"2022/06/22","マプレ","","当日","711","262","36.85","1","1"
"","","","累計","28,017","-1,853","-6.61","7","5"
"","","","前年","0","0","0","0","0"
"","","","前年比","0","0","0","0","0"
"","","資生堂化粧品","当日","2,695","0","0.00","1","1"
"","","","累計","39,815","2,928","7.35","28","20"
"","","","前年","49,035","4,993","10.18","28","24"
"","","","前年比","81","59","72.22","100","83"
"","","資生堂BQ","当日","770","259","33.64","1","1"
"","","","累計","1,262,907","426,526","33.77","258","90"
"","","","前年","1,242,509","413,900","33.31","238","83"
"","","","前年比","102","103","101.39","108","108"
"","","資生堂CBP","当日","0","0","0","0","0"
"","","","累計","928,479","306,808","33.04","79","36"
"","","","前年","949,190","318,705","33.58","73","29"
"","","","前年比","98","96","98.41","108","124"
"","","ﾌｨﾃｨｯﾄｱﾃﾞﾉｹﾞﾝ","当日","7,194","994","13.82","5","4"
"","","","累計","147,176","12,222","8.30","96","60"
"","","","前年","84,608","7,390","8.73","72","49"
"","","","前年比","174","165","95.08","133","122"
"","","資DPEMNAQRKI","当日","0","0","0","0","0"
"","","","累計","199,108","59,377","29.82","65","25"
"","","","前年","260,851","74,669","28.63","73","32"
"","","","前年比","76","80","104.18","89","78"
"","","資生堂EIS　MQ","当日","2,300","-9","-0.39","1","1"
"","","","累計","265,781","61,382","23.09","102","51"
"","","","前年","205,144","45,303","22.08","62","45"
"","","","前年比","130","135","104.58","165","113"
"","","資生堂バラ園　PFA","当日","4,400","1,200","27.27","2","1"
"","","","累計","36,922","6,660","18.04","27","22"
"","","","前年","15,466","2,764","17.87","12","10"
"","","","前年比","239","241","100.93","225","220"
"","","資生堂フィ　アデノゲ","当日","990","315","31.82","1","1"
"","","","累計","42,510","7,860","18.49","20","15"
"","","","前年","33,245","6,905","20.77","17","16"
"","","","前年比","128","114","89.02","118","94"
"2022/06/23","マプレ","","当日","0","0","0","0","0"
"","","","累計","28,017","-1,853","-6.61","7","5"
"","","","前年","0","0","0","0","0"
"","","","前年比","0","0","0","0","0"
"","","資生堂化粧品","当日","0","0","0","0","0"
"","","","累計","39,815","2,928","7.35","28","20"
"","","","前年","49,035","4,993","10.18","28","24"
"","","","前年比","81","59","72.22","100","83"
"","","資生堂BQ","当日","2,475","360","14.55","1","1"
"","","","累計","1,265,382","426,886","33.74","259","91"
"","","","前年","1,375,149","416,488","30.29","277","86"
"","","","前年比","92","102","111.39","94","106"
"","","資生堂CBP","当日","0","0","0","0","0"
"","","","累計","928,479","306,808","33.04","79","36"
"","","","前年","1,032,942","319,308","30.91","86","31"
"","","","前年比","90","96","106.90","92","116"
"","","ﾌｨﾃｨｯﾄｱﾃﾞﾉｹﾞﾝ","当日","11,088","396","3.57","9","3"
"","","","累計","158,264","12,618","7.97","105","63"
"","","","前年","84,608","7,390","8.73","72","49"
"","","","前年比","187","171","91.28","146","129"
