日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"2022/09","406 コスメイシイ","当月","5,455,929","4,961,192","5,412","489,325","891,478","17.97","221","1,017","22,449","4.60","4,878.26"
"","","前年","5,896,485","5,362,107","7,196","527,182","895,522","16.70","244","1,011","21,976","4.14","5,303.77"
"","","前年比","93","93","75","93","100","107.59","91","101","1","1.11","0.92"
"","268　松本店","当月","1,058,660","965,198","12,116","81,346","383,799","39.76","161","340","5,995","2.11","2,838.82"
"","","前年","1,528,642","1,392,327","11,546","124,769","542,620","38.97","189","464","7,367","2.46","3,000.70"
"","","前年比","69","69","105","65","71","102.03","85","73","1","0.86","0.95"
"","540　さなだ店","当月","347,108","316,473","3,754","26,881","112,786","35.64","145","262","2,183","1.81","1,207.91"
"","","前年","332,549","303,763","6,069","22,717","110,166","36.27","173","302","1,756","1.75","1,005.84"
"","","前年比","104","104","62","118","102","98.27","84","87","1","1.04","1.20"
"","554　愛国東店","当月","3,047,129","2,782,410","49,820","214,899","1,241,335","44.61","579","1,571","4,806","2.71","1,771.11"
"","","前年","3,258,665","2,971,493","38,903","248,269","1,267,896","42.67","623","1,718","4,770","2.76","1,729.62"
"","","前年比","94","94","128","87","98","104.56","93","91","1","0.98","1.02"
"","552　住之江店","当月","5,900,197","5,389,352","110,692","400,153","2,559,112","47.48","1,032","3,470","5,222","3.36","1,553.13"
"","","前年","5,524,685","5,042,538","86,670","395,477","2,411,705","47.83","1,047","3,310","4,816","3.16","1,523.43"
"","","前年比","107","107","128","101","106","99.28","99","105","1","1.06","1.02"
"","601　上市店","当月","294,767","268,683","3,150","22,934","82,297","30.63","115","306","2,336","2.66","878.05"
"","","前年","378,092","344,220","2,023","31,849","100,086","29.08","137","352","2,513","2.57","977.90"
"","","前年比","78","78","156","72","82","105.34","84","87","1","1.04","0.90"
"","631　パスコ店","当月","5,664,303","5,163,396","56,263","444,644","1,927,341","37.33","2,968","6,926","1,740","2.33","745.51"
"","","前年","5,406,280","4,927,029","48,445","430,806","1,823,736","37.01","2,862","6,661","1,722","2.33","739.68"
"","","前年比","105","105","116","103","106","100.84","104","104","1","1.00","1.01"
"","634　プラファ店","当月","4,342,470","3,960,232","52,615","329,623","1,723,613","43.52","1,519","3,446","2,607","2.27","1,149.23"
"","","前年","4,386,827","4,000,711","53,479","332,637","1,765,169","44.12","1,350","2,987","2,963","2.21","1,339.37"
"","","前年比","99","99","98","99","98","98.64","113","115","1","1.03","0.86"
"","636　砺波店","当月","3,314,306","3,022,190","39,156","252,960","1,403,451","46.44","761","1,905","3,971","2.50","1,586.45"
"","","前年","3,132,156","2,859,743","53,017","219,396","1,372,036","47.98","727","1,639","3,934","2.25","1,744.81"
"","","前年比","106","106","74","115","102","96.79","105","116","1","1.11","0.91"
"","639　大島店","当月","3,579,762","3,264,996","45,062","269,704","1,472,542","45.10","1,138","2,803","2,869","2.46","1,164.82"
"","","前年","3,239,920","2,953,730","34,925","251,265","1,334,206","45.17","1,060","2,451","2,787","2.31","1,205.11"
"","","前年比","110","111","129","107","110","99.85","107","114","1","1.07","0.97"
"","063　ミラドラ","当月","2,907,579","2,655,158","51,135","201,286","741,914","27.94","631","2,992","4,208","4.74","887.42"
"","","前年","3,294,854","3,012,536","74,340","207,978","835,259","27.73","665","8,785","4,530","13.21","342.92"
"","","前年比","88","88","69","97","89","100.78","95","34","1","0.36","2.59"
"","566　五位田店","当月","2,696,637","2,458,225","29,284","209,128","859,632","34.97","334","1,534","7,360","4.59","1,602.49"
"","","前年","2,837,562","2,584,638","21,795","231,129","832,833","32.22","373","1,637","6,929","4.39","1,578.89"
"","","前年比","95","95","134","90","103","108.53","90","94","1","1.05","1.01"
"","559　菅谷店","当月","490,087","446,266","2,752","41,069","155,744","34.90","211","482","2,115","2.28","925.86"
"","","前年","531,511","483,716","1,880","45,915","184,961","38.24","229","510","2,112","2.23","948.46"
"","","前年比","92","92","146","89","84","91.27","92","95","1","1.03","0.98"
"","236ミラドラ山口あさか店","当月","77,916","70,966","578","6,372","31,938","45.00","8","17","8,871","2.13","4,174.47"
"","","前年","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","前年比","0","0","0","0","0","0.00","0","0","0","0.00","0.00"